pa, pp, ta, tp
a leader hurt a singer .,a singer was hurt by a leader .,the leader bothers the singer .,the singer is bothered by the leader .
a leader joined a singer .,a singer was joined by a leader .,the leader bothers the singer .,the singer is bothered by the leader .
a leader hurt a singer .,a singer was hurt by a leader .,the leader bothers the singer .,the singer is bothered by the leader .
a leader chased a singer .,a singer was chased by a leader .,the leader bothers the singer .,the singer is bothered by the leader .
a leader hurt a singer .,a singer was hurt by a leader .,the leader bothers the singer .,the singer is bothered by the leader .
a leader asked a singer .,a singer was asked by a leader .,the leader bothers the singer .,the singer is bothered by the leader .
a prince collects a coffee .,a coffee is collected by a prince .,the prince prepared the coffee .,the coffee was prepared by the prince .
a prince smells a coffee .,a coffee is smelled by a prince .,the prince prepared the coffee .,the coffee was prepared by the prince .
a prince smells a coffee .,a coffee is smelled by a prince .,the prince prepared the coffee .,the coffee was prepared by the prince .
a prince collects a coffee .,a coffee is collected by a prince .,the prince prepared the coffee .,the coffee was prepared by the prince .
a prince smells a coffee .,a coffee is smelled by a prince .,the prince prepared the coffee .,the coffee was prepared by the prince .
a prince collects a coffee .,a coffee is collected by a prince .,the prince prepared the coffee .,the coffee was prepared by the prince .
a prince smells a coffee .,a coffee is smelled by a prince .,the prince prepared the coffee .,the coffee was prepared by the prince .
a prince collects a coffee .,a coffee is collected by a prince .,the prince prepared the coffee .,the coffee was prepared by the prince .
a prince smells a coffee .,a coffee is smelled by a prince .,the prince prepared the coffee .,the coffee was prepared by the prince .
a prince smells a coffee .,a coffee is smelled by a prince .,the prince prepared the coffee .,the coffee was prepared by the prince .
a colonel bothers a physician .,a physician is bothered by a colonel .,the colonel chased the physician .,the physician was chased by the colonel .
a colonel forgives a physician .,a physician is forgiven by a colonel .,the colonel chased the physician .,the physician was chased by the colonel .
a colonel asks a physician .,a physician is asked by a colonel .,the colonel chased the physician .,the physician was chased by the colonel .
a colonel hurts a physician .,a physician is hurt by a colonel .,the colonel chased the physician .,the physician was chased by the colonel .
a colonel asks a physician .,a physician is asked by a colonel .,the colonel chased the physician .,the physician was chased by the colonel .
a colonel judges a physician .,a physician is judged by a colonel .,the colonel chased the physician .,the physician was chased by the colonel .
a colonel asks a physician .,a physician is asked by a colonel .,the colonel chased the physician .,the physician was chased by the colonel .
a colonel joins a physician .,a physician is joined by a colonel .,the colonel chased the physician .,the physician was chased by the colonel .
a colonel joins a physician .,a physician is joined by a colonel .,the colonel chased the physician .,the physician was chased by the colonel .
a colonel joins a physician .,a physician is joined by a colonel .,the colonel chased the physician .,the physician was chased by the colonel .
an actress joins a company .,a company is joined by an actress .,the actress followed the company .,the company was followed by the actress .
an actress bothers a company .,a company is bothered by an actress .,the actress followed the company .,the company was followed by the actress .
an actress joins a company .,a company is joined by an actress .,the actress followed the company .,the company was followed by the actress .
an actress judges a company .,a company is judged by an actress .,the actress followed the company .,the company was followed by the actress .
an actress forgives a company .,a company is forgiven by an actress .,the actress followed the company .,the company was followed by the actress .
an actress asks a company .,a company is asked by an actress .,the actress followed the company .,the company was followed by the actress .
an actress forgives a company .,a company is forgiven by an actress .,the actress followed the company .,the company was followed by the actress .
an actress judges a company .,a company is judged by an actress .,the actress followed the company .,the company was followed by the actress .
an actress bothers a company .,a company is bothered by an actress .,the actress followed the company .,the company was followed by the actress .
an actress hurts a company .,a company is hurt by an actress .,the actress followed the company .,the company was followed by the actress .
a pilot collects a juice .,a juice is collected by a pilot .,the pilot prepared the juice .,the juice was prepared by the pilot .
a pilot collects a juice .,a juice is collected by a pilot .,the pilot prepared the juice .,the juice was prepared by the pilot .
a pilot smells a juice .,a juice is smelled by a pilot .,the pilot prepared the juice .,the juice was prepared by the pilot .
a pilot smells a juice .,a juice is smelled by a pilot .,the pilot prepared the juice .,the juice was prepared by the pilot .
a pilot smells a juice .,a juice is smelled by a pilot .,the pilot prepared the juice .,the juice was prepared by the pilot .
a pilot smells a juice .,a juice is smelled by a pilot .,the pilot prepared the juice .,the juice was prepared by the pilot .
a pilot collects a juice .,a juice is collected by a pilot .,the pilot prepared the juice .,the juice was prepared by the pilot .
a pilot smells a juice .,a juice is smelled by a pilot .,the pilot prepared the juice .,the juice was prepared by the pilot .
a pilot smells a juice .,a juice is smelled by a pilot .,the pilot prepared the juice .,the juice was prepared by the pilot .
a pilot smells a juice .,a juice is smelled by a pilot .,the pilot prepared the juice .,the juice was prepared by the pilot .
the winner collected the tea .,the tea was collected by the winner .,a winner smells a tea .,a tea is smelled by a winner .
the winner prepared the tea .,the tea was prepared by the winner .,a winner smells a tea .,a tea is smelled by a winner .
the winner collected the tea .,the tea was collected by the winner .,a winner smells a tea .,a tea is smelled by a winner .
the winner collected the tea .,the tea was collected by the winner .,a winner smells a tea .,a tea is smelled by a winner .
the winner collected the tea .,the tea was collected by the winner .,a winner smells a tea .,a tea is smelled by a winner .
the winner prepared the tea .,the tea was prepared by the winner .,a winner smells a tea .,a tea is smelled by a winner .
the winner prepared the tea .,the tea was prepared by the winner .,a winner smells a tea .,a tea is smelled by a winner .
the winner collected the tea .,the tea was collected by the winner .,a winner smells a tea .,a tea is smelled by a winner .
the winner collected the tea .,the tea was collected by the winner .,a winner smells a tea .,a tea is smelled by a winner .
the winner collected the tea .,the tea was collected by the winner .,a winner smells a tea .,a tea is smelled by a winner .
the scientist dragged the colonel .,the colonel was dragged by the scientist .,a scientist washes a colonel .,a colonel is washed by a scientist .
the scientist dragged the colonel .,the colonel was dragged by the scientist .,a scientist washes a colonel .,a colonel is washed by a scientist .
the scientist dragged the colonel .,the colonel was dragged by the scientist .,a scientist washes a colonel .,a colonel is washed by a scientist .
the scientist dragged the colonel .,the colonel was dragged by the scientist .,a scientist washes a colonel .,a colonel is washed by a scientist .
the scientist dragged the colonel .,the colonel was dragged by the scientist .,a scientist washes a colonel .,a colonel is washed by a scientist .
the scientist dragged the colonel .,the colonel was dragged by the scientist .,a scientist washes a colonel .,a colonel is washed by a scientist .
the scientist dragged the colonel .,the colonel was dragged by the scientist .,a scientist washes a colonel .,a colonel is washed by a scientist .
the scientist dragged the colonel .,the colonel was dragged by the scientist .,a scientist washes a colonel .,a colonel is washed by a scientist .
the scientist dragged the colonel .,the colonel was dragged by the scientist .,a scientist washes a colonel .,a colonel is washed by a scientist .
the scientist dragged the colonel .,the colonel was dragged by the scientist .,a scientist washes a colonel .,a colonel is washed by a scientist .
a pilot purchases a meal .,a meal is purchased by a pilot .,the pilot wanted the meal .,the meal was wanted by the pilot .
a pilot purchases a meal .,a meal is purchased by a pilot .,the pilot wanted the meal .,the meal was wanted by the pilot .
a pilot keeps a meal .,a meal is kept by a pilot .,the pilot wanted the meal .,the meal was wanted by the pilot .
a pilot keeps a meal .,a meal is kept by a pilot .,the pilot wanted the meal .,the meal was wanted by the pilot .
a pilot keeps a meal .,a meal is kept by a pilot .,the pilot wanted the meal .,the meal was wanted by the pilot .
a pilot purchases a meal .,a meal is purchased by a pilot .,the pilot wanted the meal .,the meal was wanted by the pilot .
a pilot purchases a meal .,a meal is purchased by a pilot .,the pilot wanted the meal .,the meal was wanted by the pilot .
a pilot purchases a meal .,a meal is purchased by a pilot .,the pilot wanted the meal .,the meal was wanted by the pilot .
a pilot purchases a meal .,a meal is purchased by a pilot .,the pilot wanted the meal .,the meal was wanted by the pilot .
a pilot purchases a meal .,a meal is purchased by a pilot .,the pilot wanted the meal .,the meal was wanted by the pilot .
a husband joined a candidate .,a candidate was joined by a husband .,the husband judges the candidate .,the candidate is judged by the husband .
a husband forgave a candidate .,a candidate was forgiven by a husband .,the husband judges the candidate .,the candidate is judged by the husband .
a husband joined a candidate .,a candidate was joined by a husband .,the husband judges the candidate .,the candidate is judged by the husband .
a husband forgave a candidate .,a candidate was forgiven by a husband .,the husband judges the candidate .,the candidate is judged by the husband .
a husband followed a candidate .,a candidate was followed by a husband .,the husband judges the candidate .,the candidate is judged by the husband .
a husband asked a candidate .,a candidate was asked by a husband .,the husband judges the candidate .,the candidate is judged by the husband .
a husband asked a candidate .,a candidate was asked by a husband .,the husband judges the candidate .,the candidate is judged by the husband .
a husband hurt a candidate .,a candidate was hurt by a husband .,the husband judges the candidate .,the candidate is judged by the husband .
a husband hurt a candidate .,a candidate was hurt by a husband .,the husband judges the candidate .,the candidate is judged by the husband .
a husband hurt a candidate .,a candidate was hurt by a husband .,the husband judges the candidate .,the candidate is judged by the husband .
a mother accepts a bell .,a bell is accepted by a mother .,the mother left the bell .,the bell was left by the mother .
a mother breaks a bell .,a bell is broken by a mother .,the mother left the bell .,the bell was left by the mother .
a mother accepts a bell .,a bell is accepted by a mother .,the mother left the bell .,the bell was left by the mother .
a mother accepts a bell .,a bell is accepted by a mother .,the mother left the bell .,the bell was left by the mother .
a mother breaks a bell .,a bell is broken by a mother .,the mother left the bell .,the bell was left by the mother .
a mother breaks a bell .,a bell is broken by a mother .,the mother left the bell .,the bell was left by the mother .
a mother accepts a bell .,a bell is accepted by a mother .,the mother left the bell .,the bell was left by the mother .
a mother wraps a bell .,a bell is wrapped by a mother .,the mother left the bell .,the bell was left by the mother .
a mother wraps a bell .,a bell is wrapped by a mother .,the mother left the bell .,the bell was left by the mother .
a mother wraps a bell .,a bell is wrapped by a mother .,the mother left the bell .,the bell was left by the mother .
the cousin comforted the guest .,the guest was comforted by the cousin .,a cousin understands a guest .,a guest is understood by a cousin .
the cousin kissed the guest .,the guest was kissed by the cousin .,a cousin understands a guest .,a guest is understood by a cousin .
the cousin kissed the guest .,the guest was kissed by the cousin .,a cousin understands a guest .,a guest is understood by a cousin .
the cousin beat the guest .,the guest was beaten by the cousin .,a cousin understands a guest .,a guest is understood by a cousin .
the cousin hurried the guest .,the guest was hurried by the cousin .,a cousin understands a guest .,a guest is understood by a cousin .
the cousin struck the guest .,the guest was struck by the cousin .,a cousin understands a guest .,a guest is understood by a cousin .
the cousin beat the guest .,the guest was beaten by the cousin .,a cousin understands a guest .,a guest is understood by a cousin .
the cousin comforted the guest .,the guest was comforted by the cousin .,a cousin understands a guest .,a guest is understood by a cousin .
the cousin embraced the guest .,the guest was embraced by the cousin .,a cousin understands a guest .,a guest is understood by a cousin .
the cousin killed the guest .,the guest was killed by the cousin .,a cousin understands a guest .,a guest is understood by a cousin .
an employee follows a husband .,a husband is followed by an employee .,the employee asked the husband .,the husband was asked by the employee .
an employee bothers a husband .,a husband is bothered by an employee .,the employee asked the husband .,the husband was asked by the employee .
an employee bothers a husband .,a husband is bothered by an employee .,the employee asked the husband .,the husband was asked by the employee .
an employee bothers a husband .,a husband is bothered by an employee .,the employee asked the husband .,the husband was asked by the employee .
an employee chases a husband .,a husband is chased by an employee .,the employee asked the husband .,the husband was asked by the employee .
an employee follows a husband .,a husband is followed by an employee .,the employee asked the husband .,the husband was asked by the employee .
an employee follows a husband .,a husband is followed by an employee .,the employee asked the husband .,the husband was asked by the employee .
an employee forgives a husband .,a husband is forgiven by an employee .,the employee asked the husband .,the husband was asked by the employee .
an employee forgives a husband .,a husband is forgiven by an employee .,the employee asked the husband .,the husband was asked by the employee .
an employee judges a husband .,a husband is judged by an employee .,the employee asked the husband .,the husband was asked by the employee .
a woman selected an author .,an author was selected by a woman .,the woman describes the author .,the author is described by the woman .
a woman selected an author .,an author was selected by a woman .,the woman describes the author .,the author is described by the woman .
a woman forgot an author .,an author was forgotten by a woman .,the woman describes the author .,the author is described by the woman .
a woman selected an author .,an author was selected by a woman .,the woman describes the author .,the author is described by the woman .
a woman carried an author .,an author was carried by a woman .,the woman describes the author .,the author is described by the woman .
a woman destroyed an author .,an author was destroyed by a woman .,the woman describes the author .,the author is described by the woman .
a woman raised an author .,an author was raised by a woman .,the woman describes the author .,the author is described by the woman .
a woman discovered an author .,an author was discovered by a woman .,the woman describes the author .,the author is described by the woman .
a woman selected an author .,an author was selected by a woman .,the woman describes the author .,the author is described by the woman .
a woman carried an author .,an author was carried by a woman .,the woman describes the author .,the author is described by the woman .
a priest dragged a card .,a card was dragged by a priest .,the priest washes the card .,the card is washed by the priest .
a priest dragged a card .,a card was dragged by a priest .,the priest washes the card .,the card is washed by the priest .
a priest dragged a card .,a card was dragged by a priest .,the priest washes the card .,the card is washed by the priest .
a priest dragged a card .,a card was dragged by a priest .,the priest washes the card .,the card is washed by the priest .
a priest dragged a card .,a card was dragged by a priest .,the priest washes the card .,the card is washed by the priest .
a priest dragged a card .,a card was dragged by a priest .,the priest washes the card .,the card is washed by the priest .
a priest dragged a card .,a card was dragged by a priest .,the priest washes the card .,the card is washed by the priest .
a priest dragged a card .,a card was dragged by a priest .,the priest washes the card .,the card is washed by the priest .
a priest dragged a card .,a card was dragged by a priest .,the priest washes the card .,the card is washed by the priest .
a priest dragged a card .,a card was dragged by a priest .,the priest washes the card .,the card is washed by the priest .
a child discovered a man .,a man was discovered by a child .,the child grabs the man .,the man is grabbed by the child .
a child discovered a man .,a man was discovered by a child .,the child grabs the man .,the man is grabbed by the child .
a child forgot a man .,a man was forgotten by a child .,the child grabs the man .,the man is grabbed by the child .
a child destroyed a man .,a man was destroyed by a child .,the child grabs the man .,the man is grabbed by the child .
a child discovered a man .,a man was discovered by a child .,the child grabs the man .,the man is grabbed by the child .
a child carried a man .,a man was carried by a child .,the child grabs the man .,the man is grabbed by the child .
a child forgot a man .,a man was forgotten by a child .,the child grabs the man .,the man is grabbed by the child .
a child discovered a man .,a man was discovered by a child .,the child grabs the man .,the man is grabbed by the child .
a child carried a man .,a man was carried by a child .,the child grabs the man .,the man is grabbed by the child .
a child forgot a man .,a man was forgotten by a child .,the child grabs the man .,the man is grabbed by the child .
a winner teaches a nurse .,a nurse is taught by a winner .,the winner understood the nurse .,the nurse was understood by the winner .
a winner embraces a nurse .,a nurse is embraced by a winner .,the winner understood the nurse .,the nurse was understood by the winner .
a winner kills a nurse .,a nurse is killed by a winner .,the winner understood the nurse .,the nurse was understood by the winner .
a winner embraces a nurse .,a nurse is embraced by a winner .,the winner understood the nurse .,the nurse was understood by the winner .
a winner surprises a nurse .,a nurse is surprised by a winner .,the winner understood the nurse .,the nurse was understood by the winner .
a winner punches a nurse .,a nurse is punched by a winner .,the winner understood the nurse .,the nurse was understood by the winner .
a winner strikes a nurse .,a nurse is struck by a winner .,the winner understood the nurse .,the nurse was understood by the winner .
a winner kisses a nurse .,a nurse is kissed by a winner .,the winner understood the nurse .,the nurse was understood by the winner .
a winner hurries a nurse .,a nurse is hurried by a winner .,the winner understood the nurse .,the nurse was understood by the winner .
a winner surprises a nurse .,a nurse is surprised by a winner .,the winner understood the nurse .,the nurse was understood by the winner .
a wife selected a pie .,a pie was selected by a wife .,the wife destroys the pie .,the pie is destroyed by the wife .
a wife caught a pie .,a pie was caught by a wife .,the wife destroys the pie .,the pie is destroyed by the wife .
a wife selected a pie .,a pie was selected by a wife .,the wife destroys the pie .,the pie is destroyed by the wife .
a wife discovered a pie .,a pie was discovered by a wife .,the wife destroys the pie .,the pie is destroyed by the wife .
a wife grabbed a pie .,a pie was grabbed by a wife .,the wife destroys the pie .,the pie is destroyed by the wife .
a wife selected a pie .,a pie was selected by a wife .,the wife destroys the pie .,the pie is destroyed by the wife .
a wife selected a pie .,a pie was selected by a wife .,the wife destroys the pie .,the pie is destroyed by the wife .
a wife carried a pie .,a pie was carried by a wife .,the wife destroys the pie .,the pie is destroyed by the wife .
a wife selected a pie .,a pie was selected by a wife .,the wife destroys the pie .,the pie is destroyed by the wife .
a wife grabbed a pie .,a pie was grabbed by a wife .,the wife destroys the pie .,the pie is destroyed by the wife .
a son chased a writer .,a writer was chased by a son .,the son asks the writer .,the writer is asked by the son .
a son joined a writer .,a writer was joined by a son .,the son asks the writer .,the writer is asked by the son .
a son followed a writer .,a writer was followed by a son .,the son asks the writer .,the writer is asked by the son .
a son hurt a writer .,a writer was hurt by a son .,the son asks the writer .,the writer is asked by the son .
a son forgave a writer .,a writer was forgiven by a son .,the son asks the writer .,the writer is asked by the son .
a son forgave a writer .,a writer was forgiven by a son .,the son asks the writer .,the writer is asked by the son .
a son forgave a writer .,a writer was forgiven by a son .,the son asks the writer .,the writer is asked by the son .
a son hurt a writer .,a writer was hurt by a son .,the son asks the writer .,the writer is asked by the son .
a son chased a writer .,a writer was chased by a son .,the son asks the writer .,the writer is asked by the son .
a son followed a writer .,a writer was followed by a son .,the son asks the writer .,the writer is asked by the son .
the reader destroyed the plate .,the plate was destroyed by the reader .,a reader catches a plate .,a plate is caught by a reader .
the reader raised the plate .,the plate was raised by the reader .,a reader catches a plate .,a plate is caught by a reader .
the reader discovered the plate .,the plate was discovered by the reader .,a reader catches a plate .,a plate is caught by a reader .
the reader carried the plate .,the plate was carried by the reader .,a reader catches a plate .,a plate is caught by a reader .
the reader destroyed the plate .,the plate was destroyed by the reader .,a reader catches a plate .,a plate is caught by a reader .
the reader carried the plate .,the plate was carried by the reader .,a reader catches a plate .,a plate is caught by a reader .
the reader carried the plate .,the plate was carried by the reader .,a reader catches a plate .,a plate is caught by a reader .
the reader raised the plate .,the plate was raised by the reader .,a reader catches a plate .,a plate is caught by a reader .
the reader discovered the plate .,the plate was discovered by the reader .,a reader catches a plate .,a plate is caught by a reader .
the reader raised the plate .,the plate was raised by the reader .,a reader catches a plate .,a plate is caught by a reader .
a soldier carried a salad .,a salad was carried by a soldier .,the soldier grabs the salad .,the salad is grabbed by the soldier .
a soldier discovered a salad .,a salad was discovered by a soldier .,the soldier grabs the salad .,the salad is grabbed by the soldier .
a soldier discovered a salad .,a salad was discovered by a soldier .,the soldier grabs the salad .,the salad is grabbed by the soldier .
a soldier destroyed a salad .,a salad was destroyed by a soldier .,the soldier grabs the salad .,the salad is grabbed by the soldier .
a soldier carried a salad .,a salad was carried by a soldier .,the soldier grabs the salad .,the salad is grabbed by the soldier .
a soldier selected a salad .,a salad was selected by a soldier .,the soldier grabs the salad .,the salad is grabbed by the soldier .
a soldier described a salad .,a salad was described by a soldier .,the soldier grabs the salad .,the salad is grabbed by the soldier .
a soldier raised a salad .,a salad was raised by a soldier .,the soldier grabs the salad .,the salad is grabbed by the soldier .
a soldier carried a salad .,a salad was carried by a soldier .,the soldier grabs the salad .,the salad is grabbed by the soldier .
a soldier selected a salad .,a salad was selected by a soldier .,the soldier grabs the salad .,the salad is grabbed by the soldier .
the captain collects the tea .,the tea is collected by the captain .,a captain prepared a tea .,a tea was prepared by a captain .
the captain collects the tea .,the tea is collected by the captain .,a captain prepared a tea .,a tea was prepared by a captain .
the captain smells the tea .,the tea is smelled by the captain .,a captain prepared a tea .,a tea was prepared by a captain .
the captain smells the tea .,the tea is smelled by the captain .,a captain prepared a tea .,a tea was prepared by a captain .
the captain collects the tea .,the tea is collected by the captain .,a captain prepared a tea .,a tea was prepared by a captain .
the captain collects the tea .,the tea is collected by the captain .,a captain prepared a tea .,a tea was prepared by a captain .
the captain smells the tea .,the tea is smelled by the captain .,a captain prepared a tea .,a tea was prepared by a captain .
the captain collects the tea .,the tea is collected by the captain .,a captain prepared a tea .,a tea was prepared by a captain .
the captain smells the tea .,the tea is smelled by the captain .,a captain prepared a tea .,a tea was prepared by a captain .
the captain smells the tea .,the tea is smelled by the captain .,a captain prepared a tea .,a tea was prepared by a captain .
a woman destroyed a cousin .,a cousin was destroyed by a woman .,the woman describes the cousin .,the cousin is described by the woman .
a woman carried a cousin .,a cousin was carried by a woman .,the woman describes the cousin .,the cousin is described by the woman .
a woman grabbed a cousin .,a cousin was grabbed by a woman .,the woman describes the cousin .,the cousin is described by the woman .
a woman caught a cousin .,a cousin was caught by a woman .,the woman describes the cousin .,the cousin is described by the woman .
a woman carried a cousin .,a cousin was carried by a woman .,the woman describes the cousin .,the cousin is described by the woman .
a woman carried a cousin .,a cousin was carried by a woman .,the woman describes the cousin .,the cousin is described by the woman .
a woman selected a cousin .,a cousin was selected by a woman .,the woman describes the cousin .,the cousin is described by the woman .
a woman discovered a cousin .,a cousin was discovered by a woman .,the woman describes the cousin .,the cousin is described by the woman .
a woman forgot a cousin .,a cousin was forgotten by a woman .,the woman describes the cousin .,the cousin is described by the woman .
a woman grabbed a cousin .,a cousin was grabbed by a woman .,the woman describes the cousin .,the cousin is described by the woman .
a leader forgives a son .,a son is forgiven by a leader .,the leader asked the son .,the son was asked by the leader .
a leader forgives a son .,a son is forgiven by a leader .,the leader asked the son .,the son was asked by the leader .
a leader judges a son .,a son is judged by a leader .,the leader asked the son .,the son was asked by the leader .
a leader forgives a son .,a son is forgiven by a leader .,the leader asked the son .,the son was asked by the leader .
a leader forgives a son .,a son is forgiven by a leader .,the leader asked the son .,the son was asked by the leader .
a leader joins a son .,a son is joined by a leader .,the leader asked the son .,the son was asked by the leader .
a leader chases a son .,a son is chased by a leader .,the leader asked the son .,the son was asked by the leader .
a leader forgives a son .,a son is forgiven by a leader .,the leader asked the son .,the son was asked by the leader .
a leader joins a son .,a son is joined by a leader .,the leader asked the son .,the son was asked by the leader .
a leader forgives a son .,a son is forgiven by a leader .,the leader asked the son .,the son was asked by the leader .
a partner understood a reader .,a reader was understood by a partner .,the partner punches the reader .,the reader is punched by the partner .
a partner embraced a reader .,a reader was embraced by a partner .,the partner punches the reader .,the reader is punched by the partner .
a partner taught a reader .,a reader was taught by a partner .,the partner punches the reader .,the reader is punched by the partner .
a partner kissed a reader .,a reader was kissed by a partner .,the partner punches the reader .,the reader is punched by the partner .
a partner embraced a reader .,a reader was embraced by a partner .,the partner punches the reader .,the reader is punched by the partner .
a partner taught a reader .,a reader was taught by a partner .,the partner punches the reader .,the reader is punched by the partner .
a partner kissed a reader .,a reader was kissed by a partner .,the partner punches the reader .,the reader is punched by the partner .
a partner kissed a reader .,a reader was kissed by a partner .,the partner punches the reader .,the reader is punched by the partner .
