pa, pp, ta, tp
the illegal actor surprises the captain .,the captain is surprised by the illegal actor .,a king wanted a coffee .,a coffee was wanted by a king .
the chinese mayor purchases the button .,the button is purchased by the chinese mayor .,a teacher protected a guest .,a guest was protected by a teacher .
the busy husband forgets the chicken .,the chicken is forgotten by the busy husband .,a teacher protected a guest .,a guest was protected by a teacher .
the dangerous man smells the engine .,the engine is smelled by the dangerous man .,a teacher protected a guest .,a guest was protected by a teacher .
the evil army wants the meal .,the meal is wanted by the evil army .,a teacher protected a guest .,a guest was protected by a teacher .
the dumb manager drags the opponent .,the opponent is dragged by the dumb manager .,a teacher protected a guest .,a guest was protected by a teacher .
the chinese bishop comforts the mayor .,the mayor is comforted by the chinese bishop .,a teacher protected a guest .,a guest was protected by a teacher .
the terrible physician beats the brother .,the brother is beaten by the terrible physician .,a teacher protected a guest .,a guest was protected by a teacher .
the foreign man joins the business .,the business is joined by the foreign man .,a teacher protected a guest .,a guest was protected by a teacher .
the silly minister tastes the salad .,the salad is tasted by the silly minister .,a teacher protected a guest .,a guest was protected by a teacher .
the athletic actor accepts the hat .,the hat is accepted by the athletic actor .,a teacher protected a guest .,a guest was protected by a teacher .
the important employer hurts the priest .,the priest is hurt by the important employer .,an opponent raised a president .,a president was raised by an opponent .
the friendly soldier understands the actress .,the actress is understood by the friendly soldier .,an opponent raised a president .,a president was raised by an opponent .
the nice manager beats the sheriff .,the sheriff is beaten by the nice manager .,an opponent raised a president .,a president was raised by an opponent .
the pretty chief beats the friend .,the friend is beaten by the pretty chief .,an opponent raised a president .,a president was raised by an opponent .
the sensitive friend drinks the coffee .,the coffee is drunk by the sensitive friend .,an opponent raised a president .,a president was raised by an opponent .
the strong student removes the bottle .,the bottle is removed by the strong student .,an opponent raised a president .,a president was raised by an opponent .
the angry employee leads the club .,the club is led by the angry employee .,an opponent raised a president .,a president was raised by an opponent .
the illegal adult embraces the buddy .,the buddy is embraced by the illegal adult .,an opponent raised a president .,a president was raised by an opponent .
the calm cousin selects the glass .,the glass is selected by the calm cousin .,an opponent raised a president .,a president was raised by an opponent .
the helpful friend understands the priest .,the priest is understood by the helpful friend .,an opponent raised a president .,a president was raised by an opponent .
a busy sheriff selects a bag .,a bag is selected by a busy sheriff .,the nurse asked the uncle .,the uncle was asked by the nurse .
a sick friend punches a child .,a child is punched by a sick friend .,the nurse asked the uncle .,the uncle was asked by the nurse .
a dangerous wife hurries a guy .,a guy is hurried by a dangerous wife .,the nurse asked the uncle .,the uncle was asked by the nurse .
a glad winner collects a glass .,a glass is collected by a glad winner .,the nurse asked the uncle .,the uncle was asked by the nurse .
a stupid son protects a guest .,a guest is protected by a stupid son .,the nurse asked the uncle .,the uncle was asked by the nurse .
an eager employee destroys a key .,a key is destroyed by an eager employee .,the nurse asked the uncle .,the uncle was asked by the nurse .
an excited actress surprises a secretary .,a secretary is surprised by an excited actress .,the nurse asked the uncle .,the uncle was asked by the nurse .
a weird princess catches a knife .,a knife is caught by a weird princess .,the nurse asked the uncle .,the uncle was asked by the nurse .
a serious leader chases an army .,an army is chased by a serious leader .,the nurse asked the uncle .,the uncle was asked by the nurse .
a criminal daughter prepares a candy .,a candy is prepared by a criminal daughter .,the nurse asked the uncle .,the uncle was asked by the nurse .
a innocent son punches a buddy .,a buddy is punched by a innocent son .,the guest hurt the writer .,the writer was hurt by the guest .
a curious cop drinks a beer .,a beer is drunk by a curious cop .,the guest hurt the writer .,the writer was hurt by the guest .
a innocent mayor strikes a captain .,a captain is struck by a innocent mayor .,the guest hurt the writer .,the writer was hurt by the guest .
a calm lady strikes a prince .,a prince is struck by a calm lady .,the guest hurt the writer .,the writer was hurt by the guest .
an angry actress embraces a minister .,a minister is embraced by an angry actress .,the guest hurt the writer .,the writer was hurt by the guest .
a hungry soldier follows a nurse .,a nurse is followed by a hungry soldier .,the guest hurt the writer .,the writer was hurt by the guest .
a holy colonel accepts a newspaper .,a newspaper is accepted by a holy colonel .,the guest hurt the writer .,the writer was hurt by the guest .
an evil attorney prepares a chocolate .,a chocolate is prepared by an evil attorney .,the guest hurt the writer .,the writer was hurt by the guest .
a young brother surprises a husband .,a husband is surprised by a young brother .,the guest hurt the writer .,the writer was hurt by the guest .
a mad king embraces a bishop .,a bishop is embraced by a mad king .,the guest hurt the writer .,the writer was hurt by the guest .
a fair priest bothered a son .,a son was bothered by a fair priest .,the winner kills the chief .,the chief is killed by the winner .
an eager uncle raised a crystal .,a crystal was raised by an eager uncle .,the winner kills the chief .,the chief is killed by the winner .
a young cousin ate a chocolate .,a chocolate was eaten by a young cousin .,the winner kills the chief .,the chief is killed by the winner .
an athletic actor judged a secretary .,a secretary was judged by an athletic actor .,the winner kills the chief .,the chief is killed by the winner .
a willing nurse broke a bag .,a bag was broken by a willing nurse .,the winner kills the chief .,the chief is killed by the winner .
a fantastic physician selected a brother .,a brother was selected by a fantastic physician .,the winner kills the chief .,the chief is killed by the winner .
an emotional uncle washed a doctor .,a doctor was washed by an emotional uncle .,the winner kills the chief .,the chief is killed by the winner .
a criminal guy raised a meal .,a meal was raised by a criminal guy .,the winner kills the chief .,the chief is killed by the winner .
a sad doctor forgave a corporation .,a corporation was forgiven by a sad doctor .,the winner kills the chief .,the chief is killed by the winner .
a spanish singer bothered a band .,a band was bothered by a spanish singer .,the winner kills the chief .,the chief is killed by the winner .
the rough lawyer leads the business .,the business is led by the rough lawyer .,a chief smelled a bell .,a bell was smelled by a chief .
the evil author grabs the coffee .,the coffee is grabbed by the evil author .,a chief smelled a bell .,a bell was smelled by a chief .
the kind teacher judges the company .,the company is judged by the kind teacher .,a chief smelled a bell .,a bell was smelled by a chief .
the generous worker kills the actress .,the actress is killed by the generous worker .,a chief smelled a bell .,a bell was smelled by a chief .
the excellent attorney kisses the wife .,the wife is kissed by the excellent attorney .,a chief smelled a bell .,a bell was smelled by a chief .
the bright prince eats the meal .,the meal is eaten by the bright prince .,a chief smelled a bell .,a bell was smelled by a chief .
the creative doctor chases the partner .,the partner is chased by the creative doctor .,a chief smelled a bell .,a bell was smelled by a chief .
the important actress washes the nurse .,the nurse is washed by the important actress .,a chief smelled a bell .,a bell was smelled by a chief .
the helpful physician teaches the lady .,the lady is taught by the helpful physician .,a chief smelled a bell .,a bell was smelled by a chief .
the special man collects the coat .,the coat is collected by the special man .,a chief smelled a bell .,a bell was smelled by a chief .
the curious partner purchases the coffee .,the coffee is purchased by the curious partner .,a candidate killed a student .,a student was killed by a candidate .
the wise king discovers the brother .,the brother is discovered by the wise king .,a candidate killed a student .,a student was killed by a candidate .
the excited employer smells the coffee .,the coffee is smelled by the excited employer .,a candidate killed a student .,a student was killed by a candidate .
the tall cop breaks the newspaper .,the newspaper is broken by the tall cop .,a candidate killed a student .,a student was killed by a candidate .
the curious hero catches the juice .,the juice is caught by the curious hero .,a candidate killed a student .,a student was killed by a candidate .
the lonely colonel forgets the cheese .,the cheese is forgotten by the lonely colonel .,a candidate killed a student .,a student was killed by a candidate .
the hungry priest breaks the telephone .,the telephone is broken by the hungry priest .,a candidate killed a student .,a student was killed by a candidate .
the rough nurse surprises the prince .,the prince is surprised by the rough nurse .,a candidate killed a student .,a student was killed by a candidate .
the gentle leader punches the opponent .,the opponent is punched by the gentle leader .,a candidate killed a student .,a student was killed by a candidate .
the crazy guy understands the guest .,the guest is understood by the crazy guy .,a candidate killed a student .,a student was killed by a candidate .
an intelligent attorney accepts a crystal .,a crystal is accepted by an intelligent attorney .,the actress chased the business .,the business was chased by the actress .
a terrible hero strikes an adult .,an adult is struck by a terrible hero .,the actress chased the business .,the business was chased by the actress .
a tough reader discovers a physician .,a physician is discovered by a tough reader .,the actress chased the business .,the business was chased by the actress .
a horrible husband prepares a chicken .,a chicken is prepared by a horrible husband .,the actress chased the business .,the business was chased by the actress .
a tired son strikes an attorney .,an attorney is struck by a tired son .,the actress chased the business .,the business was chased by the actress .
a tough soldier carries a priest .,a priest is carried by a tough soldier .,the actress chased the business .,the business was chased by the actress .
an american attorney leads a band .,a band is led by an american attorney .,the actress chased the business .,the business was chased by the actress .
a strange student tastes a meal .,a meal is tasted by a strange student .,the actress chased the business .,the business was chased by the actress .
an emotional aunt bothers a parent .,a parent is bothered by an emotional aunt .,the actress chased the business .,the business was chased by the actress .
a religious king comforts an aunt .,an aunt is comforted by a religious king .,the actress chased the business .,the business was chased by the actress .
a stupid cop accepts an anchor .,an anchor is accepted by a stupid cop .,the corporation protected the girl .,the girl was protected by the corporation .
a handsome hero describes a cheese .,a cheese is described by a handsome hero .,the corporation protected the girl .,the girl was protected by the corporation .
a catholic cousin comforts a hero .,a hero is comforted by a catholic cousin .,the corporation protected the girl .,the girl was protected by the corporation .
a silly nurse destroys a chicken .,a chicken is destroyed by a silly nurse .,the corporation protected the girl .,the girl was protected by the corporation .
a patient king follows a kid .,a kid is followed by a patient king .,the corporation protected the girl .,the girl was protected by the corporation .
a calm cousin joins a writer .,a writer is joined by a calm cousin .,the corporation protected the girl .,the girl was protected by the corporation .
an alert author embraces a nurse .,a nurse is embraced by an alert author .,the corporation protected the girl .,the girl was protected by the corporation .
an italian employee asks an administration .,an administration is asked by an italian employee .,the corporation protected the girl .,the girl was protected by the corporation .
a silly hero washes a bishop .,a bishop is washed by a silly hero .,the corporation protected the girl .,the girl was protected by the corporation .
a mad husband comforts a brother .,a brother is comforted by a mad husband .,the corporation protected the girl .,the girl was protected by the corporation .
the criminal guy led the administration .,the administration was led by the criminal guy .,a writer hurries an aunt .,an aunt is hurried by a writer .
the honest administration used the iron .,the iron was used by the honest administration .,a writer hurries an aunt .,an aunt is hurried by a writer .
the sexy bishop used the hat .,the hat was used by the sexy bishop .,a writer hurries an aunt .,an aunt is hurried by a writer .
the holy bishop bothered the business .,the business was bothered by the holy bishop .,a writer hurries an aunt .,an aunt is hurried by a writer .
the sweet partner comforted the wife .,the wife was comforted by the sweet partner .,a writer hurries an aunt .,an aunt is hurried by a writer .
the sexy minister broke the knife .,the knife was broken by the sexy minister .,a writer hurries an aunt .,an aunt is hurried by a writer .
the chinese colonel led the army .,the army was led by the chinese colonel .,a writer hurries an aunt .,an aunt is hurried by a writer .
the helpful cop removed the plate .,the plate was removed by the helpful cop .,a writer hurries an aunt .,an aunt is hurried by a writer .
the great student forgot the friend .,the friend was forgotten by the great student .,a writer hurries an aunt .,an aunt is hurried by a writer .
the chinese business kept the ball .,the ball was kept by the chinese business .,a writer hurries an aunt .,an aunt is hurried by a writer .
the wise princess follows the business .,the business is followed by the wise princess .,a buddy comforted an adult .,an adult was comforted by a buddy .
the modest pilot wants the gun .,the gun is wanted by the modest pilot .,a buddy comforted an adult .,an adult was comforted by a buddy .
the funny doctor removes the computer .,the computer is removed by the funny doctor .,a buddy comforted an adult .,an adult was comforted by a buddy .
the dumb king destroys the salad .,the salad is destroyed by the dumb king .,a buddy comforted an adult .,an adult was comforted by a buddy .
the sensitive brother beats the champion .,the champion is beaten by the sensitive brother .,a buddy comforted an adult .,an adult was comforted by a buddy .
the catholic winner forgets the student .,the student is forgotten by the catholic winner .,a buddy comforted an adult .,an adult was comforted by a buddy .
the spanish president prepares the pot .,the pot is prepared by the spanish president .,a buddy comforted an adult .,an adult was comforted by a buddy .
the awful employer wants the chocolate .,the chocolate is wanted by the awful employer .,a buddy comforted an adult .,an adult was comforted by a buddy .
the strong boy bothers the band .,the band is bothered by the strong boy .,a buddy comforted an adult .,an adult was comforted by a buddy .
the hungry doctor forgives the business .,the business is forgiven by the hungry doctor .,a buddy comforted an adult .,an adult was comforted by a buddy .
a stupid candidate collects a candy .,a candy is collected by a stupid candidate .,the student followed the band .,the band was followed by the student .
a odd husband judges a corporation .,a corporation is judged by a odd husband .,the student followed the band .,the band was followed by the student .
a odd business uses a knife .,a knife is used by a odd business .,the student followed the band .,the band was followed by the student .
an intelligent actress comforts a minister .,a minister is comforted by an intelligent actress .,the student followed the band .,the band was followed by the student .
an excellent army uses a crystal .,a crystal is used by an excellent army .,the student followed the band .,the band was followed by the student .
a brilliant minister kills a partner .,a partner is killed by a brilliant minister .,the student followed the band .,the band was followed by the student .
a dumb partner washes a machine .,a machine is washed by a dumb partner .,the student followed the band .,the band was followed by the student .
a fantastic parent wraps a cigarette .,a cigarette is wrapped by a fantastic parent .,the student followed the band .,the band was followed by the student .
an eager actor hurts an army .,an army is hurt by an eager actor .,the student followed the band .,the band was followed by the student .
an alert employer destroys a guest .,a guest is destroyed by an alert employer .,the student followed the band .,the band was followed by the student .
the sad president catches the television .,the television is caught by the sad president .,an uncle taught a wife .,a wife was taught by an uncle .
the strong brother protects the physician .,the physician is protected by the strong brother .,an uncle taught a wife .,a wife was taught by an uncle .
the ill boy breaks the log .,the log is broken by the ill boy .,an uncle taught a wife .,a wife was taught by an uncle .
the powerful mayor drags the parent .,the parent is dragged by the powerful mayor .,an uncle taught a wife .,a wife was taught by an uncle .
the busy club helps the president .,the president is helped by the busy club .,an uncle taught a wife .,a wife was taught by an uncle .
the famous boy discovers the book .,the book is discovered by the famous boy .,an uncle taught a wife .,a wife was taught by an uncle .
