pa, pp, ta, tp
a box forgets a crystal .,a crystal is forgotten by a box .,the author comforted the mother .,the mother was comforted by the author .
a tea strikes a business .,a business is struck by a tea .,the author comforted the mother .,the mother was comforted by the author .
a wire removes a glass .,a glass is removed by a wire .,the author comforted the mother .,the mother was comforted by the author .
the log protects the boy .,the boy is protected by the log .,a wife left a wire .,a wire was left by a wife .
the card tastes the princess .,the princess is tasted by the card .,a wife left a wire .,a wire was left by a wife .
the pie surprises the prince .,the prince is surprised by the pie .,a wife left a wire .,a wire was left by a wife .
the log comforts the student .,the student is comforted by the log .,a wife left a wire .,a wire was left by a wife .
the tea kisses the singer .,the singer is kissed by the tea .,a wife left a wire .,a wire was left by a wife .
the salad understands the guest .,the guest is understood by the salad .,a wife left a wire .,a wire was left by a wife .
the juice forgives the mayor .,the mayor is forgiven by the juice .,a wife left a wire .,a wire was left by a wife .
the ball raises the juice .,the juice is raised by the ball .,a wife left a wire .,a wire was left by a wife .
the instrument leads the meal .,the meal is led by the instrument .,a wife left a wire .,a wire was left by a wife .
the gun prepares the cop .,the cop is prepared by the gun .,a wife left a wire .,a wire was left by a wife .
the flower wants the nurse .,the nurse is wanted by the flower .,a worker followed a partner .,a partner was followed by a worker .
the bag selects the club .,the club is selected by the bag .,a worker followed a partner .,a partner was followed by a worker .
the log understands the chicken .,the chicken is understood by the log .,a worker followed a partner .,a partner was followed by a worker .
the newspaper asks the guest .,the guest is asked by the newspaper .,a worker followed a partner .,a partner was followed by a worker .
the computer eats the mayor .,the mayor is eaten by the computer .,a worker followed a partner .,a partner was followed by a worker .
the cheese asks the doctor .,the doctor is asked by the cheese .,a worker followed a partner .,a partner was followed by a worker .
the glass prepares the brother .,the brother is prepared by the glass .,a worker followed a partner .,a partner was followed by a worker .
the motor uses the coat .,the coat is used by the motor .,a worker followed a partner .,a partner was followed by a worker .
the telephone keeps the chocolate .,the chocolate is kept by the telephone .,a worker followed a partner .,a partner was followed by a worker .
the log carries the daughter .,the daughter is carried by the log .,a worker followed a partner .,a partner was followed by a worker .
the ball embraces the juice .,the juice is embraced by the ball .,a priest removed a knife .,a knife was removed by a priest .
the log wants the company .,the company is wanted by the log .,a priest removed a knife .,a knife was removed by a priest .
the box describes the cousin .,the cousin is described by the box .,a priest removed a knife .,a knife was removed by a priest .
the wire drags the chief .,the chief is dragged by the wire .,a priest removed a knife .,a knife was removed by a priest .
the bottle grabs the captain .,the captain is grabbed by the bottle .,a priest removed a knife .,a knife was removed by a priest .
the iron hurries the friend .,the friend is hurried by the iron .,a priest removed a knife .,a knife was removed by a priest .
the candy washes the plate .,the plate is washed by the candy .,a priest removed a knife .,a knife was removed by a priest .
the bowl purchases the glass .,the glass is purchased by the bowl .,a priest removed a knife .,a knife was removed by a priest .
the plate grabs the aunt .,the aunt is grabbed by the plate .,a priest removed a knife .,a knife was removed by a priest .
the iron carries the bag .,the bag is carried by the iron .,a priest removed a knife .,a knife was removed by a priest .
the bag prepares the television .,the television is prepared by the bag .,a hero hurried a colonel .,a colonel was hurried by a hero .
the anchor removes the bishop .,the bishop is removed by the anchor .,a hero hurried a colonel .,a colonel was hurried by a hero .
the machine tastes the father .,the father is tasted by the machine .,a hero hurried a colonel .,a colonel was hurried by a hero .
the gun kills the club .,the club is killed by the gun .,a hero hurried a colonel .,a colonel was hurried by a hero .
the bottle helps the father .,the father is helped by the bottle .,a hero hurried a colonel .,a colonel was hurried by a hero .
the glass leads the engine .,the engine is led by the glass .,a hero hurried a colonel .,a colonel was hurried by a hero .
the button asks the knife .,the knife is asked by the button .,a hero hurried a colonel .,a colonel was hurried by a hero .
the motor keeps the bishop .,the bishop is kept by the motor .,a hero hurried a colonel .,a colonel was hurried by a hero .
the flower bothers the pilot .,the pilot is bothered by the flower .,a hero hurried a colonel .,a colonel was hurried by a hero .
the bottle surprises the coat .,the coat is surprised by the bottle .,a hero hurried a colonel .,a colonel was hurried by a hero .
the plate accepted the candy .,the candy was accepted by the plate .,a prince embraces a singer .,a singer is embraced by a prince .
the chocolate caught the book .,the book was caught by the chocolate .,a prince embraces a singer .,a singer is embraced by a prince .
the knife caught the winner .,the winner was caught by the knife .,a prince embraces a singer .,a singer is embraced by a prince .
the machine accepted the brother .,the brother was accepted by the machine .,a prince embraces a singer .,a singer is embraced by a prince .
the jacket forgot the iron .,the iron was forgotten by the jacket .,a prince embraces a singer .,a singer is embraced by a prince .
the coat collected the priest .,the priest was collected by the coat .,a prince embraces a singer .,a singer is embraced by a prince .
the bowl smelled the reader .,the reader was smelled by the bowl .,a prince embraces a singer .,a singer is embraced by a prince .
the bowl raised the physician .,the physician was raised by the bowl .,a prince embraces a singer .,a singer is embraced by a prince .
the salad left the business .,the business was left by the salad .,a prince embraces a singer .,a singer is embraced by a prince .
the juice washed the bottle .,the bottle was washed by the juice .,a prince embraces a singer .,a singer is embraced by a prince .
the bell removes the cigarette .,the cigarette is removed by the bell .,a guy described a cheese .,a cheese was described by a guy .
the candy purchases the winner .,the winner is purchased by the candy .,a guy described a cheese .,a cheese was described by a guy .
the cigarette smells the wire .,the wire is smelled by the cigarette .,a guy described a cheese .,a cheese was described by a guy .
the meal raises the bishop .,the bishop is raised by the meal .,a guy described a cheese .,a cheese was described by a guy .
the book wants the knife .,the knife is wanted by the book .,a guy described a cheese .,a cheese was described by a guy .
the motor catches the doctor .,the doctor is caught by the motor .,a guy described a cheese .,a cheese was described by a guy .
the cup washes the chocolate .,the chocolate is washed by the cup .,a guy described a cheese .,a cheese was described by a guy .
the instrument keeps the log .,the log is kept by the instrument .,a guy described a cheese .,a cheese was described by a guy .
the candy wants the chocolate .,the chocolate is wanted by the candy .,a guy described a cheese .,a cheese was described by a guy .
the meal embraces the reader .,the reader is embraced by the meal .,a guy described a cheese .,a cheese was described by a guy .
a gun understands a writer .,a writer is understood by a gun .,the kid beat the employer .,the employer was beaten by the kid .
a juice keeps a girl .,a girl is kept by a juice .,the kid beat the employer .,the employer was beaten by the kid .
a ball catches a priest .,a priest is caught by a ball .,the kid beat the employer .,the employer was beaten by the kid .
a bowl prepares a guy .,a guy is prepared by a bowl .,the kid beat the employer .,the employer was beaten by the kid .
a guitar accepts a friend .,a friend is accepted by a guitar .,the kid beat the employer .,the employer was beaten by the kid .
a key comforts a candidate .,a candidate is comforted by a key .,the kid beat the employer .,the employer was beaten by the kid .
a cigarette washes an opponent .,an opponent is washed by a cigarette .,the kid beat the employer .,the employer was beaten by the kid .
a log prepares an opponent .,an opponent is prepared by a log .,the kid beat the employer .,the employer was beaten by the kid .
a card describes a bowl .,a bowl is described by a card .,the kid beat the employer .,the employer was beaten by the kid .
an anchor describes a pilot .,a pilot is described by an anchor .,the kid beat the employer .,the employer was beaten by the kid .
a wire embraced a coffee .,a coffee was embraced by a wire .,the buddy punches the cop .,the cop is punched by the buddy .
a crystal grabbed a bishop .,a bishop was grabbed by a crystal .,the buddy punches the cop .,the cop is punched by the buddy .
a key bothered a pot .,a pot was bothered by a key .,the buddy punches the cop .,the cop is punched by the buddy .
a flower caught a man .,a man was caught by a flower .,the buddy punches the cop .,the cop is punched by the buddy .
a coat helped a business .,a business was helped by a coat .,the buddy punches the cop .,the cop is punched by the buddy .
a tea used a coffee .,a coffee was used by a tea .,the buddy punches the cop .,the cop is punched by the buddy .
a chocolate surprised a ball .,a ball was surprised by a chocolate .,the buddy punches the cop .,the cop is punched by the buddy .
a meal purchased an administration .,an administration was purchased by a meal .,the buddy punches the cop .,the cop is punched by the buddy .
a cigarette kissed a teacher .,a teacher was kissed by a cigarette .,the buddy punches the cop .,the cop is punched by the buddy .
a beer wanted a chicken .,a chicken was wanted by a beer .,the buddy punches the cop .,the cop is punched by the buddy .
the button selected the father .,the father was selected by the button .,a husband collects a tea .,a tea is collected by a husband .
the bowl hurried the chocolate .,the chocolate was hurried by the bowl .,a husband collects a tea .,a tea is collected by a husband .
the book prepared the knife .,the knife was prepared by the book .,a husband collects a tea .,a tea is collected by a husband .
the book accepted the worker .,the worker was accepted by the book .,a husband collects a tea .,a tea is collected by a husband .
the telephone protected the computer .,the computer was protected by the telephone .,a husband collects a tea .,a tea is collected by a husband .
the ball protected the instrument .,the instrument was protected by the ball .,a husband collects a tea .,a tea is collected by a husband .
the chocolate broke the instrument .,the instrument was broken by the chocolate .,a husband collects a tea .,a tea is collected by a husband .
the bell joined the band .,the band was joined by the bell .,a husband collects a tea .,a tea is collected by a husband .
the box struck the candidate .,the candidate was struck by the box .,a husband collects a tea .,a tea is collected by a husband .
the television forgot the guitar .,the guitar was forgotten by the television .,a husband collects a tea .,a tea is collected by a husband .
a coat wrapped a lawyer .,a lawyer was wrapped by a coat .,the kid chases the physician .,the physician is chased by the kid .
a newspaper raised a scientist .,a scientist was raised by a newspaper .,the kid chases the physician .,the physician is chased by the kid .
an instrument ate a meal .,a meal was eaten by an instrument .,the kid chases the physician .,the physician is chased by the kid .
a glass described a professor .,a professor was described by a glass .,the kid chases the physician .,the physician is chased by the kid .
a cup accepted a cheese .,a cheese was accepted by a cup .,the kid chases the physician .,the physician is chased by the kid .
a coffee left an actor .,an actor was left by a coffee .,the kid chases the physician .,the physician is chased by the kid .
a guitar beat a captain .,a captain was beaten by a guitar .,the kid chases the physician .,the physician is chased by the kid .
a chocolate bothered a television .,a television was bothered by a chocolate .,the kid chases the physician .,the physician is chased by the kid .
a guitar led a tea .,a tea was led by a guitar .,the kid chases the physician .,the physician is chased by the kid .
a gun helped a television .,a television was helped by a gun .,the kid chases the physician .,the physician is chased by the kid .
a bag accepts a sheriff .,a sheriff is accepted by a bag .,the company protected the nurse .,the nurse was protected by the company .
a plate surprises a pot .,a pot is surprised by a plate .,the company protected the nurse .,the nurse was protected by the company .
a gun destroys a cousin .,a cousin is destroyed by a gun .,the company protected the nurse .,the nurse was protected by the company .
a gun raises a cheese .,a cheese is raised by a gun .,the company protected the nurse .,the nurse was protected by the company .
a key forgives a professor .,a professor is forgiven by a key .,the company protected the nurse .,the nurse was protected by the company .
a cigarette surprises a computer .,a computer is surprised by a cigarette .,the company protected the nurse .,the nurse was protected by the company .
a coffee leads an actress .,an actress is led by a coffee .,the company protected the nurse .,the nurse was protected by the company .
a candy drags a mother .,a mother is dragged by a candy .,the company protected the nurse .,the nurse was protected by the company .
a gun washes a teacher .,a teacher is washed by a gun .,the company protected the nurse .,the nurse was protected by the company .
a chocolate prepares an actress .,an actress is prepared by a chocolate .,the company protected the nurse .,the nurse was protected by the company .
a key joined a winner .,a winner was joined by a key .,the secretary carries the beer .,the beer is carried by the secretary .
a ball struck a colonel .,a colonel was struck by a ball .,the secretary carries the beer .,the beer is carried by the secretary .
a card collected an anchor .,an anchor was collected by a card .,the secretary carries the beer .,the beer is carried by the secretary .
a juice used a father .,a father was used by a juice .,the secretary carries the beer .,the beer is carried by the secretary .
a motor embraced an instrument .,an instrument was embraced by a motor .,the secretary carries the beer .,the beer is carried by the secretary .
a meal forgot an iron .,an iron was forgotten by a meal .,the secretary carries the beer .,the beer is carried by the secretary .
a button accepted a business .,a business was accepted by a button .,the secretary carries the beer .,the beer is carried by the secretary .
a key kissed a business .,a business was kissed by a key .,the secretary carries the beer .,the beer is carried by the secretary .
a log kissed a princess .,a princess was kissed by a log .,the secretary carries the beer .,the beer is carried by the secretary .
a pot forgot a reader .,a reader was forgotten by a pot .,the secretary carries the beer .,the beer is carried by the secretary .
the book wraps the key .,the key is wrapped by the book .,a captain accepted a machine .,a machine was accepted by a captain .
the tea catches the employer .,the employer is caught by the tea .,a captain accepted a machine .,a machine was accepted by a captain .
the coffee joins the hero .,the hero is joined by the coffee .,a captain accepted a machine .,a machine was accepted by a captain .
the tea uses the priest .,the priest is used by the tea .,a captain accepted a machine .,a machine was accepted by a captain .
the juice helps the child .,the child is helped by the juice .,a captain accepted a machine .,a machine was accepted by a captain .
the key destroys the instrument .,the instrument is destroyed by the key .,a captain accepted a machine .,a machine was accepted by a captain .
the wire smells the guest .,the guest is smelled by the wire .,a captain accepted a machine .,a machine was accepted by a captain .
the telephone beats the scientist .,the scientist is beaten by the telephone .,a captain accepted a machine .,a machine was accepted by a captain .
the instrument drags the physician .,the physician is dragged by the instrument .,a captain accepted a machine .,a machine was accepted by a captain .
the candy punches the candidate .,the candidate is punched by the candy .,a captain accepted a machine .,a machine was accepted by a captain .
a beer removes a coffee .,a coffee is removed by a beer .,the student wrapped the engine .,the engine was wrapped by the student .
a cigarette forgets an uncle .,an uncle is forgotten by a cigarette .,the student wrapped the engine .,the engine was wrapped by the student .
a plate destroys a ball .,a ball is destroyed by a plate .,the student wrapped the engine .,the engine was wrapped by the student .
a knife keeps a coat .,a coat is kept by a knife .,the student wrapped the engine .,the engine was wrapped by the student .
a cup wants a bottle .,a bottle is wanted by a cup .,the student wrapped the engine .,the engine was wrapped by the student .
a crystal strikes a champion .,a champion is struck by a crystal .,the student wrapped the engine .,the engine was wrapped by the student .
a key kills a guy .,a guy is killed by a key .,the student wrapped the engine .,the engine was wrapped by the student .
a log accepts a glass .,a glass is accepted by a log .,the student wrapped the engine .,the engine was wrapped by the student .
a hat leads a worker .,a worker is led by a hat .,the student wrapped the engine .,the engine was wrapped by the student .
a box grabs a leader .,a leader is grabbed by a box .,the student wrapped the engine .,the engine was wrapped by the student .
the telephone removed the club .,the club was removed by the telephone .,a cousin uses a log .,a log is used by a cousin .
the bowl accepted the parent .,the parent was accepted by the bowl .,a cousin uses a log .,a log is used by a cousin .
the candy wrapped the juice .,the juice was wrapped by the candy .,a cousin uses a log .,a log is used by a cousin .
the bag followed the pie .,the pie was followed by the bag .,a cousin uses a log .,a log is used by a cousin .
the television grabbed the professor .,the professor was grabbed by the television .,a cousin uses a log .,a log is used by a cousin .
the computer followed the bishop .,the bishop was followed by the computer .,a cousin uses a log .,a log is used by a cousin .
the chocolate discovered the buddy .,the buddy was discovered by the chocolate .,a cousin uses a log .,a log is used by a cousin .
the cup forgave the hero .,the hero was forgiven by the cup .,a cousin uses a log .,a log is used by a cousin .
the coffee left the president .,the president was left by the coffee .,a cousin uses a log .,a log is used by a cousin .
the key discovered the computer .,the computer was discovered by the key .,a cousin uses a log .,a log is used by a cousin .
the telephone judged the cop .,the cop was judged by the telephone .,a nurse carries a tea .,a tea is carried by a nurse .
the salad protected the guest .,the guest was protected by the salad .,a nurse carries a tea .,a tea is carried by a nurse .
the crystal washed the daughter .,the daughter was washed by the crystal .,a nurse carries a tea .,a tea is carried by a nurse .
the juice struck the army .,the army was struck by the juice .,a nurse carries a tea .,a tea is carried by a nurse .
the chocolate grabbed the wife .,the wife was grabbed by the chocolate .,a nurse carries a tea .,a tea is carried by a nurse .
the iron understood the bell .,the bell was understood by the iron .,a nurse carries a tea .,a tea is carried by a nurse .
the telephone surprised the candy .,the candy was surprised by the telephone .,a nurse carries a tea .,a tea is carried by a nurse .
the wire beat the manager .,the manager was beaten by the wire .,a nurse carries a tea .,a tea is carried by a nurse .
