pa, pp, ta, tp
a husband comforts a champion .,a champion is comforted by a husband .,the father comforted the bishop .,the bishop was comforted by the father .
an aunt comforts a reader .,a reader is comforted by an aunt .,the father comforted the bishop .,the bishop was comforted by the father .
a child comforts a princess .,a princess is comforted by a child .,the father comforted the bishop .,the bishop was comforted by the father .
a partner comforts a chief .,a chief is comforted by a partner .,the father comforted the bishop .,the bishop was comforted by the father .
a professor comforts a reader .,a reader is comforted by a professor .,the father comforted the bishop .,the bishop was comforted by the father .
a partner comforts a buddy .,a buddy is comforted by a partner .,the father comforted the bishop .,the bishop was comforted by the father .
a cop comforts a champion .,a champion is comforted by a cop .,the father comforted the bishop .,the bishop was comforted by the father .
a wife comforts an aunt .,an aunt is comforted by a wife .,the father comforted the bishop .,the bishop was comforted by the father .
the friend chases the bishop .,the bishop is chased by the friend .,a singer chased a guy .,a guy was chased by a singer .
the president chases the administration .,the administration is chased by the president .,a singer chased a guy .,a guy was chased by a singer .
the parent chases the corporation .,the corporation is chased by the parent .,a singer chased a guy .,a guy was chased by a singer .
the teacher chases the friend .,the friend is chased by the teacher .,a singer chased a guy .,a guy was chased by a singer .
the candidate chases the company .,the company is chased by the candidate .,a singer chased a guy .,a guy was chased by a singer .
the bishop chases the reader .,the reader is chased by the bishop .,a singer chased a guy .,a guy was chased by a singer .
the husband chases the manager .,the manager is chased by the husband .,a singer chased a guy .,a guy was chased by a singer .
the president chases the doctor .,the doctor is chased by the president .,a singer chased a guy .,a guy was chased by a singer .
the daughter chases the adult .,the adult is chased by the daughter .,a singer chased a guy .,a guy was chased by a singer .
the adult chases the corporation .,the corporation is chased by the adult .,a singer chased a guy .,a guy was chased by a singer .
the uncle collects the juice .,the juice is collected by the uncle .,a physician collected a pie .,a pie was collected by a physician .
the professor collects the meal .,the meal is collected by the professor .,a physician collected a pie .,a pie was collected by a physician .
the aunt collects the pot .,the pot is collected by the aunt .,a physician collected a pie .,a pie was collected by a physician .
the adult collects the salad .,the salad is collected by the adult .,a physician collected a pie .,a pie was collected by a physician .
the partner collects the coffee .,the coffee is collected by the partner .,a physician collected a pie .,a pie was collected by a physician .
the father collects the tea .,the tea is collected by the father .,a physician collected a pie .,a pie was collected by a physician .
the father collects the cup .,the cup is collected by the father .,a physician collected a pie .,a pie was collected by a physician .
the mother collects the bell .,the bell is collected by the mother .,a physician collected a pie .,a pie was collected by a physician .
the parent collects the hat .,the hat is collected by the parent .,a physician collected a pie .,a pie was collected by a physician .
the attorney collects the meal .,the meal is collected by the attorney .,a physician collected a pie .,a pie was collected by a physician .
the teacher grabbed the chicken .,the chicken was grabbed by the teacher .,a pilot grabs a scientist .,a scientist is grabbed by a pilot .
the colonel grabbed the bottle .,the bottle was grabbed by the colonel .,a pilot grabs a scientist .,a scientist is grabbed by a pilot .
the child grabbed the pie .,the pie was grabbed by the child .,a pilot grabs a scientist .,a scientist is grabbed by a pilot .
the brother grabbed the wife .,the wife was grabbed by the brother .,a pilot grabs a scientist .,a scientist is grabbed by a pilot .
the attorney grabbed the son .,the son was grabbed by the attorney .,a pilot grabs a scientist .,a scientist is grabbed by a pilot .
the boy grabbed the son .,the son was grabbed by the boy .,a pilot grabs a scientist .,a scientist is grabbed by a pilot .
the child grabbed the pie .,the pie was grabbed by the child .,a pilot grabs a scientist .,a scientist is grabbed by a pilot .
the president grabbed the instrument .,the instrument was grabbed by the president .,a pilot grabs a scientist .,a scientist is grabbed by a pilot .
the king grabbed the beer .,the beer was grabbed by the king .,a pilot grabs a scientist .,a scientist is grabbed by a pilot .
the king grabbed the girl .,the girl was grabbed by the king .,a pilot grabs a scientist .,a scientist is grabbed by a pilot .
an actress selected a knife .,a knife was selected by an actress .,the writer selects the tea .,the tea is selected by the writer .
a captain selected a chicken .,a chicken was selected by a captain .,the writer selects the tea .,the tea is selected by the writer .
an opponent selected a guitar .,a guitar was selected by an opponent .,the writer selects the tea .,the tea is selected by the writer .
an aunt selected a television .,a television was selected by an aunt .,the writer selects the tea .,the tea is selected by the writer .
a woman selected a juice .,a juice was selected by a woman .,the writer selects the tea .,the tea is selected by the writer .
a wife selected a meal .,a meal was selected by a wife .,the writer selects the tea .,the tea is selected by the writer .
a cop selected a meal .,a meal was selected by a cop .,the writer selects the tea .,the tea is selected by the writer .
an attorney selected an actor .,an actor was selected by an attorney .,the writer selects the tea .,the tea is selected by the writer .
a priest selected a cigarette .,a cigarette was selected by a priest .,the writer selects the tea .,the tea is selected by the writer .
a parent selected a lady .,a lady was selected by a parent .,the writer selects the tea .,the tea is selected by the writer .
the writer caught the teacher .,the teacher was caught by the writer .,a man catches a tea .,a tea is caught by a man .
the parent caught the beer .,the beer was caught by the parent .,a man catches a tea .,a tea is caught by a man .
the professor caught the jacket .,the jacket was caught by the professor .,a man catches a tea .,a tea is caught by a man .
the brother caught the television .,the television was caught by the brother .,a man catches a tea .,a tea is caught by a man .
the singer caught the newspaper .,the newspaper was caught by the singer .,a man catches a tea .,a tea is caught by a man .
the employee caught the computer .,the computer was caught by the employee .,a man catches a tea .,a tea is caught by a man .
the buddy caught the book .,the book was caught by the buddy .,a man catches a tea .,a tea is caught by a man .
the reader caught the bishop .,the bishop was caught by the reader .,a man catches a tea .,a tea is caught by a man .
the bishop caught the reader .,the reader was caught by the bishop .,a man catches a tea .,a tea is caught by a man .
the parent caught the champion .,the champion was caught by the parent .,a man catches a tea .,a tea is caught by a man .
the mayor selects the coffee .,the coffee is selected by the mayor .,a friend selected a chocolate .,a chocolate was selected by a friend .
the wife selects the beer .,the beer is selected by the wife .,a friend selected a chocolate .,a chocolate was selected by a friend .
the student selects the telephone .,the telephone is selected by the student .,a friend selected a chocolate .,a chocolate was selected by a friend .
the princess selects the book .,the book is selected by the princess .,a friend selected a chocolate .,a chocolate was selected by a friend .
the opponent selects the employee .,the employee is selected by the opponent .,a friend selected a chocolate .,a chocolate was selected by a friend .
the princess selects the juice .,the juice is selected by the princess .,a friend selected a chocolate .,a chocolate was selected by a friend .
the winner selects the employer .,the employer is selected by the winner .,a friend selected a chocolate .,a chocolate was selected by a friend .
the employee selects the bottle .,the bottle is selected by the employee .,a friend selected a chocolate .,a chocolate was selected by a friend .
the worker selects the chicken .,the chicken is selected by the worker .,a friend selected a chocolate .,a chocolate was selected by a friend .
the son selects the salad .,the salad is selected by the son .,a friend selected a chocolate .,a chocolate was selected by a friend .
the aunt wanted the pie .,the pie was wanted by the aunt .,a band wants a salad .,a salad is wanted by a band .
the club wanted the crystal .,the crystal was wanted by the club .,a band wants a salad .,a salad is wanted by a band .
the corporation wanted the meal .,the meal was wanted by the corporation .,a band wants a salad .,a salad is wanted by a band .
the army wanted the coffee .,the coffee was wanted by the army .,a band wants a salad .,a salad is wanted by a band .
the army wanted the juice .,the juice was wanted by the army .,a band wants a salad .,a salad is wanted by a band .
the uncle wanted the book .,the book was wanted by the uncle .,a band wants a salad .,a salad is wanted by a band .
the company wanted the wire .,the wire was wanted by the company .,a band wants a salad .,a salad is wanted by a band .
the champion wanted the tea .,the tea was wanted by the champion .,a band wants a salad .,a salad is wanted by a band .
the chief wanted the telephone .,the telephone was wanted by the chief .,a band wants a salad .,a salad is wanted by a band .
the manager wanted the gun .,the gun was wanted by the manager .,a band wants a salad .,a salad is wanted by a band .
the boy wrapped the instrument .,the instrument was wrapped by the boy .,a pilot wraps a glass .,a glass is wrapped by a pilot .
the winner wrapped the instrument .,the instrument was wrapped by the winner .,a pilot wraps a glass .,a glass is wrapped by a pilot .
the priest wrapped the book .,the book was wrapped by the priest .,a pilot wraps a glass .,a glass is wrapped by a pilot .
the leader wrapped the log .,the log was wrapped by the leader .,a pilot wraps a glass .,a glass is wrapped by a pilot .
the candidate wrapped the television .,the television was wrapped by the candidate .,a pilot wraps a glass .,a glass is wrapped by a pilot .
the colonel wrapped the jacket .,the jacket was wrapped by the colonel .,a pilot wraps a glass .,a glass is wrapped by a pilot .
the employer wrapped the book .,the book was wrapped by the employer .,a pilot wraps a glass .,a glass is wrapped by a pilot .
the boy wrapped the guitar .,the guitar was wrapped by the boy .,a pilot wraps a glass .,a glass is wrapped by a pilot .
the soldier wrapped the cigarette .,the cigarette was wrapped by the soldier .,a pilot wraps a glass .,a glass is wrapped by a pilot .
the opponent wrapped the motor .,the motor was wrapped by the opponent .,a pilot wraps a glass .,a glass is wrapped by a pilot .
the uncle discovered the chicken .,the chicken was discovered by the uncle .,a buddy discovers a salad .,a salad is discovered by a buddy .
the bishop discovered the captain .,the captain was discovered by the bishop .,a buddy discovers a salad .,a salad is discovered by a buddy .
the secretary discovered the tea .,the tea was discovered by the secretary .,a buddy discovers a salad .,a salad is discovered by a buddy .
the teacher discovered the professor .,the professor was discovered by the teacher .,a buddy discovers a salad .,a salad is discovered by a buddy .
the attorney discovered the bottle .,the bottle was discovered by the attorney .,a buddy discovers a salad .,a salad is discovered by a buddy .
the aunt discovered the tea .,the tea was discovered by the aunt .,a buddy discovers a salad .,a salad is discovered by a buddy .
the opponent discovered the chicken .,the chicken was discovered by the opponent .,a buddy discovers a salad .,a salad is discovered by a buddy .
the man discovered the bishop .,the bishop was discovered by the man .,a buddy discovers a salad .,a salad is discovered by a buddy .
the manager discovered the glass .,the glass was discovered by the manager .,a buddy discovers a salad .,a salad is discovered by a buddy .
the professor discovered the chicken .,the chicken was discovered by the professor .,a buddy discovers a salad .,a salad is discovered by a buddy .
a prince asks a colonel .,a colonel is asked by a prince .,the cousin asked the mayor .,the mayor was asked by the cousin .
a bishop asks an administration .,an administration is asked by a bishop .,the cousin asked the mayor .,the mayor was asked by the cousin .
a bishop asks a business .,a business is asked by a bishop .,the cousin asked the mayor .,the mayor was asked by the cousin .
a candidate asks a club .,a club is asked by a candidate .,the cousin asked the mayor .,the mayor was asked by the cousin .
a guest asks an employer .,an employer is asked by a guest .,the cousin asked the mayor .,the mayor was asked by the cousin .
a sheriff asks a mother .,a mother is asked by a sheriff .,the cousin asked the mayor .,the mayor was asked by the cousin .
a soldier asks a sheriff .,a sheriff is asked by a soldier .,the cousin asked the mayor .,the mayor was asked by the cousin .
a bishop asks a soldier .,a soldier is asked by a bishop .,the cousin asked the mayor .,the mayor was asked by the cousin .
a soldier asks an administration .,an administration is asked by a soldier .,the cousin asked the mayor .,the mayor was asked by the cousin .
a writer asks a child .,a child is asked by a writer .,the cousin asked the mayor .,the mayor was asked by the cousin .
the candidate discovered the newspaper .,the newspaper was discovered by the candidate .,a chief discovers a candy .,a candy is discovered by a chief .
the teacher discovered the lawyer .,the lawyer was discovered by the teacher .,a chief discovers a candy .,a candy is discovered by a chief .
the girl discovered the daughter .,the daughter was discovered by the girl .,a chief discovers a candy .,a candy is discovered by a chief .
the president discovered the television .,the television was discovered by the president .,a chief discovers a candy .,a candy is discovered by a chief .
the manager discovered the scientist .,the scientist was discovered by the manager .,a chief discovers a candy .,a candy is discovered by a chief .
the lawyer discovered the buddy .,the buddy was discovered by the lawyer .,a chief discovers a candy .,a candy is discovered by a chief .
the guest discovered the anchor .,the anchor was discovered by the guest .,a chief discovers a candy .,a candy is discovered by a chief .
the woman discovered the tea .,the tea was discovered by the woman .,a chief discovers a candy .,a candy is discovered by a chief .
the priest discovered the coffee .,the coffee was discovered by the priest .,a chief discovers a candy .,a candy is discovered by a chief .
the priest discovered the tea .,the tea was discovered by the priest .,a chief discovers a candy .,a candy is discovered by a chief .
a bishop struck a priest .,a priest was struck by a bishop .,the husband strikes the buddy .,the buddy is struck by the husband .
a son struck a lady .,a lady was struck by a son .,the husband strikes the buddy .,the buddy is struck by the husband .
a lady struck a scientist .,a scientist was struck by a lady .,the husband strikes the buddy .,the buddy is struck by the husband .
a boy struck a parent .,a parent was struck by a boy .,the husband strikes the buddy .,the buddy is struck by the husband .
a prince struck a leader .,a leader was struck by a prince .,the husband strikes the buddy .,the buddy is struck by the husband .
a girl struck a pilot .,a pilot was struck by a girl .,the husband strikes the buddy .,the buddy is struck by the husband .
a manager struck a guy .,a guy was struck by a manager .,the husband strikes the buddy .,the buddy is struck by the husband .
a teacher struck a leader .,a leader was struck by a teacher .,the husband strikes the buddy .,the buddy is struck by the husband .
a sheriff struck a son .,a son was struck by a sheriff .,the husband strikes the buddy .,the buddy is struck by the husband .
a worker struck a guest .,a guest was struck by a worker .,the husband strikes the buddy .,the buddy is struck by the husband .
the actor destroys the juice .,the juice is destroyed by the actor .,a student destroyed a champion .,a champion was destroyed by a student .
the son destroys the tea .,the tea is destroyed by the son .,a student destroyed a champion .,a champion was destroyed by a student .
the opponent destroys the candy .,the candy is destroyed by the opponent .,a student destroyed a champion .,a champion was destroyed by a student .
the daughter destroys the chocolate .,the chocolate is destroyed by the daughter .,a student destroyed a champion .,a champion was destroyed by a student .
the minister destroys the ball .,the ball is destroyed by the minister .,a student destroyed a champion .,a champion was destroyed by a student .
the mother destroys the meal .,the meal is destroyed by the mother .,a student destroyed a champion .,a champion was destroyed by a student .
the man destroys the beer .,the beer is destroyed by the man .,a student destroyed a champion .,a champion was destroyed by a student .
the wife destroys the jacket .,the jacket is destroyed by the wife .,a student destroyed a champion .,a champion was destroyed by a student .
the cousin destroys the beer .,the beer is destroyed by the cousin .,a student destroyed a champion .,a champion was destroyed by a student .
the sheriff destroys the beer .,the beer is destroyed by the sheriff .,a student destroyed a champion .,a champion was destroyed by a student .
the husband removed the jacket .,the jacket was removed by the husband .,a brother removes a plate .,a plate is removed by a brother .
the writer removed the cigarette .,the cigarette was removed by the writer .,a brother removes a plate .,a plate is removed by a brother .
the chief removed the television .,the television was removed by the chief .,a brother removes a plate .,a plate is removed by a brother .
the winner removed the bag .,the bag was removed by the winner .,a brother removes a plate .,a plate is removed by a brother .
the attorney removed the computer .,the computer was removed by the attorney .,a brother removes a plate .,a plate is removed by a brother .
the priest removed the iron .,the iron was removed by the priest .,a brother removes a plate .,a plate is removed by a brother .
the sheriff removed the coat .,the coat was removed by the sheriff .,a brother removes a plate .,a plate is removed by a brother .
the wife removed the coat .,the coat was removed by the wife .,a brother removes a plate .,a plate is removed by a brother .
the man removed the pot .,the pot was removed by the man .,a brother removes a plate .,a plate is removed by a brother .
the actress removed the instrument .,the instrument was removed by the actress .,a brother removes a plate .,a plate is removed by a brother .
a husband grabs a coffee .,a coffee is grabbed by a husband .,the actress grabbed the candy .,the candy was grabbed by the actress .
a doctor grabs a log .,a log is grabbed by a doctor .,the actress grabbed the candy .,the candy was grabbed by the actress .
a sheriff grabs a captain .,a captain is grabbed by a sheriff .,the actress grabbed the candy .,the candy was grabbed by the actress .
a president grabs a machine .,a machine is grabbed by a president .,the actress grabbed the candy .,the candy was grabbed by the actress .
a reader grabs a hat .,a hat is grabbed by a reader .,the actress grabbed the candy .,the candy was grabbed by the actress .
a bishop grabs a coffee .,a coffee is grabbed by a bishop .,the actress grabbed the candy .,the candy was grabbed by the actress .
an adult grabs a meal .,a meal is grabbed by an adult .,the actress grabbed the candy .,the candy was grabbed by the actress .
a guy grabs a beer .,a beer is grabbed by a guy .,the actress grabbed the candy .,the candy was grabbed by the actress .
a leader grabs a crystal .,a crystal is grabbed by a leader .,the actress grabbed the candy .,the candy was grabbed by the actress .
a friend grabs a chicken .,a chicken is grabbed by a friend .,the actress grabbed the candy .,the candy was grabbed by the actress .
the minister embraced the employer .,the employer was embraced by the minister .,a child embraces an adult .,an adult is embraced by a child .
