pa, pp, ta, tp
a cop comforted a daughter .,a daughter was comforted by a cop .,a husband drank a juice .,a juice was drunk by a husband .
a cop followed an author .,an author was followed by a cop .,a husband drank a juice .,a juice was drunk by a husband .
a partner discovered a pie .,a pie was discovered by a partner .,a husband drank a juice .,a juice was drunk by a husband .
a soldier killed a colonel .,a colonel was killed by a soldier .,a husband drank a juice .,a juice was drunk by a husband .
a woman hurt a corporation .,a corporation was hurt by a woman .,a husband drank a juice .,a juice was drunk by a husband .
the girl joined the mayor .,the mayor was joined by the girl .,the captain chased the winner .,the winner was chased by the captain .
the lady accepted the jacket .,the jacket was accepted by the lady .,the captain chased the winner .,the winner was chased by the captain .
the employer killed the lawyer .,the lawyer was killed by the employer .,the captain chased the winner .,the winner was chased by the captain .
the bishop smelled the knife .,the knife was smelled by the bishop .,the captain chased the winner .,the winner was chased by the captain .
the son killed the adult .,the adult was killed by the son .,the captain chased the winner .,the winner was chased by the captain .
the guy embraced the husband .,the husband was embraced by the guy .,the captain chased the winner .,the winner was chased by the captain .
the worker kissed the brother .,the brother was kissed by the worker .,the captain chased the winner .,the winner was chased by the captain .
the daughter kissed the attorney .,the attorney was kissed by the daughter .,the captain chased the winner .,the winner was chased by the captain .
the son accepted the key .,the key was accepted by the son .,the captain chased the winner .,the winner was chased by the captain .
the father beat the opponent .,the opponent was beaten by the father .,the captain chased the winner .,the winner was chased by the captain .
the partner dragged the card .,the card was dragged by the partner .,the club wanted the juice .,the juice was wanted by the club .
the son described the candy .,the candy was described by the son .,the club wanted the juice .,the juice was wanted by the club .
the lawyer caught the chocolate .,the chocolate was caught by the lawyer .,the club wanted the juice .,the juice was wanted by the club .
the boy prepared the meal .,the meal was prepared by the boy .,the club wanted the juice .,the juice was wanted by the club .
the friend destroyed the candy .,the candy was destroyed by the friend .,the club wanted the juice .,the juice was wanted by the club .
the friend grabbed the wife .,the wife was grabbed by the friend .,the club wanted the juice .,the juice was wanted by the club .
the chief chased the band .,the band was chased by the chief .,the club wanted the juice .,the juice was wanted by the club .
the actress bothered the woman .,the woman was bothered by the actress .,the club wanted the juice .,the juice was wanted by the club .
the mother followed the army .,the army was followed by the mother .,the club wanted the juice .,the juice was wanted by the club .
the man helped the princess .,the princess was helped by the man .,the club wanted the juice .,the juice was wanted by the club .
a friend carries a beer .,a beer is carried by a friend .,an author surprises a chief .,a chief is surprised by an author .
a prince chases an army .,an army is chased by a prince .,an author surprises a chief .,a chief is surprised by an author .
a girl judges a lady .,a lady is judged by a girl .,an author surprises a chief .,a chief is surprised by an author .
a boy eats a meal .,a meal is eaten by a boy .,an author surprises a chief .,a chief is surprised by an author .
a secretary drinks a juice .,a juice is drunk by a secretary .,an author surprises a chief .,a chief is surprised by an author .
a doctor catches a beer .,a beer is caught by a doctor .,an author surprises a chief .,a chief is surprised by an author .
a winner leads an administration .,an administration is led by a winner .,an author surprises a chief .,a chief is surprised by an author .
a nurse leads a business .,a business is led by a nurse .,an author surprises a chief .,a chief is surprised by an author .
a son asks an opponent .,an opponent is asked by a son .,an author surprises a chief .,a chief is surprised by an author .
a candidate discovers a girl .,a girl is discovered by a candidate .,an author surprises a chief .,a chief is surprised by an author .
the singer forgave the business .,the business was forgiven by the singer .,the lawyer punched the secretary .,the secretary was punched by the lawyer .
the husband surprised the employer .,the employer was surprised by the husband .,the lawyer punched the secretary .,the secretary was punched by the lawyer .
the scientist comforted the physician .,the physician was comforted by the scientist .,the lawyer punched the secretary .,the secretary was punched by the lawyer .
the actor joined the cop .,the cop was joined by the actor .,the lawyer punched the secretary .,the secretary was punched by the lawyer .
the actor forgot the bottle .,the bottle was forgotten by the actor .,the lawyer punched the secretary .,the secretary was punched by the lawyer .
the minister described the beer .,the beer was described by the minister .,the lawyer punched the secretary .,the secretary was punched by the lawyer .
the company used the computer .,the computer was used by the company .,the lawyer punched the secretary .,the secretary was punched by the lawyer .
the club purchased the ball .,the ball was purchased by the club .,the lawyer punched the secretary .,the secretary was punched by the lawyer .
the colonel described the gun .,the gun was described by the colonel .,the lawyer punched the secretary .,the secretary was punched by the lawyer .
the wife asked the actor .,the actor was asked by the wife .,the lawyer punched the secretary .,the secretary was punched by the lawyer .
a friend drank a beer .,a beer was drunk by a friend .,a child broke a book .,a book was broken by a child .
a corporation used a pot .,a pot was used by a corporation .,a child broke a book .,a book was broken by a child .
a king hurried a buddy .,a buddy was hurried by a king .,a child broke a book .,a book was broken by a child .
a leader comforted a manager .,a manager was comforted by a leader .,a child broke a book .,a book was broken by a child .
a champion washed a lawyer .,a lawyer was washed by a champion .,a child broke a book .,a book was broken by a child .
a soldier wrapped a machine .,a machine was wrapped by a soldier .,a child broke a book .,a book was broken by a child .
a princess forgave an army .,an army was forgiven by a princess .,a child broke a book .,a book was broken by a child .
a winner caught a beer .,a beer was caught by a winner .,a child broke a book .,a book was broken by a child .
a chief removed a crystal .,a crystal was removed by a chief .,a child broke a book .,a book was broken by a child .
a lady discovered a scientist .,a scientist was discovered by a lady .,a child broke a book .,a book was broken by a child .
the princess beats the hero .,the hero is beaten by the princess .,the pilot carries the television .,the television is carried by the pilot .
the father selects the guitar .,the guitar is selected by the father .,the pilot carries the television .,the television is carried by the pilot .
the mayor wraps the knife .,the knife is wrapped by the mayor .,the pilot carries the television .,the television is carried by the pilot .
the opponent raises the wire .,the wire is raised by the opponent .,the pilot carries the television .,the television is carried by the pilot .
the student follows the kid .,the kid is followed by the student .,the pilot carries the television .,the television is carried by the pilot .
the champion forgives the business .,the business is forgiven by the champion .,the pilot carries the television .,the television is carried by the pilot .
the guy uses the newspaper .,the newspaper is used by the guy .,the pilot carries the television .,the television is carried by the pilot .
the cousin eats the cheese .,the cheese is eaten by the cousin .,the pilot carries the television .,the television is carried by the pilot .
the winner eats the chicken .,the chicken is eaten by the winner .,the pilot carries the television .,the television is carried by the pilot .
the worker destroys the author .,the author is destroyed by the worker .,the pilot carries the television .,the television is carried by the pilot .
the boy catches the cheese .,the cheese is caught by the boy .,the writer uses the log .,the log is used by the writer .
the girl punches the mother .,the mother is punched by the girl .,the writer uses the log .,the log is used by the writer .
the partner wants the tea .,the tea is wanted by the partner .,the writer uses the log .,the log is used by the writer .
the chief selects the employee .,the employee is selected by the chief .,the writer uses the log .,the log is used by the writer .
the secretary selects the telephone .,the telephone is selected by the secretary .,the writer uses the log .,the log is used by the writer .
the husband purchases the gun .,the gun is purchased by the husband .,the writer uses the log .,the log is used by the writer .
the kid teaches the cop .,the cop is taught by the kid .,the writer uses the log .,the log is used by the writer .
the employer collects the guitar .,the guitar is collected by the employer .,the writer uses the log .,the log is used by the writer .
the candidate carries the anchor .,the anchor is carried by the candidate .,the writer uses the log .,the log is used by the writer .
the father removes the newspaper .,the newspaper is removed by the father .,the writer uses the log .,the log is used by the writer .
a soldier punched a lawyer .,a lawyer was punched by a soldier .,a leader joined a corporation .,a corporation was joined by a leader .
a cop discovered a beer .,a beer was discovered by a cop .,a leader joined a corporation .,a corporation was joined by a leader .
an employer struck a son .,a son was struck by an employer .,a leader joined a corporation .,a corporation was joined by a leader .
a professor carried a chicken .,a chicken was carried by a professor .,a leader joined a corporation .,a corporation was joined by a leader .
a buddy forgave a guy .,a guy was forgiven by a buddy .,a leader joined a corporation .,a corporation was joined by a leader .
a soldier accepted a key .,a key was accepted by a soldier .,a leader joined a corporation .,a corporation was joined by a leader .
a writer beat a brother .,a brother was beaten by a writer .,a leader joined a corporation .,a corporation was joined by a leader .
a sheriff judged a teacher .,a teacher was judged by a sheriff .,a leader joined a corporation .,a corporation was joined by a leader .
an attorney helped a reader .,a reader was helped by an attorney .,a leader joined a corporation .,a corporation was joined by a leader .
a wife broke a book .,a book was broken by a wife .,a leader joined a corporation .,a corporation was joined by a leader .
the physician removed the wire .,the wire was removed by the physician .,the woman embraced the singer .,the singer was embraced by the woman .
the uncle prepared the meal .,the meal was prepared by the uncle .,the woman embraced the singer .,the singer was embraced by the woman .
the husband helped the opponent .,the opponent was helped by the husband .,the woman embraced the singer .,the singer was embraced by the woman .
the professor grabbed the coffee .,the coffee was grabbed by the professor .,the woman embraced the singer .,the singer was embraced by the woman .
the partner forgot the chicken .,the chicken was forgotten by the partner .,the woman embraced the singer .,the singer was embraced by the woman .
the doctor hurt the army .,the army was hurt by the doctor .,the woman embraced the singer .,the singer was embraced by the woman .
the pilot struck the minister .,the minister was struck by the pilot .,the woman embraced the singer .,the singer was embraced by the woman .
the princess led the army .,the army was led by the princess .,the woman embraced the singer .,the singer was embraced by the woman .
the candidate prepared the card .,the card was prepared by the candidate .,the woman embraced the singer .,the singer was embraced by the woman .
the sheriff asked the captain .,the captain was asked by the sheriff .,the woman embraced the singer .,the singer was embraced by the woman .
the sheriff joined the army .,the army was joined by the sheriff .,the leader drank the juice .,the juice was drunk by the leader .
the cop wrapped the flower .,the flower was wrapped by the cop .,the leader drank the juice .,the juice was drunk by the leader .
the prince used the flower .,the flower was used by the prince .,the leader drank the juice .,the juice was drunk by the leader .
the attorney removed the book .,the book was removed by the attorney .,the leader drank the juice .,the juice was drunk by the leader .
the parent chased the business .,the business was chased by the parent .,the leader drank the juice .,the juice was drunk by the leader .
the priest forgot the motor .,the motor was forgotten by the priest .,the leader drank the juice .,the juice was drunk by the leader .
the candidate embraced the bishop .,the bishop was embraced by the candidate .,the leader drank the juice .,the juice was drunk by the leader .
the uncle washed the prince .,the prince was washed by the uncle .,the leader drank the juice .,the juice was drunk by the leader .
the company helped the attorney .,the attorney was helped by the company .,the leader drank the juice .,the juice was drunk by the leader .
the child chased the corporation .,the corporation was chased by the child .,the leader drank the juice .,the juice was drunk by the leader .
a president raises a plate .,a plate is raised by a president .,a boy understands a reader .,a reader is understood by a boy .
a singer eats a cheese .,a cheese is eaten by a singer .,a boy understands a reader .,a reader is understood by a boy .
an administration protects a princess .,a princess is protected by an administration .,a boy understands a reader .,a reader is understood by a boy .
an actor raises a cheese .,a cheese is raised by an actor .,a boy understands a reader .,a reader is understood by a boy .
a princess drinks a tea .,a tea is drunk by a princess .,a boy understands a reader .,a reader is understood by a boy .
a company wants a salad .,a salad is wanted by a company .,a boy understands a reader .,a reader is understood by a boy .
a company helps a nurse .,a nurse is helped by a company .,a boy understands a reader .,a reader is understood by a boy .
a champion drags an uncle .,an uncle is dragged by a champion .,a boy understands a reader .,a reader is understood by a boy .
a lawyer punches a chief .,a chief is punched by a lawyer .,a boy understands a reader .,a reader is understood by a boy .
a guest leaves a gun .,a gun is left by a guest .,a boy understands a reader .,a reader is understood by a boy .
the corporation used the glass .,the glass was used by the corporation .,the physician collected the coffee .,the coffee was collected by the physician .
the minister judged the corporation .,the corporation was judged by the minister .,the physician collected the coffee .,the coffee was collected by the physician .
the king washed the father .,the father was washed by the king .,the physician collected the coffee .,the coffee was collected by the physician .
the husband wanted the anchor .,the anchor was wanted by the husband .,the physician collected the coffee .,the coffee was collected by the physician .
the guest comforted the scientist .,the scientist was comforted by the guest .,the physician collected the coffee .,the coffee was collected by the physician .
the kid ate the chicken .,the chicken was eaten by the kid .,the physician collected the coffee .,the coffee was collected by the physician .
the business used the iron .,the iron was used by the business .,the physician collected the coffee .,the coffee was collected by the physician .
the opponent described the boy .,the boy was described by the opponent .,the physician collected the coffee .,the coffee was collected by the physician .
the uncle destroyed the candy .,the candy was destroyed by the uncle .,the physician collected the coffee .,the coffee was collected by the physician .
the minister protected the partner .,the partner was protected by the minister .,the physician collected the coffee .,the coffee was collected by the physician .
the opponent struck the minister .,the minister was struck by the opponent .,the winner broke the gun .,the gun was broken by the winner .
the author comforted the employer .,the employer was comforted by the author .,the winner broke the gun .,the gun was broken by the winner .
the husband asked the corporation .,the corporation was asked by the husband .,the winner broke the gun .,the gun was broken by the winner .
the adult ate the salad .,the salad was eaten by the adult .,the winner broke the gun .,the gun was broken by the winner .
the king discovered the pie .,the pie was discovered by the king .,the winner broke the gun .,the gun was broken by the winner .
the parent struck the man .,the man was struck by the parent .,the winner broke the gun .,the gun was broken by the winner .
the army wanted the juice .,the juice was wanted by the army .,the winner broke the gun .,the gun was broken by the winner .
the priest chased the father .,the father was chased by the priest .,the winner broke the gun .,the gun was broken by the winner .
the president surprised the bishop .,the bishop was surprised by the president .,the winner broke the gun .,the gun was broken by the winner .
the aunt carried the newspaper .,the newspaper was carried by the aunt .,the winner broke the gun .,the gun was broken by the winner .
the priest understood the sheriff .,the sheriff was understood by the priest .,the scientist bothered the candidate .,the candidate was bothered by the scientist .
the bishop selected the pot .,the pot was selected by the bishop .,the scientist bothered the candidate .,the candidate was bothered by the scientist .
the adult chased the business .,the business was chased by the adult .,the scientist bothered the candidate .,the candidate was bothered by the scientist .
the actress ate the candy .,the candy was eaten by the actress .,the scientist bothered the candidate .,the candidate was bothered by the scientist .
the secretary collected the book .,the book was collected by the secretary .,the scientist bothered the candidate .,the candidate was bothered by the scientist .
the king left the key .,the key was left by the king .,the scientist bothered the candidate .,the candidate was bothered by the scientist .
the leader understood the champion .,the champion was understood by the leader .,the scientist bothered the candidate .,the candidate was bothered by the scientist .
the employer hurried the hero .,the hero was hurried by the employer .,the scientist bothered the candidate .,the candidate was bothered by the scientist .
the secretary collected the chicken .,the chicken was collected by the secretary .,the scientist bothered the candidate .,the candidate was bothered by the scientist .
the partner struck the hero .,the hero was struck by the partner .,the scientist bothered the candidate .,the candidate was bothered by the scientist .
a son collects a coffee .,a coffee is collected by a son .,a hero teaches a soldier .,a soldier is taught by a hero .
a cop kisses a girl .,a girl is kissed by a cop .,a hero teaches a soldier .,a soldier is taught by a hero .
a priest strikes a minister .,a minister is struck by a priest .,a hero teaches a soldier .,a soldier is taught by a hero .
a partner joins an actor .,an actor is joined by a partner .,a hero teaches a soldier .,a soldier is taught by a hero .
a buddy washes a motor .,a motor is washed by a buddy .,a hero teaches a soldier .,a soldier is taught by a hero .
a child hurries a mother .,a mother is hurried by a child .,a hero teaches a soldier .,a soldier is taught by a hero .
a corporation uses a pot .,a pot is used by a corporation .,a hero teaches a soldier .,a soldier is taught by a hero .
a guy breaks an instrument .,an instrument is broken by a guy .,a hero teaches a soldier .,a soldier is taught by a hero .
a friend removes a log .,a log is removed by a friend .,a hero teaches a soldier .,a soldier is taught by a hero .
a daughter drags a television .,a television is dragged by a daughter .,a hero teaches a soldier .,a soldier is taught by a hero .
the opponent accepts the pot .,the pot is accepted by the opponent .,the manager judges the administration .,the administration is judged by the manager .
the boy forgives the corporation .,the corporation is forgiven by the boy .,the manager judges the administration .,the administration is judged by the manager .
the husband surprises the hero .,the hero is surprised by the husband .,the manager judges the administration .,the administration is judged by the manager .
the prince prepares the juice .,the juice is prepared by the prince .,the manager judges the administration .,the administration is judged by the manager .
the lady forgives the opponent .,the opponent is forgiven by the lady .,the manager judges the administration .,the administration is judged by the manager .
the daughter surprises the buddy .,the buddy is surprised by the daughter .,the manager judges the administration .,the administration is judged by the manager .
the opponent prepares the coffee .,the coffee is prepared by the opponent .,the manager judges the administration .,the administration is judged by the manager .
the woman accepts the telephone .,the telephone is accepted by the woman .,the manager judges the administration .,the administration is judged by the manager .
the actress purchases the box .,the box is purchased by the actress .,the manager judges the administration .,the administration is judged by the manager .
the king keeps the coat .,the coat is kept by the king .,the manager judges the administration .,the administration is judged by the manager .
the aunt hurries the winner .,the winner is hurried by the aunt .,the brother washes the writer .,the writer is washed by the brother .
the actor uses the camera .,the camera is used by the actor .,the brother washes the writer .,the writer is washed by the brother .
the prince removes the machine .,the machine is removed by the prince .,the brother washes the writer .,the writer is washed by the brother .
the opponent leads the business .,the business is led by the opponent .,the brother washes the writer .,the writer is washed by the brother .
the woman carries the iron .,the iron is carried by the woman .,the brother washes the writer .,the writer is washed by the brother .
the king hurts the captain .,the captain is hurt by the king .,the brother washes the writer .,the writer is washed by the brother .
the parent forgets the guest .,the guest is forgotten by the parent .,the brother washes the writer .,the writer is washed by the brother .
the pilot follows the administration .,the administration is followed by the pilot .,the brother washes the writer .,the writer is washed by the brother .
the employer drags the sheriff .,the sheriff is dragged by the employer .,the brother washes the writer .,the writer is washed by the brother .
the pilot collects the tea .,the tea is collected by the pilot .,the brother washes the writer .,the writer is washed by the brother .
the brother caught the beer .,the beer was caught by the brother .,the opponent comforted the guy .,the guy was comforted by the opponent .
the band purchased the machine .,the machine was purchased by the band .,the opponent comforted the guy .,the guy was comforted by the opponent .
the colonel destroyed the coffee .,the coffee was destroyed by the colonel .,the opponent comforted the guy .,the guy was comforted by the opponent .
the husband described the parent .,the parent was described by the husband .,the opponent comforted the guy .,the guy was comforted by the opponent .
the priest asked the company .,the company was asked by the priest .,the opponent comforted the guy .,the guy was comforted by the opponent .
the physician broke the button .,the button was broken by the physician .,the opponent comforted the guy .,the guy was comforted by the opponent .
the prince discovered the student .,the student was discovered by the prince .,the opponent comforted the guy .,the guy was comforted by the opponent .
the employee led the company .,the company was led by the employee .,the opponent comforted the guy .,the guy was comforted by the opponent .
the business protected the child .,the child was protected by the business .,the opponent comforted the guy .,the guy was comforted by the opponent .
the cousin wrapped the knife .,the knife was wrapped by the cousin .,the opponent comforted the guy .,the guy was comforted by the opponent .
a candidate wraps a hat .,a hat is wrapped by a candidate .,a business purchases a beer .,a beer is purchased by a business .
a chief selects a secretary .,a secretary is selected by a chief .,a business purchases a beer .,a beer is purchased by a business .
a king hurts a club .,a club is hurt by a king .,a business purchases a beer .,a beer is purchased by a business .
a woman joins a club .,a club is joined by a woman .,a business purchases a beer .,a beer is purchased by a business .
a mother uses a hat .,a hat is used by a mother .,a business purchases a beer .,a beer is purchased by a business .
a pilot hurries a president .,a president is hurried by a pilot .,a business purchases a beer .,a beer is purchased by a business .
a reader follows a band .,a band is followed by a reader .,a business purchases a beer .,a beer is purchased by a business .
a guest carries a jacket .,a jacket is carried by a guest .,a business purchases a beer .,a beer is purchased by a business .
a teacher discovers a juice .,a juice is discovered by a teacher .,a business purchases a beer .,a beer is purchased by a business .
a priest embraces a pilot .,a pilot is embraced by a priest .,a business purchases a beer .,a beer is purchased by a business .
the captain described the juice .,the juice was described by the captain .,the reader discovered the beer .,the beer was discovered by the reader .
the prince caught the wife .,the wife was caught by the prince .,the reader discovered the beer .,the beer was discovered by the reader .
the boy judged the girl .,the girl was judged by the boy .,the reader discovered the beer .,the beer was discovered by the reader .
the captain left the bell .,the bell was left by the captain .,the reader discovered the beer .,the beer was discovered by the reader .
the administration helped the lady .,the lady was helped by the administration .,the reader discovered the beer .,the beer was discovered by the reader .
the attorney wrapped the pot .,the pot was wrapped by the attorney .,the reader discovered the beer .,the beer was discovered by the reader .
the mayor surprised the son .,the son was surprised by the mayor .,the reader discovered the beer .,the beer was discovered by the reader .
the president bothered the candidate .,the candidate was bothered by the president .,the reader discovered the beer .,the beer was discovered by the reader .
the princess asked the company .,the company was asked by the princess .,the reader discovered the beer .,the beer was discovered by the reader .
the actor left the pot .,the pot was left by the actor .,the reader discovered the beer .,the beer was discovered by the reader .
an adult wraps a box .,a box is wrapped by an adult .,a teacher judges a business .,a business is judged by a teacher .
a singer grabs a juice .,a juice is grabbed by a singer .,a teacher judges a business .,a business is judged by a teacher .
an opponent punches a cop .,a cop is punched by an opponent .,a teacher judges a business .,a business is judged by a teacher .
a singer forgets a wife .,a wife is forgotten by a singer .,a teacher judges a business .,a business is judged by a teacher .
an actress eats a cheese .,a cheese is eaten by an actress .,a teacher judges a business .,a business is judged by a teacher .
a doctor beats a daughter .,a daughter is beaten by a doctor .,a teacher judges a business .,a business is judged by a teacher .
an actress raises a wire .,a wire is raised by an actress .,a teacher judges a business .,a business is judged by a teacher .
a minister asks a guest .,a guest is asked by a minister .,a teacher judges a business .,a business is judged by a teacher .
a buddy smells a pie .,a pie is smelled by a buddy .,a teacher judges a business .,a business is judged by a teacher .
a nurse drinks a coffee .,a coffee is drunk by a nurse .,a teacher judges a business .,a business is judged by a teacher .
the man removes the telephone .,the telephone is removed by the man .,the girl comforts the champion .,the champion is comforted by the girl .
the worker forgets the son .,the son is forgotten by the worker .,the girl comforts the champion .,the champion is comforted by the girl .
the priest drinks the coffee .,the coffee is drunk by the priest .,the girl comforts the champion .,the champion is comforted by the girl .
the manager joins the company .,the company is joined by the manager .,the girl comforts the champion .,the champion is comforted by the girl .
the professor accepts the card .,the card is accepted by the professor .,the girl comforts the champion .,the champion is comforted by the girl .
the sheriff tastes the chocolate .,the chocolate is tasted by the sheriff .,the girl comforts the champion .,the champion is comforted by the girl .
the priest kills the son .,the son is killed by the priest .,the girl comforts the champion .,the champion is comforted by the girl .
the leader forgets the iron .,the iron is forgotten by the leader .,the girl comforts the champion .,the champion is comforted by the girl .
the mother selects the box .,the box is selected by the mother .,the girl comforts the champion .,the champion is comforted by the girl .
the lawyer chases the company .,the company is chased by the lawyer .,the girl comforts the champion .,the champion is comforted by the girl .
the author forgives the band .,the band is forgiven by the author .,the candidate catches the cheese .,the cheese is caught by the candidate .
the scientist hurries the writer .,the writer is hurried by the scientist .,the candidate catches the cheese .,the cheese is caught by the candidate .
the writer carries the pie .,the pie is carried by the writer .,the candidate catches the cheese .,the cheese is caught by the candidate .
the wife smells the knife .,the knife is smelled by the wife .,the candidate catches the cheese .,the cheese is caught by the candidate .
the army helps the child .,the child is helped by the army .,the candidate catches the cheese .,the cheese is caught by the candidate .
the guy wraps the machine .,the machine is wrapped by the guy .,the candidate catches the cheese .,the cheese is caught by the candidate .
the man accepts the bottle .,the bottle is accepted by the man .,the candidate catches the cheese .,the cheese is caught by the candidate .
the actor embraces the priest .,the priest is embraced by the actor .,the candidate catches the cheese .,the cheese is caught by the candidate .
the kid wraps the box .,the box is wrapped by the kid .,the candidate catches the cheese .,the cheese is caught by the candidate .
the manager smells the candy .,the candy is smelled by the manager .,the candidate catches the cheese .,the cheese is caught by the candidate .
a guy surprised a manager .,a manager was surprised by a guy .,a cousin taught a friend .,a friend was taught by a cousin .
an attorney grabbed a tea .,a tea was grabbed by an attorney .,a cousin taught a friend .,a friend was taught by a cousin .
a writer hurt an army .,an army was hurt by a writer .,a cousin taught a friend .,a friend was taught by a cousin .
a champion asked a corporation .,a corporation was asked by a champion .,a cousin taught a friend .,a friend was taught by a cousin .
a lawyer wanted a juice .,a juice was wanted by a lawyer .,a cousin taught a friend .,a friend was taught by a cousin .
a lawyer led a corporation .,a corporation was led by a lawyer .,a cousin taught a friend .,a friend was taught by a cousin .
a prince grabbed a writer .,a writer was grabbed by a prince .,a cousin taught a friend .,a friend was taught by a cousin .
a candidate surprised an actor .,an actor was surprised by a candidate .,a cousin taught a friend .,a friend was taught by a cousin .
a winner drank a coffee .,a coffee was drunk by a winner .,a cousin taught a friend .,a friend was taught by a cousin .
a manager chased an adult .,an adult was chased by a manager .,a cousin taught a friend .,a friend was taught by a cousin .
the adult describes the chocolate .,the chocolate is described by the adult .,the sheriff leaves the jacket .,the jacket is left by the sheriff .
the business protects the employee .,the employee is protected by the business .,the sheriff leaves the jacket .,the jacket is left by the sheriff .
the father kills the leader .,the leader is killed by the father .,the sheriff leaves the jacket .,the jacket is left by the sheriff .
the bishop understands the king .,the king is understood by the bishop .,the sheriff leaves the jacket .,the jacket is left by the sheriff .
the aunt accepts the hat .,the hat is accepted by the aunt .,the sheriff leaves the jacket .,the jacket is left by the sheriff .
the actor destroys the champion .,the champion is destroyed by the actor .,the sheriff leaves the jacket .,the jacket is left by the sheriff .
the soldier raises the iron .,the iron is raised by the soldier .,the sheriff leaves the jacket .,the jacket is left by the sheriff .
the hero describes the doctor .,the doctor is described by the hero .,the sheriff leaves the jacket .,the jacket is left by the sheriff .
