pa, pp, ta, tp
an angry attorney comforted an actor .,an actor was comforted by an angry attorney .,the ill teacher hurries the princess .,the princess is hurried by the ill teacher .
a good hero ate a meal .,a meal was eaten by a good hero .,the ordinary teacher hurries the princess .,the princess is hurried by the ordinary teacher .
a handsome daughter understood a buddy .,a buddy was understood by a handsome daughter .,the weird teacher hurries the princess .,the princess is hurried by the weird teacher .
the sensitive guy forgives the actor .,the actor is forgiven by the sensitive guy .,a tall secretary ate a cheese .,a cheese was eaten by a tall secretary .
the criminal pilot strikes the actress .,the actress is struck by the criminal pilot .,a brilliant secretary ate a cheese .,a cheese was eaten by a brilliant secretary .
the tough colonel grabs the motor .,the motor is grabbed by the tough colonel .,a blind secretary ate a cheese .,a cheese was eaten by a blind secretary .
the sick mother leads the club .,the club is led by the sick mother .,a rough secretary ate a cheese .,a cheese was eaten by a rough secretary .
the attractive administration helps the cop .,the cop is helped by the attractive administration .,a loud secretary ate a cheese .,a cheese was eaten by a loud secretary .
the horrible candidate smells the crystal .,the crystal is smelled by the horrible candidate .,a tall secretary ate a cheese .,a cheese was eaten by a tall secretary .
the southern singer destroys the juice .,the juice is destroyed by the southern singer .,a powerful secretary ate a cheese .,a cheese was eaten by a powerful secretary .
the sad child raises the buddy .,the buddy is raised by the sad child .,a bad secretary ate a cheese .,a cheese was eaten by a bad secretary .
the odd reader embraces the husband .,the husband is embraced by the odd reader .,a happy secretary ate a cheese .,a cheese was eaten by a happy secretary .
the awful author asks the professor .,the professor is asked by the awful author .,a sophisticated secretary ate a cheese .,a cheese was eaten by a sophisticated secretary .
a special writer removed a glass .,a glass was removed by a special writer .,the sexy priest understands the opponent .,the opponent is understood by the sexy priest .
a brilliant writer raised a television .,a television was raised by a brilliant writer .,the french priest understands the opponent .,the opponent is understood by the french priest .
a stupid buddy punched a leader .,a leader was punched by a stupid buddy .,the powerful priest understands the opponent .,the opponent is understood by the powerful priest .
an illegal administration wanted a guitar .,a guitar was wanted by an illegal administration .,the guilty priest understands the opponent .,the opponent is understood by the guilty priest .
a patient woman purchased a coffee .,a coffee was purchased by a patient woman .,the violent priest understands the opponent .,the opponent is understood by the violent priest .
a sophisticated singer chased a boy .,a boy was chased by a sophisticated singer .,the catholic priest understands the opponent .,the opponent is understood by the catholic priest .
a violent brother hurt a woman .,a woman was hurt by a violent brother .,the strong priest understands the opponent .,the opponent is understood by the strong priest .
an awful actress raised a man .,a man was raised by an awful actress .,the patient priest understands the opponent .,the opponent is understood by the patient priest .
an italian attorney destroyed a telephone .,a telephone was destroyed by an italian attorney .,the helpful priest understands the opponent .,the opponent is understood by the helpful priest .
an awful author carried a reader .,a reader was carried by an awful author .,the cute priest understands the opponent .,the opponent is understood by the cute priest .
an afraid actor ate a chicken .,a chicken was eaten by an afraid actor .,the powerful parent strikes the brother .,the brother is struck by the powerful parent .
an athletic author wrapped a guitar .,a guitar was wrapped by an athletic author .,the lonely parent strikes the brother .,the brother is struck by the lonely parent .
a sophisticated corporation kept a tea .,a tea was kept by a sophisticated corporation .,the mad parent strikes the brother .,the brother is struck by the mad parent .
a critical girl destroyed a beer .,a beer was destroyed by a critical girl .,the sexy parent strikes the brother .,the brother is struck by the sexy parent .
a healthy king kissed a reader .,a reader was kissed by a healthy king .,the normal parent strikes the brother .,the brother is struck by the normal parent .
an intelligent aunt comforted a chief .,a chief was comforted by an intelligent aunt .,the religious parent strikes the brother .,the brother is struck by the religious parent .
an intelligent attorney ate a candy .,a candy was eaten by an intelligent attorney .,the special parent strikes the brother .,the brother is struck by the special parent .
a drunk secretary understood a champion .,a champion was understood by a drunk secretary .,the generous parent strikes the brother .,the brother is struck by the generous parent .
a guilty pilot ate a chicken .,a chicken was eaten by a guilty pilot .,the stupid parent strikes the brother .,the brother is struck by the stupid parent .
a mad physician carried a man .,a man was carried by a mad physician .,the weird parent strikes the brother .,the brother is struck by the weird parent .
the ridiculous professor removes the knife .,the knife is removed by the ridiculous professor .,a chinese king wanted a coffee .,a coffee was wanted by a chinese king .
the tough chief embraces the uncle .,the uncle is embraced by the tough chief .,a hungry king wanted a coffee .,a coffee was wanted by a hungry king .
the important uncle describes the minister .,the minister is described by the important uncle .,a strong king wanted a coffee .,a coffee was wanted by a strong king .
the scary teacher hurts the brother .,the brother is hurt by the scary teacher .,a beautiful king wanted a coffee .,a coffee was wanted by a beautiful king .
the modern wife leads the club .,the club is led by the modern wife .,a serious king wanted a coffee .,a coffee was wanted by a serious king .
the proud friend embraces the actress .,the actress is embraced by the proud friend .,a sweet king wanted a coffee .,a coffee was wanted by a sweet king .
the normal boy smells the chicken .,the chicken is smelled by the normal boy .,a sweet king wanted a coffee .,a coffee was wanted by a sweet king .
the emotional employer beats the nurse .,the nurse is beaten by the emotional employer .,a nervous king wanted a coffee .,a coffee was wanted by a nervous king .
the bad professor leaves the button .,the button is left by the bad professor .,a helpful king wanted a coffee .,a coffee was wanted by a helpful king .
the awful actor surprises the captain .,the captain is surprised by the awful actor .,a loud king wanted a coffee .,a coffee was wanted by a loud king .
the curious mayor purchases the button .,the button is purchased by the curious mayor .,a strange teacher protected a guest .,a guest was protected by a strange teacher .
the jewish husband forgets the chicken .,the chicken is forgotten by the jewish husband .,a happy teacher protected a guest .,a guest was protected by a happy teacher .
the funny man smells the engine .,the engine is smelled by the funny man .,a fantastic teacher protected a guest .,a guest was protected by a fantastic teacher .
the attractive army wants the meal .,the meal is wanted by the attractive army .,a wonderful teacher protected a guest .,a guest was protected by a wonderful teacher .
the french manager drags the opponent .,the opponent is dragged by the french manager .,a beautiful teacher protected a guest .,a guest was protected by a beautiful teacher .
the ridiculous bishop comforts the mayor .,the mayor is comforted by the ridiculous bishop .,a happy teacher protected a guest .,a guest was protected by a happy teacher .
the sad physician beats the brother .,the brother is beaten by the sad physician .,a blind teacher protected a guest .,a guest was protected by a blind teacher .
the silent man joins the business .,the business is joined by the silent man .,a horrible teacher protected a guest .,a guest was protected by a horrible teacher .
the responsible minister tastes the salad .,the salad is tasted by the responsible minister .,a proud teacher protected a guest .,a guest was protected by a proud teacher .
the insane actor accepts the hat .,the hat is accepted by the insane actor .,a tall teacher protected a guest .,a guest was protected by a tall teacher .
the intelligent employer hurts the priest .,the priest is hurt by the intelligent employer .,an emotional opponent raised a president .,a president was raised by an emotional opponent .
the bad soldier understands the actress .,the actress is understood by the bad soldier .,an awful opponent raised a president .,a president was raised by an awful opponent .
the spanish manager beats the sheriff .,the sheriff is beaten by the spanish manager .,an illegal opponent raised a president .,a president was raised by an illegal opponent .
the poor chief beats the friend .,the friend is beaten by the poor chief .,an aggressive opponent raised a president .,a president was raised by an aggressive opponent .
the pale friend drinks the coffee .,the coffee is drunk by the pale friend .,an emotional opponent raised a president .,a president was raised by an emotional opponent .
the crazy student removes the bottle .,the bottle is removed by the crazy student .,an illegal opponent raised a president .,a president was raised by an illegal opponent .
the awful employee leads the club .,the club is led by the awful employee .,an insane opponent raised a president .,a president was raised by an insane opponent .
the awful adult embraces the buddy .,the buddy is embraced by the awful adult .,an italian opponent raised a president .,a president was raised by an italian opponent .
the sweet cousin selects the glass .,the glass is selected by the sweet cousin .,an evil opponent raised a president .,a president was raised by an evil opponent .
the criminal friend understands the priest .,the priest is understood by the criminal friend .,an angry opponent raised a president .,a president was raised by an angry opponent .
a reliable sheriff selects a bag .,a bag is selected by a reliable sheriff .,the dumb nurse asked the uncle .,the uncle was asked by the dumb nurse .
a wonderful friend punches a child .,a child is punched by a wonderful friend .,the bright nurse asked the uncle .,the uncle was asked by the bright nurse .
a sophisticated wife hurries a guy .,a guy is hurried by a sophisticated wife .,the beautiful nurse asked the uncle .,the uncle was asked by the beautiful nurse .
a peaceful winner collects a glass .,a glass is collected by a peaceful winner .,the healthy nurse asked the uncle .,the uncle was asked by the healthy nurse .
a sexy son protects a guest .,a guest is protected by a sexy son .,the sweet nurse asked the uncle .,the uncle was asked by the sweet nurse .
an angry employee destroys a key .,a key is destroyed by an angry employee .,the stupid nurse asked the uncle .,the uncle was asked by the stupid nurse .
an awful actress surprises a secretary .,a secretary is surprised by an awful actress .,the poor nurse asked the uncle .,the uncle was asked by the poor nurse .
a chinese princess catches a knife .,a knife is caught by a chinese princess .,the calm nurse asked the uncle .,the uncle was asked by the calm nurse .
a loving leader chases an army .,an army is chased by a loving leader .,the blind nurse asked the uncle .,the uncle was asked by the blind nurse .
a loving daughter prepares a candy .,a candy is prepared by a loving daughter .,the odd nurse asked the uncle .,the uncle was asked by the odd nurse .
a sexy son punches a buddy .,a buddy is punched by a sexy son .,the healthy guest hurt the writer .,the writer was hurt by the healthy guest .
a calm cop drinks a beer .,a beer is drunk by a calm cop .,the curious guest hurt the writer .,the writer was hurt by the curious guest .
a strong mayor strikes a captain .,a captain is struck by a strong mayor .,the helpful guest hurt the writer .,the writer was hurt by the helpful guest .
a brilliant lady strikes a prince .,a prince is struck by a brilliant lady .,the foreign guest hurt the writer .,the writer was hurt by the foreign guest .
an eager actress embraces a minister .,a minister is embraced by an eager actress .,the rough guest hurt the writer .,the writer was hurt by the rough guest .
a pretty soldier follows a nurse .,a nurse is followed by a pretty soldier .,the silent guest hurt the writer .,the writer was hurt by the silent guest .
a ridiculous colonel accepts a newspaper .,a newspaper is accepted by a ridiculous colonel .,the foreign guest hurt the writer .,the writer was hurt by the foreign guest .
an afraid attorney prepares a chocolate .,a chocolate is prepared by an afraid attorney .,the loving guest hurt the writer .,the writer was hurt by the loving guest .
a violent brother surprises a husband .,a husband is surprised by a violent brother .,the loving guest hurt the writer .,the writer was hurt by the loving guest .
a scary king embraces a bishop .,a bishop is embraced by a scary king .,the loving guest hurt the writer .,the writer was hurt by the loving guest .
a terrible priest bothered a son .,a son was bothered by a terrible priest .,the nervous winner kills the chief .,the chief is killed by the nervous winner .
an awful uncle raised a crystal .,a crystal was raised by an awful uncle .,the tall winner kills the chief .,the chief is killed by the tall winner .
a sweet cousin ate a chocolate .,a chocolate was eaten by a sweet cousin .,the normal winner kills the chief .,the chief is killed by the normal winner .
an excited actor judged a secretary .,a secretary was judged by an excited actor .,the religious winner kills the chief .,the chief is killed by the religious winner .
a french nurse broke a bag .,a bag was broken by a french nurse .,the peaceful winner kills the chief .,the chief is killed by the peaceful winner .
a patient physician selected a brother .,a brother was selected by a patient physician .,the drunk winner kills the chief .,the chief is killed by the drunk winner .
an emotional uncle washed a doctor .,a doctor was washed by an emotional uncle .,the bad winner kills the chief .,the chief is killed by the bad winner .
a stupid guy raised a meal .,a meal was raised by a stupid guy .,the responsible winner kills the chief .,the chief is killed by the responsible winner .
a religious doctor forgave a corporation .,a corporation was forgiven by a religious doctor .,the strange winner kills the chief .,the chief is killed by the strange winner .
a fair singer bothered a band .,a band was bothered by a fair singer .,the peaceful winner kills the chief .,the chief is killed by the peaceful winner .
the criminal lawyer leads the business .,the business is led by the criminal lawyer .,a peaceful chief smelled a bell .,a bell was smelled by a peaceful chief .
the awful author grabs the coffee .,the coffee is grabbed by the awful author .,a innocent chief smelled a bell .,a bell was smelled by a innocent chief .
the modest teacher judges the company .,the company is judged by the modest teacher .,a powerful chief smelled a bell .,a bell was smelled by a powerful chief .
the mad worker kills the actress .,the actress is killed by the mad worker .,a good chief smelled a bell .,a bell was smelled by a good chief .
the emotional attorney kisses the wife .,the wife is kissed by the emotional attorney .,a brave chief smelled a bell .,a bell was smelled by a brave chief .
the nice prince eats the meal .,the meal is eaten by the nice prince .,a young chief smelled a bell .,a bell was smelled by a young chief .
the tough doctor chases the partner .,the partner is chased by the tough doctor .,a bright chief smelled a bell .,a bell was smelled by a bright chief .
the afraid actress washes the nurse .,the nurse is washed by the afraid actress .,a strong chief smelled a bell .,a bell was smelled by a strong chief .
the nice physician teaches the lady .,the lady is taught by the nice physician .,a terrible chief smelled a bell .,a bell was smelled by a terrible chief .
the famous man collects the coat .,the coat is collected by the famous man .,a funny chief smelled a bell .,a bell was smelled by a funny chief .
the glad partner purchases the coffee .,the coffee is purchased by the glad partner .,a sexy candidate killed a student .,a student was killed by a sexy candidate .
the guilty king discovers the brother .,the brother is discovered by the guilty king .,a beautiful candidate killed a student .,a student was killed by a beautiful candidate .
the alert employer smells the coffee .,the coffee is smelled by the alert employer .,a foreign candidate killed a student .,a student was killed by a foreign candidate .
the healthy cop breaks the newspaper .,the newspaper is broken by the healthy cop .,a special candidate killed a student .,a student was killed by a special candidate .
the happy hero catches the juice .,the juice is caught by the happy hero .,a cool candidate killed a student .,a student was killed by a cool candidate .
the beautiful colonel forgets the cheese .,the cheese is forgotten by the beautiful colonel .,a pale candidate killed a student .,a student was killed by a pale candidate .
the silent priest breaks the telephone .,the telephone is broken by the silent priest .,a violent candidate killed a student .,a student was killed by a violent candidate .
the good nurse surprises the prince .,the prince is surprised by the good nurse .,a cute candidate killed a student .,a student was killed by a cute candidate .
the silent leader punches the opponent .,the opponent is punched by the silent leader .,a loud candidate killed a student .,a student was killed by a loud candidate .
the modest guy understands the guest .,the guest is understood by the modest guy .,a creative candidate killed a student .,a student was killed by a creative candidate .
an important attorney accepts a crystal .,a crystal is accepted by an important attorney .,the italian actress chased the business .,the business was chased by the italian actress .
a fair hero strikes an adult .,an adult is struck by a fair hero .,the afraid actress chased the business .,the business was chased by the afraid actress .
a french reader discovers a physician .,a physician is discovered by a french reader .,the attractive actress chased the business .,the business was chased by the attractive actress .
a tall husband prepares a chicken .,a chicken is prepared by a tall husband .,the intelligent actress chased the business .,the business was chased by the intelligent actress .
a bright son strikes an attorney .,an attorney is struck by a bright son .,the eager actress chased the business .,the business was chased by the eager actress .
a ordinary soldier carries a priest .,a priest is carried by a ordinary soldier .,the aggressive actress chased the business .,the business was chased by the aggressive actress .
an athletic attorney leads a band .,a band is led by an athletic attorney .,the excellent actress chased the business .,the business was chased by the excellent actress .
a wise student tastes a meal .,a meal is tasted by a wise student .,the eager actress chased the business .,the business was chased by the eager actress .
an insane aunt bothers a parent .,a parent is bothered by an insane aunt .,the afraid actress chased the business .,the business was chased by the afraid actress .
a jewish king comforts an aunt .,an aunt is comforted by a jewish king .,the honest actress chased the business .,the business was chased by the honest actress .
a catholic cop accepts an anchor .,an anchor is accepted by a catholic cop .,the wonderful corporation protected the girl .,the girl was protected by the wonderful corporation .
a dumb hero describes a cheese .,a cheese is described by a dumb hero .,the great corporation protected the girl .,the girl was protected by the great corporation .
a funny cousin comforts a hero .,a hero is comforted by a funny cousin .,the ridiculous corporation protected the girl .,the girl was protected by the ridiculous corporation .
a southern nurse destroys a chicken .,a chicken is destroyed by a southern nurse .,the spanish corporation protected the girl .,the girl was protected by the spanish corporation .
a glad king follows a kid .,a kid is followed by a glad king .,the modest corporation protected the girl .,the girl was protected by the modest corporation .
a foreign cousin joins a writer .,a writer is joined by a foreign cousin .,the rough corporation protected the girl .,the girl was protected by the rough corporation .
an excellent author embraces a nurse .,a nurse is embraced by an excellent author .,the criminal corporation protected the girl .,the girl was protected by the criminal corporation .
an evil employee asks an administration .,an administration is asked by an evil employee .,the ridiculous corporation protected the girl .,the girl was protected by the ridiculous corporation .
a responsible hero washes a bishop .,a bishop is washed by a responsible hero .,the rich corporation protected the girl .,the girl was protected by the rich corporation .
a loud husband comforts a brother .,a brother is comforted by a loud husband .,the criminal corporation protected the girl .,the girl was protected by the criminal corporation .
the critical guy led the administration .,the administration was led by the critical guy .,a serious writer hurries an aunt .,an aunt is hurried by a serious writer .
the evil administration used the iron .,the iron was used by the evil administration .,a sick writer hurries an aunt .,an aunt is hurried by a sick writer .
the loud bishop used the hat .,the hat was used by the loud bishop .,a great writer hurries an aunt .,an aunt is hurried by a great writer .
the wonderful bishop bothered the business .,the business was bothered by the wonderful bishop .,a wise writer hurries an aunt .,an aunt is hurried by a wise writer .
the bad partner comforted the wife .,the wife was comforted by the bad partner .,a ridiculous writer hurries an aunt .,an aunt is hurried by a ridiculous writer .
the mad minister broke the knife .,the knife was broken by the mad minister .,a catholic writer hurries an aunt .,an aunt is hurried by a catholic writer .
the sick colonel led the army .,the army was led by the sick colonel .,a stupid writer hurries an aunt .,an aunt is hurried by a stupid writer .
the great cop removed the plate .,the plate was removed by the great cop .,a scary writer hurries an aunt .,an aunt is hurried by a scary writer .
the responsible student forgot the friend .,the friend was forgotten by the responsible student .,a sophisticated writer hurries an aunt .,an aunt is hurried by a sophisticated writer .
the tiny business kept the ball .,the ball was kept by the tiny business .,a healthy writer hurries an aunt .,an aunt is hurried by a healthy writer .
the fantastic princess follows the business .,the business is followed by the fantastic princess .,a hungry buddy comforted an adult .,an adult was comforted by a hungry buddy .
