pa, pp, ta, tp
a friend accepts an anchor .,an anchor is accepted by a friend .,the guy removed the motor .,the motor was removed by the guy .
a king describes an anchor .,an anchor is described by a king .,the guy removed the motor .,the motor was removed by the guy .
a chief kisses a candidate .,a candidate is kissed by a chief .,the guy removed the motor .,the motor was removed by the guy .
the chief described the engine .,the engine was described by the chief .,a teacher carries a soldier .,a soldier is carried by a teacher .
the singer asked the writer .,the writer was asked by the singer .,a teacher carries a soldier .,a soldier is carried by a teacher .
the uncle bothered the actor .,the actor was bothered by the uncle .,a teacher carries a soldier .,a soldier is carried by a teacher .
the physician destroyed the tea .,the tea was destroyed by the physician .,a teacher carries a soldier .,a soldier is carried by a teacher .
the bishop collected the motor .,the motor was collected by the bishop .,a teacher carries a soldier .,a soldier is carried by a teacher .
the guy left the key .,the key was left by the guy .,a teacher carries a soldier .,a soldier is carried by a teacher .
the child joined the mayor .,the mayor was joined by the child .,a teacher carries a soldier .,a soldier is carried by a teacher .
the son kept the juice .,the juice was kept by the son .,a teacher carries a soldier .,a soldier is carried by a teacher .
the son beat the father .,the father was beaten by the son .,a teacher carries a soldier .,a soldier is carried by a teacher .
the secretary judged the club .,the club was judged by the secretary .,a teacher carries a soldier .,a soldier is carried by a teacher .
an author removed a television .,a television was removed by an author .,the parent discovers the candy .,the candy is discovered by the parent .
an employer hurried a champion .,a champion was hurried by an employer .,the parent discovers the candy .,the candy is discovered by the parent .
a friend chased a business .,a business was chased by a friend .,the parent discovers the candy .,the candy is discovered by the parent .
a worker judged a business .,a business was judged by a worker .,the parent discovers the candy .,the candy is discovered by the parent .
a singer embraced a wife .,a wife was embraced by a singer .,the parent discovers the candy .,the candy is discovered by the parent .
a secretary selected a coffee .,a coffee was selected by a secretary .,the parent discovers the candy .,the candy is discovered by the parent .
an employer punched a soldier .,a soldier was punched by an employer .,the parent discovers the candy .,the candy is discovered by the parent .
a professor dragged a chief .,a chief was dragged by a professor .,the parent discovers the candy .,the candy is discovered by the parent .
a reader followed a singer .,a singer was followed by a reader .,the parent discovers the candy .,the candy is discovered by the parent .
an actress dragged a bottle .,a bottle was dragged by an actress .,the parent discovers the candy .,the candy is discovered by the parent .
the parent tastes the meal .,the meal is tasted by the parent .,a doctor raised a tea .,a tea was raised by a doctor .
the author surprises the captain .,the captain is surprised by the author .,a doctor raised a tea .,a tea was raised by a doctor .
the man tastes the salad .,the salad is tasted by the man .,a doctor raised a tea .,a tea was raised by a doctor .
the candidate leads the business .,the business is led by the candidate .,a doctor raised a tea .,a tea was raised by a doctor .
the buddy hurries the parent .,the parent is hurried by the buddy .,a doctor raised a tea .,a tea was raised by a doctor .
the mother eats the chocolate .,the chocolate is eaten by the mother .,a doctor raised a tea .,a tea was raised by a doctor .
the aunt smells the knife .,the knife is smelled by the aunt .,a doctor raised a tea .,a tea was raised by a doctor .
the son uses the bowl .,the bowl is used by the son .,a doctor raised a tea .,a tea was raised by a doctor .
the bishop follows the corporation .,the corporation is followed by the bishop .,a doctor raised a tea .,a tea was raised by a doctor .
the worker removes the television .,the television is removed by the worker .,a doctor raised a tea .,a tea was raised by a doctor .
a mayor grabbed a newspaper .,a newspaper was grabbed by a mayor .,the teacher hurries the princess .,the princess is hurried by the teacher .
an actor drank a juice .,a juice was drunk by an actor .,the teacher hurries the princess .,the princess is hurried by the teacher .
a company protected a nurse .,a nurse was protected by a company .,the teacher hurries the princess .,the princess is hurried by the teacher .
an employer comforted a son .,a son was comforted by an employer .,the teacher hurries the princess .,the princess is hurried by the teacher .
a winner left a bowl .,a bowl was left by a winner .,the teacher hurries the princess .,the princess is hurried by the teacher .
a champion dragged a machine .,a machine was dragged by a champion .,the teacher hurries the princess .,the princess is hurried by the teacher .
a manager understood a writer .,a writer was understood by a manager .,the teacher hurries the princess .,the princess is hurried by the teacher .
an attorney comforted an actor .,an actor was comforted by an attorney .,the teacher hurries the princess .,the princess is hurried by the teacher .
a hero ate a meal .,a meal was eaten by a hero .,the teacher hurries the princess .,the princess is hurried by the teacher .
a daughter understood a buddy .,a buddy was understood by a daughter .,the teacher hurries the princess .,the princess is hurried by the teacher .
the guy forgives the actor .,the actor is forgiven by the guy .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the pilot strikes the actress .,the actress is struck by the pilot .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the colonel grabs the motor .,the motor is grabbed by the colonel .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the mother leads the club .,the club is led by the mother .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the administration helps the cop .,the cop is helped by the administration .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the candidate smells the crystal .,the crystal is smelled by the candidate .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the singer destroys the juice .,the juice is destroyed by the singer .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the child raises the buddy .,the buddy is raised by the child .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the reader embraces the husband .,the husband is embraced by the reader .,a secretary ate a cheese .,a cheese was eaten by a secretary .
the author asks the professor .,the professor is asked by the author .,a secretary ate a cheese .,a cheese was eaten by a secretary .
a writer removed a glass .,a glass was removed by a writer .,the priest understands the opponent .,the opponent is understood by the priest .
a writer raised a television .,a television was raised by a writer .,the priest understands the opponent .,the opponent is understood by the priest .
a buddy punched a leader .,a leader was punched by a buddy .,the priest understands the opponent .,the opponent is understood by the priest .
an administration wanted a guitar .,a guitar was wanted by an administration .,the priest understands the opponent .,the opponent is understood by the priest .
a woman purchased a coffee .,a coffee was purchased by a woman .,the priest understands the opponent .,the opponent is understood by the priest .
a singer chased a boy .,a boy was chased by a singer .,the priest understands the opponent .,the opponent is understood by the priest .
a brother hurt a woman .,a woman was hurt by a brother .,the priest understands the opponent .,the opponent is understood by the priest .
an actress raised a man .,a man was raised by an actress .,the priest understands the opponent .,the opponent is understood by the priest .
an attorney destroyed a telephone .,a telephone was destroyed by an attorney .,the priest understands the opponent .,the opponent is understood by the priest .
an author carried a reader .,a reader was carried by an author .,the priest understands the opponent .,the opponent is understood by the priest .
an actor ate a chicken .,a chicken was eaten by an actor .,the parent strikes the brother .,the brother is struck by the parent .
an author wrapped a guitar .,a guitar was wrapped by an author .,the parent strikes the brother .,the brother is struck by the parent .
a corporation kept a tea .,a tea was kept by a corporation .,the parent strikes the brother .,the brother is struck by the parent .
a girl destroyed a beer .,a beer was destroyed by a girl .,the parent strikes the brother .,the brother is struck by the parent .
a king kissed a reader .,a reader was kissed by a king .,the parent strikes the brother .,the brother is struck by the parent .
an aunt comforted a chief .,a chief was comforted by an aunt .,the parent strikes the brother .,the brother is struck by the parent .
an attorney ate a candy .,a candy was eaten by an attorney .,the parent strikes the brother .,the brother is struck by the parent .
a secretary understood a champion .,a champion was understood by a secretary .,the parent strikes the brother .,the brother is struck by the parent .
a pilot ate a chicken .,a chicken was eaten by a pilot .,the parent strikes the brother .,the brother is struck by the parent .
a physician carried a man .,a man was carried by a physician .,the parent strikes the brother .,the brother is struck by the parent .
the professor removes the knife .,the knife is removed by the professor .,a king wanted a coffee .,a coffee was wanted by a king .
the chief embraces the uncle .,the uncle is embraced by the chief .,a king wanted a coffee .,a coffee was wanted by a king .
the uncle describes the minister .,the minister is described by the uncle .,a king wanted a coffee .,a coffee was wanted by a king .
the teacher hurts the brother .,the brother is hurt by the teacher .,a king wanted a coffee .,a coffee was wanted by a king .
the wife leads the club .,the club is led by the wife .,a king wanted a coffee .,a coffee was wanted by a king .
the friend embraces the actress .,the actress is embraced by the friend .,a king wanted a coffee .,a coffee was wanted by a king .
the boy smells the chicken .,the chicken is smelled by the boy .,a king wanted a coffee .,a coffee was wanted by a king .
the employer beats the nurse .,the nurse is beaten by the employer .,a king wanted a coffee .,a coffee was wanted by a king .
the professor leaves the button .,the button is left by the professor .,a king wanted a coffee .,a coffee was wanted by a king .
the actor surprises the captain .,the captain is surprised by the actor .,a king wanted a coffee .,a coffee was wanted by a king .
the mayor purchases the button .,the button is purchased by the mayor .,a teacher protected a guest .,a guest was protected by a teacher .
the husband forgets the chicken .,the chicken is forgotten by the husband .,a teacher protected a guest .,a guest was protected by a teacher .
the man smells the engine .,the engine is smelled by the man .,a teacher protected a guest .,a guest was protected by a teacher .
the army wants the meal .,the meal is wanted by the army .,a teacher protected a guest .,a guest was protected by a teacher .
the manager drags the opponent .,the opponent is dragged by the manager .,a teacher protected a guest .,a guest was protected by a teacher .
the bishop comforts the mayor .,the mayor is comforted by the bishop .,a teacher protected a guest .,a guest was protected by a teacher .
the physician beats the brother .,the brother is beaten by the physician .,a teacher protected a guest .,a guest was protected by a teacher .
the man joins the business .,the business is joined by the man .,a teacher protected a guest .,a guest was protected by a teacher .
the minister tastes the salad .,the salad is tasted by the minister .,a teacher protected a guest .,a guest was protected by a teacher .
the actor accepts the hat .,the hat is accepted by the actor .,a teacher protected a guest .,a guest was protected by a teacher .
the employer hurts the priest .,the priest is hurt by the employer .,an opponent raised a president .,a president was raised by an opponent .
the soldier understands the actress .,the actress is understood by the soldier .,an opponent raised a president .,a president was raised by an opponent .
the manager beats the sheriff .,the sheriff is beaten by the manager .,an opponent raised a president .,a president was raised by an opponent .
the chief beats the friend .,the friend is beaten by the chief .,an opponent raised a president .,a president was raised by an opponent .
the friend drinks the coffee .,the coffee is drunk by the friend .,an opponent raised a president .,a president was raised by an opponent .
the student removes the bottle .,the bottle is removed by the student .,an opponent raised a president .,a president was raised by an opponent .
the employee leads the club .,the club is led by the employee .,an opponent raised a president .,a president was raised by an opponent .
the adult embraces the buddy .,the buddy is embraced by the adult .,an opponent raised a president .,a president was raised by an opponent .
the cousin selects the glass .,the glass is selected by the cousin .,an opponent raised a president .,a president was raised by an opponent .
the friend understands the priest .,the priest is understood by the friend .,an opponent raised a president .,a president was raised by an opponent .
a sheriff selects a bag .,a bag is selected by a sheriff .,the nurse asked the uncle .,the uncle was asked by the nurse .
a friend punches a child .,a child is punched by a friend .,the nurse asked the uncle .,the uncle was asked by the nurse .
a wife hurries a guy .,a guy is hurried by a wife .,the nurse asked the uncle .,the uncle was asked by the nurse .
a winner collects a glass .,a glass is collected by a winner .,the nurse asked the uncle .,the uncle was asked by the nurse .
a son protects a guest .,a guest is protected by a son .,the nurse asked the uncle .,the uncle was asked by the nurse .
an employee destroys a key .,a key is destroyed by an employee .,the nurse asked the uncle .,the uncle was asked by the nurse .
an actress surprises a secretary .,a secretary is surprised by an actress .,the nurse asked the uncle .,the uncle was asked by the nurse .
a princess catches a knife .,a knife is caught by a princess .,the nurse asked the uncle .,the uncle was asked by the nurse .
a leader chases an army .,an army is chased by a leader .,the nurse asked the uncle .,the uncle was asked by the nurse .
a daughter prepares a candy .,a candy is prepared by a daughter .,the nurse asked the uncle .,the uncle was asked by the nurse .
a son punches a buddy .,a buddy is punched by a son .,the guest hurt the writer .,the writer was hurt by the guest .
a cop drinks a beer .,a beer is drunk by a cop .,the guest hurt the writer .,the writer was hurt by the guest .
a mayor strikes a captain .,a captain is struck by a mayor .,the guest hurt the writer .,the writer was hurt by the guest .
a lady strikes a prince .,a prince is struck by a lady .,the guest hurt the writer .,the writer was hurt by the guest .
an actress embraces a minister .,a minister is embraced by an actress .,the guest hurt the writer .,the writer was hurt by the guest .
a soldier follows a nurse .,a nurse is followed by a soldier .,the guest hurt the writer .,the writer was hurt by the guest .
a colonel accepts a newspaper .,a newspaper is accepted by a colonel .,the guest hurt the writer .,the writer was hurt by the guest .
an attorney prepares a chocolate .,a chocolate is prepared by an attorney .,the guest hurt the writer .,the writer was hurt by the guest .
a brother surprises a husband .,a husband is surprised by a brother .,the guest hurt the writer .,the writer was hurt by the guest .
a king embraces a bishop .,a bishop is embraced by a king .,the guest hurt the writer .,the writer was hurt by the guest .
a priest bothered a son .,a son was bothered by a priest .,the winner kills the chief .,the chief is killed by the winner .
an uncle raised a crystal .,a crystal was raised by an uncle .,the winner kills the chief .,the chief is killed by the winner .
a cousin ate a chocolate .,a chocolate was eaten by a cousin .,the winner kills the chief .,the chief is killed by the winner .
an actor judged a secretary .,a secretary was judged by an actor .,the winner kills the chief .,the chief is killed by the winner .
a nurse broke a bag .,a bag was broken by a nurse .,the winner kills the chief .,the chief is killed by the winner .
a physician selected a brother .,a brother was selected by a physician .,the winner kills the chief .,the chief is killed by the winner .
an uncle washed a doctor .,a doctor was washed by an uncle .,the winner kills the chief .,the chief is killed by the winner .
a guy raised a meal .,a meal was raised by a guy .,the winner kills the chief .,the chief is killed by the winner .
a doctor forgave a corporation .,a corporation was forgiven by a doctor .,the winner kills the chief .,the chief is killed by the winner .
a singer bothered a band .,a band was bothered by a singer .,the winner kills the chief .,the chief is killed by the winner .
the lawyer leads the business .,the business is led by the lawyer .,a chief smelled a bell .,a bell was smelled by a chief .
the author grabs the coffee .,the coffee is grabbed by the author .,a chief smelled a bell .,a bell was smelled by a chief .
the teacher judges the company .,the company is judged by the teacher .,a chief smelled a bell .,a bell was smelled by a chief .
the worker kills the actress .,the actress is killed by the worker .,a chief smelled a bell .,a bell was smelled by a chief .
the attorney kisses the wife .,the wife is kissed by the attorney .,a chief smelled a bell .,a bell was smelled by a chief .
the prince eats the meal .,the meal is eaten by the prince .,a chief smelled a bell .,a bell was smelled by a chief .
the doctor chases the partner .,the partner is chased by the doctor .,a chief smelled a bell .,a bell was smelled by a chief .
the actress washes the nurse .,the nurse is washed by the actress .,a chief smelled a bell .,a bell was smelled by a chief .
the physician teaches the lady .,the lady is taught by the physician .,a chief smelled a bell .,a bell was smelled by a chief .
the man collects the coat .,the coat is collected by the man .,a chief smelled a bell .,a bell was smelled by a chief .
the partner purchases the coffee .,the coffee is purchased by the partner .,a candidate killed a student .,a student was killed by a candidate .
the king discovers the brother .,the brother is discovered by the king .,a candidate killed a student .,a student was killed by a candidate .
the employer smells the coffee .,the coffee is smelled by the employer .,a candidate killed a student .,a student was killed by a candidate .
the cop breaks the newspaper .,the newspaper is broken by the cop .,a candidate killed a student .,a student was killed by a candidate .
the hero catches the juice .,the juice is caught by the hero .,a candidate killed a student .,a student was killed by a candidate .
the colonel forgets the cheese .,the cheese is forgotten by the colonel .,a candidate killed a student .,a student was killed by a candidate .
the priest breaks the telephone .,the telephone is broken by the priest .,a candidate killed a student .,a student was killed by a candidate .
the nurse surprises the prince .,the prince is surprised by the nurse .,a candidate killed a student .,a student was killed by a candidate .
the leader punches the opponent .,the opponent is punched by the leader .,a candidate killed a student .,a student was killed by a candidate .
the guy understands the guest .,the guest is understood by the guy .,a candidate killed a student .,a student was killed by a candidate .
an attorney accepts a crystal .,a crystal is accepted by an attorney .,the actress chased the business .,the business was chased by the actress .
a hero strikes an adult .,an adult is struck by a hero .,the actress chased the business .,the business was chased by the actress .
a reader discovers a physician .,a physician is discovered by a reader .,the actress chased the business .,the business was chased by the actress .
a husband prepares a chicken .,a chicken is prepared by a husband .,the actress chased the business .,the business was chased by the actress .
a son strikes an attorney .,an attorney is struck by a son .,the actress chased the business .,the business was chased by the actress .
a soldier carries a priest .,a priest is carried by a soldier .,the actress chased the business .,the business was chased by the actress .
an attorney leads a band .,a band is led by an attorney .,the actress chased the business .,the business was chased by the actress .
a student tastes a meal .,a meal is tasted by a student .,the actress chased the business .,the business was chased by the actress .
an aunt bothers a parent .,a parent is bothered by an aunt .,the actress chased the business .,the business was chased by the actress .
a king comforts an aunt .,an aunt is comforted by a king .,the actress chased the business .,the business was chased by the actress .
a cop accepts an anchor .,an anchor is accepted by a cop .,the corporation protected the girl .,the girl was protected by the corporation .
a hero describes a cheese .,a cheese is described by a hero .,the corporation protected the girl .,the girl was protected by the corporation .
a cousin comforts a hero .,a hero is comforted by a cousin .,the corporation protected the girl .,the girl was protected by the corporation .
a nurse destroys a chicken .,a chicken is destroyed by a nurse .,the corporation protected the girl .,the girl was protected by the corporation .
a king follows a kid .,a kid is followed by a king .,the corporation protected the girl .,the girl was protected by the corporation .
a cousin joins a writer .,a writer is joined by a cousin .,the corporation protected the girl .,the girl was protected by the corporation .
an author embraces a nurse .,a nurse is embraced by an author .,the corporation protected the girl .,the girl was protected by the corporation .
an employee asks an administration .,an administration is asked by an employee .,the corporation protected the girl .,the girl was protected by the corporation .
a hero washes a bishop .,a bishop is washed by a hero .,the corporation protected the girl .,the girl was protected by the corporation .
a husband comforts a brother .,a brother is comforted by a husband .,the corporation protected the girl .,the girl was protected by the corporation .
the guy led the administration .,the administration was led by the guy .,a writer hurries an aunt .,an aunt is hurried by a writer .
the administration used the iron .,the iron was used by the administration .,a writer hurries an aunt .,an aunt is hurried by a writer .
the bishop used the hat .,the hat was used by the bishop .,a writer hurries an aunt .,an aunt is hurried by a writer .
the bishop bothered the business .,the business was bothered by the bishop .,a writer hurries an aunt .,an aunt is hurried by a writer .
the partner comforted the wife .,the wife was comforted by the partner .,a writer hurries an aunt .,an aunt is hurried by a writer .
the minister broke the knife .,the knife was broken by the minister .,a writer hurries an aunt .,an aunt is hurried by a writer .
the colonel led the army .,the army was led by the colonel .,a writer hurries an aunt .,an aunt is hurried by a writer .
the cop removed the plate .,the plate was removed by the cop .,a writer hurries an aunt .,an aunt is hurried by a writer .
the student forgot the friend .,the friend was forgotten by the student .,a writer hurries an aunt .,an aunt is hurried by a writer .
the business kept the ball .,the ball was kept by the business .,a writer hurries an aunt .,an aunt is hurried by a writer .
the princess follows the business .,the business is followed by the princess .,a buddy comforted an adult .,an adult was comforted by a buddy .
the pilot wants the gun .,the gun is wanted by the pilot .,a buddy comforted an adult .,an adult was comforted by a buddy .
the doctor removes the computer .,the computer is removed by the doctor .,a buddy comforted an adult .,an adult was comforted by a buddy .
the king destroys the salad .,the salad is destroyed by the king .,a buddy comforted an adult .,an adult was comforted by a buddy .
the brother beats the champion .,the champion is beaten by the brother .,a buddy comforted an adult .,an adult was comforted by a buddy .
the winner forgets the student .,the student is forgotten by the winner .,a buddy comforted an adult .,an adult was comforted by a buddy .
the president prepares the pot .,the pot is prepared by the president .,a buddy comforted an adult .,an adult was comforted by a buddy .
the employer wants the chocolate .,the chocolate is wanted by the employer .,a buddy comforted an adult .,an adult was comforted by a buddy .
the boy bothers the band .,the band is bothered by the boy .,a buddy comforted an adult .,an adult was comforted by a buddy .
the doctor forgives the business .,the business is forgiven by the doctor .,a buddy comforted an adult .,an adult was comforted by a buddy .
a candidate collects a candy .,a candy is collected by a candidate .,the student followed the band .,the band was followed by the student .
a husband judges a corporation .,a corporation is judged by a husband .,the student followed the band .,the band was followed by the student .
a business uses a knife .,a knife is used by a business .,the student followed the band .,the band was followed by the student .
an actress comforts a minister .,a minister is comforted by an actress .,the student followed the band .,the band was followed by the student .
an army uses a crystal .,a crystal is used by an army .,the student followed the band .,the band was followed by the student .
a minister kills a partner .,a partner is killed by a minister .,the student followed the band .,the band was followed by the student .
a partner washes a machine .,a machine is washed by a partner .,the student followed the band .,the band was followed by the student .
a parent wraps a cigarette .,a cigarette is wrapped by a parent .,the student followed the band .,the band was followed by the student .
an actor hurts an army .,an army is hurt by an actor .,the student followed the band .,the band was followed by the student .
an employer destroys a guest .,a guest is destroyed by an employer .,the student followed the band .,the band was followed by the student .
the president catches the television .,the television is caught by the president .,an uncle taught a wife .,a wife was taught by an uncle .
the brother protects the physician .,the physician is protected by the brother .,an uncle taught a wife .,a wife was taught by an uncle .
the boy breaks the log .,the log is broken by the boy .,an uncle taught a wife .,a wife was taught by an uncle .
the mayor drags the parent .,the parent is dragged by the mayor .,an uncle taught a wife .,a wife was taught by an uncle .
the club helps the president .,the president is helped by the club .,an uncle taught a wife .,a wife was taught by an uncle .
the boy discovers the book .,the book is discovered by the boy .,an uncle taught a wife .,a wife was taught by an uncle .
the employee selects the flower .,the flower is selected by the employee .,an uncle taught a wife .,a wife was taught by an uncle .
the scientist judges the leader .,the leader is judged by the scientist .,an uncle taught a wife .,a wife was taught by an uncle .
the kid drinks the tea .,the tea is drunk by the kid .,an uncle taught a wife .,a wife was taught by an uncle .
the club keeps the coffee .,the coffee is kept by the club .,an uncle taught a wife .,a wife was taught by an uncle .
the prince chased the woman .,the woman was chased by the prince .,a champion drags an author .,an author is dragged by a champion .
the candidate chased the corporation .,the corporation was chased by the candidate .,a champion drags an author .,an author is dragged by a champion .
the colonel discovered the soldier .,the soldier was discovered by the colonel .,a champion drags an author .,an author is dragged by a champion .
the father protected the actor .,the actor was protected by the father .,a champion drags an author .,an author is dragged by a champion .
the army protected the physician .,the physician was protected by the army .,a champion drags an author .,an author is dragged by a champion .
the prince hurt the teacher .,the teacher was hurt by the prince .,a champion drags an author .,an author is dragged by a champion .
the secretary judged the corporation .,the corporation was judged by the secretary .,a champion drags an author .,an author is dragged by a champion .
the minister ate the meal .,the meal was eaten by the minister .,a champion drags an author .,an author is dragged by a champion .
the father hurt the king .,the king was hurt by the father .,a champion drags an author .,an author is dragged by a champion .
the secretary washed the employer .,the employer was washed by the secretary .,a champion drags an author .,an author is dragged by a champion .
a chief kissed a reader .,a reader was kissed by a chief .,the lawyer kills the daughter .,the daughter is killed by the lawyer .
an actress taught a manager .,a manager was taught by an actress .,the lawyer kills the daughter .,the daughter is killed by the lawyer .
an adult caught a champion .,a champion was caught by an adult .,the lawyer kills the daughter .,the daughter is killed by the lawyer .
an adult wanted a coffee .,a coffee was wanted by an adult .,the lawyer kills the daughter .,the daughter is killed by the lawyer .
an opponent grabbed a meal .,a meal was grabbed by an opponent .,the lawyer kills the daughter .,the daughter is killed by the lawyer .
a hero purchased a tea .,a tea was purchased by a hero .,the lawyer kills the daughter .,the daughter is killed by the lawyer .
a woman led a corporation .,a corporation was led by a woman .,the lawyer kills the daughter .,the daughter is killed by the lawyer .
a guy selected a friend .,a friend was selected by a guy .,the lawyer kills the daughter .,the daughter is killed by the lawyer .
a student grabbed a juice .,a juice was grabbed by a student .,the lawyer kills the daughter .,the daughter is killed by the lawyer .
an employee comforted a prince .,a prince was comforted by an employee .,the lawyer kills the daughter .,the daughter is killed by the lawyer .
a buddy hurries a worker .,a worker is hurried by a buddy .,the mother wrapped the computer .,the computer was wrapped by the mother .
a sheriff discovers a buddy .,a buddy is discovered by a sheriff .,the mother wrapped the computer .,the computer was wrapped by the mother .
a scientist bothers an attorney .,an attorney is bothered by a scientist .,the mother wrapped the computer .,the computer was wrapped by the mother .
