pa, pp, ta, tp
the girl comforts the colonel .,the colonel is comforted by the girl .,the girl comforts the colonel .,the colonel is comforted by the girl .
the child washes the instrument .,the instrument is washed by the child .,the child washes the instrument .,the instrument is washed by the child .
the buddy tastes the salad .,the salad is tasted by the buddy .,the buddy tastes the salad .,the salad is tasted by the buddy .
the hero kills the girl .,the girl is killed by the hero .,the hero kills the girl .,the girl is killed by the hero .
the prince grabs the salad .,the salad is grabbed by the prince .,the prince grabs the salad .,the salad is grabbed by the prince .
the aunt tastes the chicken .,the chicken is tasted by the aunt .,the aunt tastes the chicken .,the chicken is tasted by the aunt .
the partner follows the business .,the business is followed by the partner .,the partner follows the business .,the business is followed by the partner .
the champion asks the king .,the king is asked by the champion .,the champion asks the king .,the king is asked by the champion .
the captain catches the jacket .,the jacket is caught by the captain .,the captain catches the jacket .,the jacket is caught by the captain .
the cop tastes the chocolate .,the chocolate is tasted by the cop .,the cop tastes the chocolate .,the chocolate is tasted by the cop .
a hero bothers a colonel .,a colonel is bothered by a hero .,a hero bothers a colonel .,a colonel is bothered by a hero .
a cousin selects a cheese .,a cheese is selected by a cousin .,a cousin selects a cheese .,a cheese is selected by a cousin .
a colonel wraps an engine .,an engine is wrapped by a colonel .,a colonel wraps an engine .,an engine is wrapped by a colonel .
a champion prepares a book .,a book is prepared by a champion .,a champion prepares a book .,a book is prepared by a champion .
a professor catches a box .,a box is caught by a professor .,a professor catches a box .,a box is caught by a professor .
a cop raises a cousin .,a cousin is raised by a cop .,a cop raises a cousin .,a cousin is raised by a cop .
a mother smells a salad .,a salad is smelled by a mother .,a mother smells a salad .,a salad is smelled by a mother .
a teacher comforts a partner .,a partner is comforted by a teacher .,a teacher comforts a partner .,a partner is comforted by a teacher .
a writer catches an adult .,an adult is caught by a writer .,a writer catches an adult .,an adult is caught by a writer .
an attorney hurts a club .,a club is hurt by an attorney .,an attorney hurts a club .,a club is hurt by an attorney .
a parent bothers a band .,a band is bothered by a parent .,a parent bothers a band .,a band is bothered by a parent .
a champion kills a physician .,a physician is killed by a champion .,a champion kills a physician .,a physician is killed by a champion .
a nurse judges a corporation .,a corporation is judged by a nurse .,a nurse judges a corporation .,a corporation is judged by a nurse .
a writer protects a hero .,a hero is protected by a writer .,a writer protects a hero .,a hero is protected by a writer .
a father grabs a candy .,a candy is grabbed by a father .,a father grabs a candy .,a candy is grabbed by a father .
a cop smells a salad .,a salad is smelled by a cop .,a cop smells a salad .,a salad is smelled by a cop .
a pilot carries a tea .,a tea is carried by a pilot .,a pilot carries a tea .,a tea is carried by a pilot .
a friend accepts an anchor .,an anchor is accepted by a friend .,a friend accepts an anchor .,an anchor is accepted by a friend .
a king describes an anchor .,an anchor is described by a king .,a king describes an anchor .,an anchor is described by a king .
a chief kisses a candidate .,a candidate is kissed by a chief .,a chief kisses a candidate .,a candidate is kissed by a chief .
the chief described the engine .,the engine was described by the chief .,the chief described the engine .,the engine was described by the chief .
the singer asked the writer .,the writer was asked by the singer .,the singer asked the writer .,the writer was asked by the singer .
the uncle bothered the actor .,the actor was bothered by the uncle .,the uncle bothered the actor .,the actor was bothered by the uncle .
the physician destroyed the tea .,the tea was destroyed by the physician .,the physician destroyed the tea .,the tea was destroyed by the physician .
the bishop collected the motor .,the motor was collected by the bishop .,the bishop collected the motor .,the motor was collected by the bishop .
the guy left the key .,the key was left by the guy .,the guy left the key .,the key was left by the guy .
the child joined the mayor .,the mayor was joined by the child .,the child joined the mayor .,the mayor was joined by the child .
the son kept the juice .,the juice was kept by the son .,the son kept the juice .,the juice was kept by the son .
the son beat the father .,the father was beaten by the son .,the son beat the father .,the father was beaten by the son .
the secretary judged the club .,the club was judged by the secretary .,the secretary judged the club .,the club was judged by the secretary .
an author removed a television .,a television was removed by an author .,an author removed a television .,a television was removed by an author .
an employer hurried a champion .,a champion was hurried by an employer .,an employer hurried a champion .,a champion was hurried by an employer .
a friend chased a business .,a business was chased by a friend .,a friend chased a business .,a business was chased by a friend .
a worker judged a business .,a business was judged by a worker .,a worker judged a business .,a business was judged by a worker .
a singer embraced a wife .,a wife was embraced by a singer .,a singer embraced a wife .,a wife was embraced by a singer .
a secretary selected a coffee .,a coffee was selected by a secretary .,a secretary selected a coffee .,a coffee was selected by a secretary .
an employer punched a soldier .,a soldier was punched by an employer .,an employer punched a soldier .,a soldier was punched by an employer .
a professor dragged a chief .,a chief was dragged by a professor .,a professor dragged a chief .,a chief was dragged by a professor .
a reader followed a singer .,a singer was followed by a reader .,a reader followed a singer .,a singer was followed by a reader .
an actress dragged a bottle .,a bottle was dragged by an actress .,an actress dragged a bottle .,a bottle was dragged by an actress .
the parent tastes the meal .,the meal is tasted by the parent .,the parent tastes the meal .,the meal is tasted by the parent .
the author surprises the captain .,the captain is surprised by the author .,the author surprises the captain .,the captain is surprised by the author .
the man tastes the salad .,the salad is tasted by the man .,the man tastes the salad .,the salad is tasted by the man .
the candidate leads the business .,the business is led by the candidate .,the candidate leads the business .,the business is led by the candidate .
the buddy hurries the parent .,the parent is hurried by the buddy .,the buddy hurries the parent .,the parent is hurried by the buddy .
the mother eats the chocolate .,the chocolate is eaten by the mother .,the mother eats the chocolate .,the chocolate is eaten by the mother .
the aunt smells the knife .,the knife is smelled by the aunt .,the aunt smells the knife .,the knife is smelled by the aunt .
the son uses the bowl .,the bowl is used by the son .,the son uses the bowl .,the bowl is used by the son .
the bishop follows the corporation .,the corporation is followed by the bishop .,the bishop follows the corporation .,the corporation is followed by the bishop .
the worker removes the television .,the television is removed by the worker .,the worker removes the television .,the television is removed by the worker .
a mayor grabbed a newspaper .,a newspaper was grabbed by a mayor .,a mayor grabbed a newspaper .,a newspaper was grabbed by a mayor .
an actor drank a juice .,a juice was drunk by an actor .,an actor drank a juice .,a juice was drunk by an actor .
a company protected a nurse .,a nurse was protected by a company .,a company protected a nurse .,a nurse was protected by a company .
an employer comforted a son .,a son was comforted by an employer .,an employer comforted a son .,a son was comforted by an employer .
a winner left a bowl .,a bowl was left by a winner .,a winner left a bowl .,a bowl was left by a winner .
a champion dragged a machine .,a machine was dragged by a champion .,a champion dragged a machine .,a machine was dragged by a champion .
a manager understood a writer .,a writer was understood by a manager .,a manager understood a writer .,a writer was understood by a manager .
an attorney comforted an actor .,an actor was comforted by an attorney .,an attorney comforted an actor .,an actor was comforted by an attorney .
a hero ate a meal .,a meal was eaten by a hero .,a hero ate a meal .,a meal was eaten by a hero .
a daughter understood a buddy .,a buddy was understood by a daughter .,a daughter understood a buddy .,a buddy was understood by a daughter .
the guy forgives the actor .,the actor is forgiven by the guy .,the guy forgives the actor .,the actor is forgiven by the guy .
the pilot strikes the actress .,the actress is struck by the pilot .,the pilot strikes the actress .,the actress is struck by the pilot .
the colonel grabs the motor .,the motor is grabbed by the colonel .,the colonel grabs the motor .,the motor is grabbed by the colonel .
the mother leads the club .,the club is led by the mother .,the mother leads the club .,the club is led by the mother .
the administration helps the cop .,the cop is helped by the administration .,the administration helps the cop .,the cop is helped by the administration .
the candidate smells the crystal .,the crystal is smelled by the candidate .,the candidate smells the crystal .,the crystal is smelled by the candidate .
the singer destroys the juice .,the juice is destroyed by the singer .,the singer destroys the juice .,the juice is destroyed by the singer .
the child raises the buddy .,the buddy is raised by the child .,the child raises the buddy .,the buddy is raised by the child .
the reader embraces the husband .,the husband is embraced by the reader .,the reader embraces the husband .,the husband is embraced by the reader .
the author asks the professor .,the professor is asked by the author .,the author asks the professor .,the professor is asked by the author .
a writer removed a glass .,a glass was removed by a writer .,a writer removed a glass .,a glass was removed by a writer .
a writer raised a television .,a television was raised by a writer .,a writer raised a television .,a television was raised by a writer .
a buddy punched a leader .,a leader was punched by a buddy .,a buddy punched a leader .,a leader was punched by a buddy .
an administration wanted a guitar .,a guitar was wanted by an administration .,an administration wanted a guitar .,a guitar was wanted by an administration .
a woman purchased a coffee .,a coffee was purchased by a woman .,a woman purchased a coffee .,a coffee was purchased by a woman .
a singer chased a boy .,a boy was chased by a singer .,a singer chased a boy .,a boy was chased by a singer .
a brother hurt a woman .,a woman was hurt by a brother .,a brother hurt a woman .,a woman was hurt by a brother .
an actress raised a man .,a man was raised by an actress .,an actress raised a man .,a man was raised by an actress .
an attorney destroyed a telephone .,a telephone was destroyed by an attorney .,an attorney destroyed a telephone .,a telephone was destroyed by an attorney .
an author carried a reader .,a reader was carried by an author .,an author carried a reader .,a reader was carried by an author .
an actor ate a chicken .,a chicken was eaten by an actor .,an actor ate a chicken .,a chicken was eaten by an actor .
an author wrapped a guitar .,a guitar was wrapped by an author .,an author wrapped a guitar .,a guitar was wrapped by an author .
a corporation kept a tea .,a tea was kept by a corporation .,a corporation kept a tea .,a tea was kept by a corporation .
a girl destroyed a beer .,a beer was destroyed by a girl .,a girl destroyed a beer .,a beer was destroyed by a girl .
a king kissed a reader .,a reader was kissed by a king .,a king kissed a reader .,a reader was kissed by a king .
an aunt comforted a chief .,a chief was comforted by an aunt .,an aunt comforted a chief .,a chief was comforted by an aunt .
an attorney ate a candy .,a candy was eaten by an attorney .,an attorney ate a candy .,a candy was eaten by an attorney .
a secretary understood a champion .,a champion was understood by a secretary .,a secretary understood a champion .,a champion was understood by a secretary .
a pilot ate a chicken .,a chicken was eaten by a pilot .,a pilot ate a chicken .,a chicken was eaten by a pilot .
a physician carried a man .,a man was carried by a physician .,a physician carried a man .,a man was carried by a physician .
the professor removes the knife .,the knife is removed by the professor .,the professor removes the knife .,the knife is removed by the professor .
the chief embraces the uncle .,the uncle is embraced by the chief .,the chief embraces the uncle .,the uncle is embraced by the chief .
the uncle describes the minister .,the minister is described by the uncle .,the uncle describes the minister .,the minister is described by the uncle .
the teacher hurts the brother .,the brother is hurt by the teacher .,the teacher hurts the brother .,the brother is hurt by the teacher .
the wife leads the club .,the club is led by the wife .,the wife leads the club .,the club is led by the wife .
the friend embraces the actress .,the actress is embraced by the friend .,the friend embraces the actress .,the actress is embraced by the friend .
the boy smells the chicken .,the chicken is smelled by the boy .,the boy smells the chicken .,the chicken is smelled by the boy .
the employer beats the nurse .,the nurse is beaten by the employer .,the employer beats the nurse .,the nurse is beaten by the employer .
the professor leaves the button .,the button is left by the professor .,the professor leaves the button .,the button is left by the professor .
the actor surprises the captain .,the captain is surprised by the actor .,the actor surprises the captain .,the captain is surprised by the actor .
the mayor purchases the button .,the button is purchased by the mayor .,the mayor purchases the button .,the button is purchased by the mayor .
the husband forgets the chicken .,the chicken is forgotten by the husband .,the husband forgets the chicken .,the chicken is forgotten by the husband .
the man smells the engine .,the engine is smelled by the man .,the man smells the engine .,the engine is smelled by the man .
the army wants the meal .,the meal is wanted by the army .,the army wants the meal .,the meal is wanted by the army .
the manager drags the opponent .,the opponent is dragged by the manager .,the manager drags the opponent .,the opponent is dragged by the manager .
the bishop comforts the mayor .,the mayor is comforted by the bishop .,the bishop comforts the mayor .,the mayor is comforted by the bishop .
the physician beats the brother .,the brother is beaten by the physician .,the physician beats the brother .,the brother is beaten by the physician .
the man joins the business .,the business is joined by the man .,the man joins the business .,the business is joined by the man .
the minister tastes the salad .,the salad is tasted by the minister .,the minister tastes the salad .,the salad is tasted by the minister .
the actor accepts the hat .,the hat is accepted by the actor .,the actor accepts the hat .,the hat is accepted by the actor .
the employer hurts the priest .,the priest is hurt by the employer .,the employer hurts the priest .,the priest is hurt by the employer .
the soldier understands the actress .,the actress is understood by the soldier .,the soldier understands the actress .,the actress is understood by the soldier .
the manager beats the sheriff .,the sheriff is beaten by the manager .,the manager beats the sheriff .,the sheriff is beaten by the manager .
the chief beats the friend .,the friend is beaten by the chief .,the chief beats the friend .,the friend is beaten by the chief .
the friend drinks the coffee .,the coffee is drunk by the friend .,the friend drinks the coffee .,the coffee is drunk by the friend .
the student removes the bottle .,the bottle is removed by the student .,the student removes the bottle .,the bottle is removed by the student .
the employee leads the club .,the club is led by the employee .,the employee leads the club .,the club is led by the employee .
the adult embraces the buddy .,the buddy is embraced by the adult .,the adult embraces the buddy .,the buddy is embraced by the adult .
the cousin selects the glass .,the glass is selected by the cousin .,the cousin selects the glass .,the glass is selected by the cousin .
the friend understands the priest .,the priest is understood by the friend .,the friend understands the priest .,the priest is understood by the friend .
a sheriff selects a bag .,a bag is selected by a sheriff .,a sheriff selects a bag .,a bag is selected by a sheriff .
a friend punches a child .,a child is punched by a friend .,a friend punches a child .,a child is punched by a friend .
a wife hurries a guy .,a guy is hurried by a wife .,a wife hurries a guy .,a guy is hurried by a wife .
a winner collects a glass .,a glass is collected by a winner .,a winner collects a glass .,a glass is collected by a winner .
a son protects a guest .,a guest is protected by a son .,a son protects a guest .,a guest is protected by a son .
an employee destroys a key .,a key is destroyed by an employee .,an employee destroys a key .,a key is destroyed by an employee .
an actress surprises a secretary .,a secretary is surprised by an actress .,an actress surprises a secretary .,a secretary is surprised by an actress .
a princess catches a knife .,a knife is caught by a princess .,a princess catches a knife .,a knife is caught by a princess .
a leader chases an army .,an army is chased by a leader .,a leader chases an army .,an army is chased by a leader .
a daughter prepares a candy .,a candy is prepared by a daughter .,a daughter prepares a candy .,a candy is prepared by a daughter .
a son punches a buddy .,a buddy is punched by a son .,a son punches a buddy .,a buddy is punched by a son .
a cop drinks a beer .,a beer is drunk by a cop .,a cop drinks a beer .,a beer is drunk by a cop .
a mayor strikes a captain .,a captain is struck by a mayor .,a mayor strikes a captain .,a captain is struck by a mayor .
a lady strikes a prince .,a prince is struck by a lady .,a lady strikes a prince .,a prince is struck by a lady .
an actress embraces a minister .,a minister is embraced by an actress .,an actress embraces a minister .,a minister is embraced by an actress .
a soldier follows a nurse .,a nurse is followed by a soldier .,a soldier follows a nurse .,a nurse is followed by a soldier .
a colonel accepts a newspaper .,a newspaper is accepted by a colonel .,a colonel accepts a newspaper .,a newspaper is accepted by a colonel .
an attorney prepares a chocolate .,a chocolate is prepared by an attorney .,an attorney prepares a chocolate .,a chocolate is prepared by an attorney .
a brother surprises a husband .,a husband is surprised by a brother .,a brother surprises a husband .,a husband is surprised by a brother .
a king embraces a bishop .,a bishop is embraced by a king .,a king embraces a bishop .,a bishop is embraced by a king .
a priest bothered a son .,a son was bothered by a priest .,a priest bothered a son .,a son was bothered by a priest .
an uncle raised a crystal .,a crystal was raised by an uncle .,an uncle raised a crystal .,a crystal was raised by an uncle .
a cousin ate a chocolate .,a chocolate was eaten by a cousin .,a cousin ate a chocolate .,a chocolate was eaten by a cousin .
an actor judged a secretary .,a secretary was judged by an actor .,an actor judged a secretary .,a secretary was judged by an actor .
a nurse broke a bag .,a bag was broken by a nurse .,a nurse broke a bag .,a bag was broken by a nurse .
a physician selected a brother .,a brother was selected by a physician .,a physician selected a brother .,a brother was selected by a physician .
an uncle washed a doctor .,a doctor was washed by an uncle .,an uncle washed a doctor .,a doctor was washed by an uncle .
a guy raised a meal .,a meal was raised by a guy .,a guy raised a meal .,a meal was raised by a guy .
a doctor forgave a corporation .,a corporation was forgiven by a doctor .,a doctor forgave a corporation .,a corporation was forgiven by a doctor .
a singer bothered a band .,a band was bothered by a singer .,a singer bothered a band .,a band was bothered by a singer .
the lawyer leads the business .,the business is led by the lawyer .,the lawyer leads the business .,the business is led by the lawyer .
the author grabs the coffee .,the coffee is grabbed by the author .,the author grabs the coffee .,the coffee is grabbed by the author .
the teacher judges the company .,the company is judged by the teacher .,the teacher judges the company .,the company is judged by the teacher .
the worker kills the actress .,the actress is killed by the worker .,the worker kills the actress .,the actress is killed by the worker .
the attorney kisses the wife .,the wife is kissed by the attorney .,the attorney kisses the wife .,the wife is kissed by the attorney .
the prince eats the meal .,the meal is eaten by the prince .,the prince eats the meal .,the meal is eaten by the prince .
the doctor chases the partner .,the partner is chased by the doctor .,the doctor chases the partner .,the partner is chased by the doctor .
the actress washes the nurse .,the nurse is washed by the actress .,the actress washes the nurse .,the nurse is washed by the actress .
the physician teaches the lady .,the lady is taught by the physician .,the physician teaches the lady .,the lady is taught by the physician .
the man collects the coat .,the coat is collected by the man .,the man collects the coat .,the coat is collected by the man .
the partner purchases the coffee .,the coffee is purchased by the partner .,the partner purchases the coffee .,the coffee is purchased by the partner .
the king discovers the brother .,the brother is discovered by the king .,the king discovers the brother .,the brother is discovered by the king .
the employer smells the coffee .,the coffee is smelled by the employer .,the employer smells the coffee .,the coffee is smelled by the employer .
the cop breaks the newspaper .,the newspaper is broken by the cop .,the cop breaks the newspaper .,the newspaper is broken by the cop .
the hero catches the juice .,the juice is caught by the hero .,the hero catches the juice .,the juice is caught by the hero .
the colonel forgets the cheese .,the cheese is forgotten by the colonel .,the colonel forgets the cheese .,the cheese is forgotten by the colonel .
the priest breaks the telephone .,the telephone is broken by the priest .,the priest breaks the telephone .,the telephone is broken by the priest .
the nurse surprises the prince .,the prince is surprised by the nurse .,the nurse surprises the prince .,the prince is surprised by the nurse .
the leader punches the opponent .,the opponent is punched by the leader .,the leader punches the opponent .,the opponent is punched by the leader .
the guy understands the guest .,the guest is understood by the guy .,the guy understands the guest .,the guest is understood by the guy .
an attorney accepts a crystal .,a crystal is accepted by an attorney .,an attorney accepts a crystal .,a crystal is accepted by an attorney .
a hero strikes an adult .,an adult is struck by a hero .,a hero strikes an adult .,an adult is struck by a hero .
a reader discovers a physician .,a physician is discovered by a reader .,a reader discovers a physician .,a physician is discovered by a reader .
a husband prepares a chicken .,a chicken is prepared by a husband .,a husband prepares a chicken .,a chicken is prepared by a husband .
a son strikes an attorney .,an attorney is struck by a son .,a son strikes an attorney .,an attorney is struck by a son .
a soldier carries a priest .,a priest is carried by a soldier .,a soldier carries a priest .,a priest is carried by a soldier .
an attorney leads a band .,a band is led by an attorney .,an attorney leads a band .,a band is led by an attorney .
a student tastes a meal .,a meal is tasted by a student .,a student tastes a meal .,a meal is tasted by a student .
an aunt bothers a parent .,a parent is bothered by an aunt .,an aunt bothers a parent .,a parent is bothered by an aunt .
a king comforts an aunt .,an aunt is comforted by a king .,a king comforts an aunt .,an aunt is comforted by a king .
a cop accepts an anchor .,an anchor is accepted by a cop .,a cop accepts an anchor .,an anchor is accepted by a cop .
a hero describes a cheese .,a cheese is described by a hero .,a hero describes a cheese .,a cheese is described by a hero .
a cousin comforts a hero .,a hero is comforted by a cousin .,a cousin comforts a hero .,a hero is comforted by a cousin .
a nurse destroys a chicken .,a chicken is destroyed by a nurse .,a nurse destroys a chicken .,a chicken is destroyed by a nurse .
a king follows a kid .,a kid is followed by a king .,a king follows a kid .,a kid is followed by a king .
a cousin joins a writer .,a writer is joined by a cousin .,a cousin joins a writer .,a writer is joined by a cousin .
an author embraces a nurse .,a nurse is embraced by an author .,an author embraces a nurse .,a nurse is embraced by an author .
an employee asks an administration .,an administration is asked by an employee .,an employee asks an administration .,an administration is asked by an employee .
a hero washes a bishop .,a bishop is washed by a hero .,a hero washes a bishop .,a bishop is washed by a hero .
a husband comforts a brother .,a brother is comforted by a husband .,a husband comforts a brother .,a brother is comforted by a husband .
the guy led the administration .,the administration was led by the guy .,the guy led the administration .,the administration was led by the guy .
the administration used the iron .,the iron was used by the administration .,the administration used the iron .,the iron was used by the administration .
the bishop used the hat .,the hat was used by the bishop .,the bishop used the hat .,the hat was used by the bishop .
the bishop bothered the business .,the business was bothered by the bishop .,the bishop bothered the business .,the business was bothered by the bishop .
the partner comforted the wife .,the wife was comforted by the partner .,the partner comforted the wife .,the wife was comforted by the partner .
the minister broke the knife .,the knife was broken by the minister .,the minister broke the knife .,the knife was broken by the minister .
the colonel led the army .,the army was led by the colonel .,the colonel led the army .,the army was led by the colonel .
the cop removed the plate .,the plate was removed by the cop .,the cop removed the plate .,the plate was removed by the cop .
the student forgot the friend .,the friend was forgotten by the student .,the student forgot the friend .,the friend was forgotten by the student .
the business kept the ball .,the ball was kept by the business .,the business kept the ball .,the ball was kept by the business .
the princess follows the business .,the business is followed by the princess .,the princess follows the business .,the business is followed by the princess .
the pilot wants the gun .,the gun is wanted by the pilot .,the pilot wants the gun .,the gun is wanted by the pilot .
the doctor removes the computer .,the computer is removed by the doctor .,the doctor removes the computer .,the computer is removed by the doctor .
the king destroys the salad .,the salad is destroyed by the king .,the king destroys the salad .,the salad is destroyed by the king .
the brother beats the champion .,the champion is beaten by the brother .,the brother beats the champion .,the champion is beaten by the brother .
the winner forgets the student .,the student is forgotten by the winner .,the winner forgets the student .,the student is forgotten by the winner .
the president prepares the pot .,the pot is prepared by the president .,the president prepares the pot .,the pot is prepared by the president .
the employer wants the chocolate .,the chocolate is wanted by the employer .,the employer wants the chocolate .,the chocolate is wanted by the employer .
the boy bothers the band .,the band is bothered by the boy .,the boy bothers the band .,the band is bothered by the boy .
the doctor forgives the business .,the business is forgiven by the doctor .,the doctor forgives the business .,the business is forgiven by the doctor .
a candidate collects a candy .,a candy is collected by a candidate .,a candidate collects a candy .,a candy is collected by a candidate .
a husband judges a corporation .,a corporation is judged by a husband .,a husband judges a corporation .,a corporation is judged by a husband .
a business uses a knife .,a knife is used by a business .,a business uses a knife .,a knife is used by a business .
an actress comforts a minister .,a minister is comforted by an actress .,an actress comforts a minister .,a minister is comforted by an actress .
an army uses a crystal .,a crystal is used by an army .,an army uses a crystal .,a crystal is used by an army .
a minister kills a partner .,a partner is killed by a minister .,a minister kills a partner .,a partner is killed by a minister .
a partner washes a machine .,a machine is washed by a partner .,a partner washes a machine .,a machine is washed by a partner .
a parent wraps a cigarette .,a cigarette is wrapped by a parent .,a parent wraps a cigarette .,a cigarette is wrapped by a parent .
an actor hurts an army .,an army is hurt by an actor .,an actor hurts an army .,an army is hurt by an actor .
an employer destroys a guest .,a guest is destroyed by an employer .,an employer destroys a guest .,a guest is destroyed by an employer .
the president catches the television .,the television is caught by the president .,the president catches the television .,the television is caught by the president .
the brother protects the physician .,the physician is protected by the brother .,the brother protects the physician .,the physician is protected by the brother .
the boy breaks the log .,the log is broken by the boy .,the boy breaks the log .,the log is broken by the boy .
the mayor drags the parent .,the parent is dragged by the mayor .,the mayor drags the parent .,the parent is dragged by the mayor .
the club helps the president .,the president is helped by the club .,the club helps the president .,the president is helped by the club .
the boy discovers the book .,the book is discovered by the boy .,the boy discovers the book .,the book is discovered by the boy .
the employee selects the flower .,the flower is selected by the employee .,the employee selects the flower .,the flower is selected by the employee .
the scientist judges the leader .,the leader is judged by the scientist .,the scientist judges the leader .,the leader is judged by the scientist .
the kid drinks the tea .,the tea is drunk by the kid .,the kid drinks the tea .,the tea is drunk by the kid .
the club keeps the coffee .,the coffee is kept by the club .,the club keeps the coffee .,the coffee is kept by the club .
the prince chased the woman .,the woman was chased by the prince .,the prince chased the woman .,the woman was chased by the prince .
the candidate chased the corporation .,the corporation was chased by the candidate .,the candidate chased the corporation .,the corporation was chased by the candidate .
the colonel discovered the soldier .,the soldier was discovered by the colonel .,the colonel discovered the soldier .,the soldier was discovered by the colonel .
the father protected the actor .,the actor was protected by the father .,the father protected the actor .,the actor was protected by the father .
the army protected the physician .,the physician was protected by the army .,the army protected the physician .,the physician was protected by the army .
the prince hurt the teacher .,the teacher was hurt by the prince .,the prince hurt the teacher .,the teacher was hurt by the prince .
the secretary judged the corporation .,the corporation was judged by the secretary .,the secretary judged the corporation .,the corporation was judged by the secretary .
the minister ate the meal .,the meal was eaten by the minister .,the minister ate the meal .,the meal was eaten by the minister .
the father hurt the king .,the king was hurt by the father .,the father hurt the king .,the king was hurt by the father .
the secretary washed the employer .,the employer was washed by the secretary .,the secretary washed the employer .,the employer was washed by the secretary .
a chief kissed a reader .,a reader was kissed by a chief .,a chief kissed a reader .,a reader was kissed by a chief .
an actress taught a manager .,a manager was taught by an actress .,an actress taught a manager .,a manager was taught by an actress .
an adult caught a champion .,a champion was caught by an adult .,an adult caught a champion .,a champion was caught by an adult .
an adult wanted a coffee .,a coffee was wanted by an adult .,an adult wanted a coffee .,a coffee was wanted by an adult .
an opponent grabbed a meal .,a meal was grabbed by an opponent .,an opponent grabbed a meal .,a meal was grabbed by an opponent .
a hero purchased a tea .,a tea was purchased by a hero .,a hero purchased a tea .,a tea was purchased by a hero .
a woman led a corporation .,a corporation was led by a woman .,a woman led a corporation .,a corporation was led by a woman .
a guy selected a friend .,a friend was selected by a guy .,a guy selected a friend .,a friend was selected by a guy .
a student grabbed a juice .,a juice was grabbed by a student .,a student grabbed a juice .,a juice was grabbed by a student .
an employee comforted a prince .,a prince was comforted by an employee .,an employee comforted a prince .,a prince was comforted by an employee .
a buddy hurries a worker .,a worker is hurried by a buddy .,a buddy hurries a worker .,a worker is hurried by a buddy .
a sheriff discovers a buddy .,a buddy is discovered by a sheriff .,a sheriff discovers a buddy .,a buddy is discovered by a sheriff .
a scientist bothers an attorney .,an attorney is bothered by a scientist .,a scientist bothers an attorney .,an attorney is bothered by a scientist .
a scientist drinks a beer .,a beer is drunk by a scientist .,a scientist drinks a beer .,a beer is drunk by a scientist .
