pa, pp, ta, tp
the chief described the engine .,the engine was described by the chief .,a gentle teacher carries a soldier .,a soldier is carried by a gentle teacher .
the singer asked the writer .,the writer was asked by the singer .,a good teacher carries a soldier .,a soldier is carried by a good teacher .
the uncle bothered the actor .,the actor was bothered by the uncle .,a modest teacher carries a soldier .,a soldier is carried by a modest teacher .
the physician destroyed the tea .,the tea was destroyed by the physician .,a hungry teacher carries a soldier .,a soldier is carried by a hungry teacher .
the bishop collected the motor .,the motor was collected by the bishop .,a holy teacher carries a soldier .,a soldier is carried by a holy teacher .
the guy left the key .,the key was left by the guy .,a sad teacher carries a soldier .,a soldier is carried by a sad teacher .
the child joined the mayor .,the mayor was joined by the child .,a cute teacher carries a soldier .,a soldier is carried by a cute teacher .
the son kept the juice .,the juice was kept by the son .,a good teacher carries a soldier .,a soldier is carried by a good teacher .
the son beat the father .,the father was beaten by the son .,a peaceful teacher carries a soldier .,a soldier is carried by a peaceful teacher .
the secretary judged the club .,the club was judged by the secretary .,a terrible teacher carries a soldier .,a soldier is carried by a terrible teacher .
an author removed a television .,a television was removed by an author .,the normal parent discovers the candy .,the candy is discovered by the normal parent .
an employer hurried a champion .,a champion was hurried by an employer .,the sick parent discovers the candy .,the candy is discovered by the sick parent .
a friend chased a business .,a business was chased by a friend .,the silly parent discovers the candy .,the candy is discovered by the silly parent .
a worker judged a business .,a business was judged by a worker .,the weird parent discovers the candy .,the candy is discovered by the weird parent .
a singer embraced a wife .,a wife was embraced by a singer .,the beautiful parent discovers the candy .,the candy is discovered by the beautiful parent .
a secretary selected a coffee .,a coffee was selected by a secretary .,the scary parent discovers the candy .,the candy is discovered by the scary parent .
an employer punched a soldier .,a soldier was punched by an employer .,the sad parent discovers the candy .,the candy is discovered by the sad parent .
a professor dragged a chief .,a chief was dragged by a professor .,the pretty parent discovers the candy .,the candy is discovered by the pretty parent .
a reader followed a singer .,a singer was followed by a reader .,the horrible parent discovers the candy .,the candy is discovered by the horrible parent .
an actress dragged a bottle .,a bottle was dragged by an actress .,the tough parent discovers the candy .,the candy is discovered by the tough parent .
the parent tastes the meal .,the meal is tasted by the parent .,a blind doctor raised a tea .,a tea was raised by a blind doctor .
the author surprises the captain .,the captain is surprised by the author .,a calm doctor raised a tea .,a tea was raised by a calm doctor .
the man tastes the salad .,the salad is tasted by the man .,a terrible doctor raised a tea .,a tea was raised by a terrible doctor .
the candidate leads the business .,the business is led by the candidate .,a silly doctor raised a tea .,a tea was raised by a silly doctor .
the buddy hurries the parent .,the parent is hurried by the buddy .,a sweet doctor raised a tea .,a tea was raised by a sweet doctor .
the mother eats the chocolate .,the chocolate is eaten by the mother .,a powerful doctor raised a tea .,a tea was raised by a powerful doctor .
the aunt smells the knife .,the knife is smelled by the aunt .,a blind doctor raised a tea .,a tea was raised by a blind doctor .
the son uses the bowl .,the bowl is used by the son .,a sophisticated doctor raised a tea .,a tea was raised by a sophisticated doctor .
the bishop follows the corporation .,the corporation is followed by the bishop .,a poor doctor raised a tea .,a tea was raised by a poor doctor .
the worker removes the television .,the television is removed by the worker .,a modern doctor raised a tea .,a tea was raised by a modern doctor .
a mayor grabbed a newspaper .,a newspaper was grabbed by a mayor .,the stupid teacher hurries the princess .,the princess is hurried by the stupid teacher .
an actor drank a juice .,a juice was drunk by an actor .,the young teacher hurries the princess .,the princess is hurried by the young teacher .
a company protected a nurse .,a nurse was protected by a company .,the terrible teacher hurries the princess .,the princess is hurried by the terrible teacher .
an employer comforted a son .,a son was comforted by an employer .,the beautiful teacher hurries the princess .,the princess is hurried by the beautiful teacher .
a winner left a bowl .,a bowl was left by a winner .,the famous teacher hurries the princess .,the princess is hurried by the famous teacher .
a champion dragged a machine .,a machine was dragged by a champion .,the responsible teacher hurries the princess .,the princess is hurried by the responsible teacher .
a manager understood a writer .,a writer was understood by a manager .,the religious teacher hurries the princess .,the princess is hurried by the religious teacher .
an attorney comforted an actor .,an actor was comforted by an attorney .,the normal teacher hurries the princess .,the princess is hurried by the normal teacher .
a hero ate a meal .,a meal was eaten by a hero .,the loud teacher hurries the princess .,the princess is hurried by the loud teacher .
a daughter understood a buddy .,a buddy was understood by a daughter .,the horrible teacher hurries the princess .,the princess is hurried by the horrible teacher .
the guy forgives the actor .,the actor is forgiven by the guy .,a sweet secretary ate a cheese .,a cheese was eaten by a sweet secretary .
the pilot strikes the actress .,the actress is struck by the pilot .,a kind secretary ate a cheese .,a cheese was eaten by a kind secretary .
the colonel grabs the motor .,the motor is grabbed by the colonel .,a fantastic secretary ate a cheese .,a cheese was eaten by a fantastic secretary .
the mother leads the club .,the club is led by the mother .,a chinese secretary ate a cheese .,a cheese was eaten by a chinese secretary .
the administration helps the cop .,the cop is helped by the administration .,a ill secretary ate a cheese .,a cheese was eaten by a ill secretary .
the candidate smells the crystal .,the crystal is smelled by the candidate .,a blind secretary ate a cheese .,a cheese was eaten by a blind secretary .
the singer destroys the juice .,the juice is destroyed by the singer .,a horrible secretary ate a cheese .,a cheese was eaten by a horrible secretary .
the child raises the buddy .,the buddy is raised by the child .,a religious secretary ate a cheese .,a cheese was eaten by a religious secretary .
the reader embraces the husband .,the husband is embraced by the reader .,a dumb secretary ate a cheese .,a cheese was eaten by a dumb secretary .
the author asks the professor .,the professor is asked by the author .,a peaceful secretary ate a cheese .,a cheese was eaten by a peaceful secretary .
a writer removed a glass .,a glass was removed by a writer .,the kind priest understands the opponent .,the opponent is understood by the kind priest .
a writer raised a television .,a television was raised by a writer .,the dumb priest understands the opponent .,the opponent is understood by the dumb priest .
a buddy punched a leader .,a leader was punched by a buddy .,the drunk priest understands the opponent .,the opponent is understood by the drunk priest .
an administration wanted a guitar .,a guitar was wanted by an administration .,the strange priest understands the opponent .,the opponent is understood by the strange priest .
a woman purchased a coffee .,a coffee was purchased by a woman .,the nervous priest understands the opponent .,the opponent is understood by the nervous priest .
a singer chased a boy .,a boy was chased by a singer .,the famous priest understands the opponent .,the opponent is understood by the famous priest .
a brother hurt a woman .,a woman was hurt by a brother .,the gentle priest understands the opponent .,the opponent is understood by the gentle priest .
an actress raised a man .,a man was raised by an actress .,the spanish priest understands the opponent .,the opponent is understood by the spanish priest .
an attorney destroyed a telephone .,a telephone was destroyed by an attorney .,the pale priest understands the opponent .,the opponent is understood by the pale priest .
an author carried a reader .,a reader was carried by an author .,the sophisticated priest understands the opponent .,the opponent is understood by the sophisticated priest .
an actor ate a chicken .,a chicken was eaten by an actor .,the good parent strikes the brother .,the brother is struck by the good parent .
an author wrapped a guitar .,a guitar was wrapped by an author .,the spanish parent strikes the brother .,the brother is struck by the spanish parent .
a corporation kept a tea .,a tea was kept by a corporation .,the lonely parent strikes the brother .,the brother is struck by the lonely parent .
a girl destroyed a beer .,a beer was destroyed by a girl .,the loud parent strikes the brother .,the brother is struck by the loud parent .
a king kissed a reader .,a reader was kissed by a king .,the proud parent strikes the brother .,the brother is struck by the proud parent .
an aunt comforted a chief .,a chief was comforted by an aunt .,the fair parent strikes the brother .,the brother is struck by the fair parent .
an attorney ate a candy .,a candy was eaten by an attorney .,the wise parent strikes the brother .,the brother is struck by the wise parent .
a secretary understood a champion .,a champion was understood by a secretary .,the french parent strikes the brother .,the brother is struck by the french parent .
a pilot ate a chicken .,a chicken was eaten by a pilot .,the ordinary parent strikes the brother .,the brother is struck by the ordinary parent .
a physician carried a man .,a man was carried by a physician .,the innocent parent strikes the brother .,the brother is struck by the innocent parent .
the professor removes the knife .,the knife is removed by the professor .,a ill king wanted a coffee .,a coffee was wanted by a ill king .
the chief embraces the uncle .,the uncle is embraced by the chief .,a dumb king wanted a coffee .,a coffee was wanted by a dumb king .
the uncle describes the minister .,the minister is described by the uncle .,a good king wanted a coffee .,a coffee was wanted by a good king .
the teacher hurts the brother .,the brother is hurt by the teacher .,a friendly king wanted a coffee .,a coffee was wanted by a friendly king .
the wife leads the club .,the club is led by the wife .,a blind king wanted a coffee .,a coffee was wanted by a blind king .
the friend embraces the actress .,the actress is embraced by the friend .,a guilty king wanted a coffee .,a coffee was wanted by a guilty king .
the boy smells the chicken .,the chicken is smelled by the boy .,a strong king wanted a coffee .,a coffee was wanted by a strong king .
the employer beats the nurse .,the nurse is beaten by the employer .,a normal king wanted a coffee .,a coffee was wanted by a normal king .
the professor leaves the button .,the button is left by the professor .,a modern king wanted a coffee .,a coffee was wanted by a modern king .
the actor surprises the captain .,the captain is surprised by the actor .,a loving king wanted a coffee .,a coffee was wanted by a loving king .
the mayor purchases the button .,the button is purchased by the mayor .,a ordinary teacher protected a guest .,a guest was protected by a ordinary teacher .
the husband forgets the chicken .,the chicken is forgotten by the husband .,a peaceful teacher protected a guest .,a guest was protected by a peaceful teacher .
the man smells the engine .,the engine is smelled by the man .,a healthy teacher protected a guest .,a guest was protected by a healthy teacher .
the army wants the meal .,the meal is wanted by the army .,a odd teacher protected a guest .,a guest was protected by a odd teacher .
the manager drags the opponent .,the opponent is dragged by the manager .,a brave teacher protected a guest .,a guest was protected by a brave teacher .
the bishop comforts the mayor .,the mayor is comforted by the bishop .,a strong teacher protected a guest .,a guest was protected by a strong teacher .
the physician beats the brother .,the brother is beaten by the physician .,a innocent teacher protected a guest .,a guest was protected by a innocent teacher .
the man joins the business .,the business is joined by the man .,a southern teacher protected a guest .,a guest was protected by a southern teacher .
the minister tastes the salad .,the salad is tasted by the minister .,a busy teacher protected a guest .,a guest was protected by a busy teacher .
the actor accepts the hat .,the hat is accepted by the actor .,a strange teacher protected a guest .,a guest was protected by a strange teacher .
the employer hurts the priest .,the priest is hurt by the employer .,an awful opponent raised a president .,a president was raised by an awful opponent .
the soldier understands the actress .,the actress is understood by the soldier .,an excited opponent raised a president .,a president was raised by an excited opponent .
the manager beats the sheriff .,the sheriff is beaten by the manager .,an afraid opponent raised a president .,a president was raised by an afraid opponent .
the chief beats the friend .,the friend is beaten by the chief .,an athletic opponent raised a president .,a president was raised by an athletic opponent .
the friend drinks the coffee .,the coffee is drunk by the friend .,an emotional opponent raised a president .,a president was raised by an emotional opponent .
the student removes the bottle .,the bottle is removed by the student .,an athletic opponent raised a president .,a president was raised by an athletic opponent .
the employee leads the club .,the club is led by the employee .,an insane opponent raised a president .,a president was raised by an insane opponent .
the adult embraces the buddy .,the buddy is embraced by the adult .,an honest opponent raised a president .,a president was raised by an honest opponent .
the cousin selects the glass .,the glass is selected by the cousin .,an honest opponent raised a president .,a president was raised by an honest opponent .
the friend understands the priest .,the priest is understood by the friend .,an alert opponent raised a president .,a president was raised by an alert opponent .
a sheriff selects a bag .,a bag is selected by a sheriff .,the sexy nurse asked the uncle .,the uncle was asked by the sexy nurse .
a friend punches a child .,a child is punched by a friend .,the chinese nurse asked the uncle .,the uncle was asked by the chinese nurse .
a wife hurries a guy .,a guy is hurried by a wife .,the cool nurse asked the uncle .,the uncle was asked by the cool nurse .
a winner collects a glass .,a glass is collected by a winner .,the foreign nurse asked the uncle .,the uncle was asked by the foreign nurse .
a son protects a guest .,a guest is protected by a son .,the generous nurse asked the uncle .,the uncle was asked by the generous nurse .
an employee destroys a key .,a key is destroyed by an employee .,the hungry nurse asked the uncle .,the uncle was asked by the hungry nurse .
an actress surprises a secretary .,a secretary is surprised by an actress .,the creative nurse asked the uncle .,the uncle was asked by the creative nurse .
a princess catches a knife .,a knife is caught by a princess .,the jewish nurse asked the uncle .,the uncle was asked by the jewish nurse .
a leader chases an army .,an army is chased by a leader .,the criminal nurse asked the uncle .,the uncle was asked by the criminal nurse .
a daughter prepares a candy .,a candy is prepared by a daughter .,the scary nurse asked the uncle .,the uncle was asked by the scary nurse .
a son punches a buddy .,a buddy is punched by a son .,the wonderful guest hurt the writer .,the writer was hurt by the wonderful guest .
a cop drinks a beer .,a beer is drunk by a cop .,the happy guest hurt the writer .,the writer was hurt by the happy guest .
a mayor strikes a captain .,a captain is struck by a mayor .,the nervous guest hurt the writer .,the writer was hurt by the nervous guest .
a lady strikes a prince .,a prince is struck by a lady .,the busy guest hurt the writer .,the writer was hurt by the busy guest .
an actress embraces a minister .,a minister is embraced by an actress .,the handsome guest hurt the writer .,the writer was hurt by the handsome guest .
a soldier follows a nurse .,a nurse is followed by a soldier .,the sophisticated guest hurt the writer .,the writer was hurt by the sophisticated guest .
a colonel accepts a newspaper .,a newspaper is accepted by a colonel .,the normal guest hurt the writer .,the writer was hurt by the normal guest .
an attorney prepares a chocolate .,a chocolate is prepared by an attorney .,the ill guest hurt the writer .,the writer was hurt by the ill guest .
a brother surprises a husband .,a husband is surprised by a brother .,the tired guest hurt the writer .,the writer was hurt by the tired guest .
a king embraces a bishop .,a bishop is embraced by a king .,the southern guest hurt the writer .,the writer was hurt by the southern guest .
a priest bothered a son .,a son was bothered by a priest .,the nice winner kills the chief .,the chief is killed by the nice winner .
an uncle raised a crystal .,a crystal was raised by an uncle .,the rough winner kills the chief .,the chief is killed by the rough winner .
a cousin ate a chocolate .,a chocolate was eaten by a cousin .,the reliable winner kills the chief .,the chief is killed by the reliable winner .
an actor judged a secretary .,a secretary was judged by an actor .,the beautiful winner kills the chief .,the chief is killed by the beautiful winner .
a nurse broke a bag .,a bag was broken by a nurse .,the criminal winner kills the chief .,the chief is killed by the criminal winner .
a physician selected a brother .,a brother was selected by a physician .,the serious winner kills the chief .,the chief is killed by the serious winner .
an uncle washed a doctor .,a doctor was washed by an uncle .,the curious winner kills the chief .,the chief is killed by the curious winner .
a guy raised a meal .,a meal was raised by a guy .,the peaceful winner kills the chief .,the chief is killed by the peaceful winner .
a doctor forgave a corporation .,a corporation was forgiven by a doctor .,the special winner kills the chief .,the chief is killed by the special winner .
a singer bothered a band .,a band was bothered by a singer .,the southern winner kills the chief .,the chief is killed by the southern winner .
the lawyer leads the business .,the business is led by the lawyer .,a creative chief smelled a bell .,a bell was smelled by a creative chief .
the author grabs the coffee .,the coffee is grabbed by the author .,a holy chief smelled a bell .,a bell was smelled by a holy chief .
the teacher judges the company .,the company is judged by the teacher .,a rough chief smelled a bell .,a bell was smelled by a rough chief .
the worker kills the actress .,the actress is killed by the worker .,a serious chief smelled a bell .,a bell was smelled by a serious chief .
the attorney kisses the wife .,the wife is kissed by the attorney .,a famous chief smelled a bell .,a bell was smelled by a famous chief .
the prince eats the meal .,the meal is eaten by the prince .,a pale chief smelled a bell .,a bell was smelled by a pale chief .
the doctor chases the partner .,the partner is chased by the doctor .,a pale chief smelled a bell .,a bell was smelled by a pale chief .
the actress washes the nurse .,the nurse is washed by the actress .,a brilliant chief smelled a bell .,a bell was smelled by a brilliant chief .
the physician teaches the lady .,the lady is taught by the physician .,a nervous chief smelled a bell .,a bell was smelled by a nervous chief .
the man collects the coat .,the coat is collected by the man .,a curious chief smelled a bell .,a bell was smelled by a curious chief .
the partner purchases the coffee .,the coffee is purchased by the partner .,a terrible candidate killed a student .,a student was killed by a terrible candidate .
the king discovers the brother .,the brother is discovered by the king .,a nervous candidate killed a student .,a student was killed by a nervous candidate .
the employer smells the coffee .,the coffee is smelled by the employer .,a religious candidate killed a student .,a student was killed by a religious candidate .
the cop breaks the newspaper .,the newspaper is broken by the cop .,a ordinary candidate killed a student .,a student was killed by a ordinary candidate .
the hero catches the juice .,the juice is caught by the hero .,a tall candidate killed a student .,a student was killed by a tall candidate .
the colonel forgets the cheese .,the cheese is forgotten by the colonel .,a crazy candidate killed a student .,a student was killed by a crazy candidate .
the priest breaks the telephone .,the telephone is broken by the priest .,a brilliant candidate killed a student .,a student was killed by a brilliant candidate .
the nurse surprises the prince .,the prince is surprised by the nurse .,a fantastic candidate killed a student .,a student was killed by a fantastic candidate .
the leader punches the opponent .,the opponent is punched by the leader .,a reliable candidate killed a student .,a student was killed by a reliable candidate .
the guy understands the guest .,the guest is understood by the guy .,a loving candidate killed a student .,a student was killed by a loving candidate .
an attorney accepts a crystal .,a crystal is accepted by an attorney .,the important actress chased the business .,the business was chased by the important actress .
a hero strikes an adult .,an adult is struck by a hero .,the alert actress chased the business .,the business was chased by the alert actress .
a reader discovers a physician .,a physician is discovered by a reader .,the afraid actress chased the business .,the business was chased by the afraid actress .
a husband prepares a chicken .,a chicken is prepared by a husband .,the athletic actress chased the business .,the business was chased by the athletic actress .
a son strikes an attorney .,an attorney is struck by a son .,the attractive actress chased the business .,the business was chased by the attractive actress .
a soldier carries a priest .,a priest is carried by a soldier .,the excellent actress chased the business .,the business was chased by the excellent actress .
an attorney leads a band .,a band is led by an attorney .,the english actress chased the business .,the business was chased by the english actress .
a student tastes a meal .,a meal is tasted by a student .,the intelligent actress chased the business .,the business was chased by the intelligent actress .
an aunt bothers a parent .,a parent is bothered by an aunt .,the important actress chased the business .,the business was chased by the important actress .
a king comforts an aunt .,an aunt is comforted by a king .,the honest actress chased the business .,the business was chased by the honest actress .
a cop accepts an anchor .,an anchor is accepted by a cop .,the southern corporation protected the girl .,the girl was protected by the southern corporation .
a hero describes a cheese .,a cheese is described by a hero .,the tired corporation protected the girl .,the girl was protected by the tired corporation .
a cousin comforts a hero .,a hero is comforted by a cousin .,the modest corporation protected the girl .,the girl was protected by the modest corporation .
a nurse destroys a chicken .,a chicken is destroyed by a nurse .,the horrible corporation protected the girl .,the girl was protected by the horrible corporation .
a king follows a kid .,a kid is followed by a king .,the criminal corporation protected the girl .,the girl was protected by the criminal corporation .
a cousin joins a writer .,a writer is joined by a cousin .,the holy corporation protected the girl .,the girl was protected by the holy corporation .
an author embraces a nurse .,a nurse is embraced by an author .,the odd corporation protected the girl .,the girl was protected by the odd corporation .
an employee asks an administration .,an administration is asked by an employee .,the great corporation protected the girl .,the girl was protected by the great corporation .
a hero washes a bishop .,a bishop is washed by a hero .,the scary corporation protected the girl .,the girl was protected by the scary corporation .
a husband comforts a brother .,a brother is comforted by a husband .,the modern corporation protected the girl .,the girl was protected by the modern corporation .
the guy led the administration .,the administration was led by the guy .,a hungry writer hurries an aunt .,an aunt is hurried by a hungry writer .
the administration used the iron .,the iron was used by the administration .,a willing writer hurries an aunt .,an aunt is hurried by a willing writer .
the bishop used the hat .,the hat was used by the bishop .,a good writer hurries an aunt .,an aunt is hurried by a good writer .
the bishop bothered the business .,the business was bothered by the bishop .,a stupid writer hurries an aunt .,an aunt is hurried by a stupid writer .
the partner comforted the wife .,the wife was comforted by the partner .,a spanish writer hurries an aunt .,an aunt is hurried by a spanish writer .
the minister broke the knife .,the knife was broken by the minister .,a mad writer hurries an aunt .,an aunt is hurried by a mad writer .
the colonel led the army .,the army was led by the colonel .,a gentle writer hurries an aunt .,an aunt is hurried by a gentle writer .
the cop removed the plate .,the plate was removed by the cop .,a sick writer hurries an aunt .,an aunt is hurried by a sick writer .
the student forgot the friend .,the friend was forgotten by the student .,a spanish writer hurries an aunt .,an aunt is hurried by a spanish writer .
the business kept the ball .,the ball was kept by the business .,a pale writer hurries an aunt .,an aunt is hurried by a pale writer .
the princess follows the business .,the business is followed by the princess .,a loving buddy comforted an adult .,an adult was comforted by a loving buddy .
the pilot wants the gun .,the gun is wanted by the pilot .,a brilliant buddy comforted an adult .,an adult was comforted by a brilliant buddy .
the doctor removes the computer .,the computer is removed by the doctor .,a willing buddy comforted an adult .,an adult was comforted by a willing buddy .
the king destroys the salad .,the salad is destroyed by the king .,a cute buddy comforted an adult .,an adult was comforted by a cute buddy .
the brother beats the champion .,the champion is beaten by the brother .,a happy buddy comforted an adult .,an adult was comforted by a happy buddy .
the winner forgets the student .,the student is forgotten by the winner .,a beautiful buddy comforted an adult .,an adult was comforted by a beautiful buddy .
the president prepares the pot .,the pot is prepared by the president .,a strong buddy comforted an adult .,an adult was comforted by a strong buddy .
the employer wants the chocolate .,the chocolate is wanted by the employer .,a jewish buddy comforted an adult .,an adult was comforted by a jewish buddy .
the boy bothers the band .,the band is bothered by the boy .,a ridiculous buddy comforted an adult .,an adult was comforted by a ridiculous buddy .
the doctor forgives the business .,the business is forgiven by the doctor .,a responsible buddy comforted an adult .,an adult was comforted by a responsible buddy .
a candidate collects a candy .,a candy is collected by a candidate .,the sexy student followed the band .,the band was followed by the sexy student .
a husband judges a corporation .,a corporation is judged by a husband .,the loving student followed the band .,the band was followed by the loving student .
a business uses a knife .,a knife is used by a business .,the helpful student followed the band .,the band was followed by the helpful student .
an actress comforts a minister .,a minister is comforted by an actress .,the powerful student followed the band .,the band was followed by the powerful student .
an army uses a crystal .,a crystal is used by an army .,the drunk student followed the band .,the band was followed by the drunk student .
a minister kills a partner .,a partner is killed by a minister .,the famous student followed the band .,the band was followed by the famous student .
a partner washes a machine .,a machine is washed by a partner .,the sick student followed the band .,the band was followed by the sick student .
a parent wraps a cigarette .,a cigarette is wrapped by a parent .,the patient student followed the band .,the band was followed by the patient student .
an actor hurts an army .,an army is hurt by an actor .,the poor student followed the band .,the band was followed by the poor student .
an employer destroys a guest .,a guest is destroyed by an employer .,the cute student followed the band .,the band was followed by the cute student .
the president catches the television .,the television is caught by the president .,an aggressive uncle taught a wife .,a wife was taught by an aggressive uncle .
the brother protects the physician .,the physician is protected by the brother .,an honest uncle taught a wife .,a wife was taught by an honest uncle .
the boy breaks the log .,the log is broken by the boy .,an excited uncle taught a wife .,a wife was taught by an excited uncle .
the mayor drags the parent .,the parent is dragged by the mayor .,an excited uncle taught a wife .,a wife was taught by an excited uncle .
the club helps the president .,the president is helped by the club .,an emotional uncle taught a wife .,a wife was taught by an emotional uncle .
the boy discovers the book .,the book is discovered by the boy .,an illegal uncle taught a wife .,a wife was taught by an illegal uncle .
